timestamp,source,splitSentence,wordCount
1418390639,0,0,0
1418390644,237,4879,4423
1418390649,220,13293,13548
1418390654,514,24904,24646
1418390659,488,32448,32367
1418390664,980,29851,30218
1418390669,652,34490,34333
1418390674,1108,34196,34574
1418390679,251,34824,34395
1418390684,996,34917,35063
1418390689,790,35168,35566
1418390694,718,34526,33918
1418390699,682,26845,26764
1418390704,905,34088,34214
1418390709,355,34916,34949
1418390714,1566,35010,34699
1418390719,362,35502,35981
1418390724,592,35292,34896
1418390729,610,34915,35365
1418390734,742,34974,35096
1418390739,1077,36114,36214
1418390744,427,31133,31129
1418390749,1118,36139,35735
1418390754,605,35675,35750
1418390759,961,34987,35140
1418390764,870,35983,35617
1418390769,983,35726,35983
1418390774,886,35498,35322
1418390779,702,35350,35311
1418390784,607,35837,36032
1418390789,961,34389,34511
1418390794,697,33928,33583
1418390799,934,36017,36283
1418390804,789,35169,35387
1418390809,666,35628,35605
1418390814,723,36690,36259
1418390819,1004,35593,35621
1418390824,808,34811,35127
1418390829,886,34692,34480
1418390834,662,35859,35881
1418390839,707,34537,34770
1418390844,449,34198,34097
1418390849,1279,35705,35688
1418390854,420,35190,35334
1418390859,750,36198,35479
1418390864,1142,34673,35340
1418390869,1044,36028,35843
1418390874,581,33830,33857
1418390879,865,35582,35701
1418390884,487,33525,33384
1418390889,894,35854,35909
1418390894,1328,35483,35394
1418390899,0,35053,35091
1418390904,1062,34866,35110
1418390909,524,34544,34429
1418390914,697,35459,35552
1418390919,720,35741,35459
1418390924,1054,34921,34817
1418390929,718,34804,34937
1418390934,464,35027,35293
1418390939,762,34818,34680
1418390944,968,35850,35329
1418390949,667,35598,35713
1418390954,815,34867,35374
1418390959,332,34794,34502
1418390964,804,30427,30494
1418390969,644,35563,35137
1418390974,704,33676,34030
1418390979,1199,34281,34525
1418390984,481,32913,32729
1418390989,434,33966,34215
1418390994,827,35418,34974
1418390999,676,34426,34799
1418391004,823,34056,33922
1418391009,909,34150,34471
1418391014,1033,34584,34271
1418391019,885,34967,34793
1418391024,981,36348,36153
1418391029,20,35019,35277
1418391034,1328,33631,33703
1418391039,577,35077,35020
1418391044,331,35396,35313
1418391049,741,35767,35662
1418391054,1199,34821,35193
1418391059,572,34703,34853
1418391064,392,36369,35875
1418391069,808,34476,35146
1418391074,1145,34921,34534
1418391079,363,35093,34992
1418391084,1092,35113,35574
1418391089,457,35021,34674
1418391094,1071,33950,33986
1418391099,936,30725,30875
1418391104,376,36021,35694
1418391109,1040,35194,34963
1418391114,499,36260,36510
1418391119,1256,34292,34915
1418391124,782,35957,35025
1418391129,897,34702,35264
1418391134,376,35347,34552
1418391139,694,35069,35569
1418391144,1025,35267,35049
1418391150,311,30175,30338
1418391155,919,35438,35454
1418391160,437,35247,35157
1418391165,1257,34563,34953
1418391170,219,35705,35235
1418391175,1628,34677,34923
1418391180,371,34185,34600
1418391185,0,34184,33962
1418391190,1301,31266,31238
1418391195,800,35462,34953
1418391200,370,34991,34936
1418391205,545,33726,33949
1418391210,784,34008,34389
1418391215,862,16347,16833
1418391220,1082,19651,18889
1418391225,974,34271,34032
1418391230,1490,34416,34936
1418391235,962,35202,34982
1418391240,862,34308,34057
1418391245,1364,35128,34988
1418391250,92,35439,35801
1418391255,1058,35003,34588
1418391260,931,34598,34930
1418391265,571,34897,35450
1418391270,727,35012,34719
1418391275,465,34785,34401
1418391280,844,34988,34987
1418391285,659,32047,32275
1418391290,1068,35807,35833
1418391295,488,36077,35773
1418391300,879,35077,35773
1418391305,439,35702,35269
1418391310,1024,35668,35764
1418391315,811,35522,35672
1418391320,718,35293,34924
1418391325,611,33494,33671
1418391330,1095,35779,35328
1418391335,782,34087,34842
1418391340,800,35614,35275
1418391345,1293,34118,34360
1418391350,802,35203,35018
1418391355,656,36209,35824
1418391360,658,33787,34793
1418391365,684,35019,34404
1418391370,784,31417,31144
1418391375,911,35153,35414
1418391380,634,35606,35540
1418391385,954,35464,35383
1418391390,810,33781,33844
1418391395,781,33352,33398
1418391400,727,34977,35140
1418391405,1086,34853,34873
1418391410,737,33182,33390
1418391415,352,34530,34268
1418391420,692,36083,35601
1418391425,995,35472,35811
1418391430,825,34618,34731
1418391435,965,34313,34010
1418391440,981,35336,35564
1418391445,1169,34436,34617
1418391450,260,35062,35064
1418391455,909,34217,33850
1418391460,955,35513,35244
1418391465,704,35016,35358
1418391470,853,32067,31987
1418391475,1320,35722,36094
1418391480,283,34535,34344
1418391485,858,35797,35862
1418391490,1134,34986,34914
1418391495,460,35429,35453
1418391500,739,34682,34392
1418391505,356,35398,35726
1418391510,962,35100,35141
1418391515,955,34946,34647
1418391520,1177,34582,34652
1418391525,724,34631,34991
1418391530,543,36815,36284
1418391535,660,35333,35793
1418391540,621,34775,34514
1418391545,1145,36414,36346
1418391550,806,34693,35014
1418391555,351,35240,35000
1418391560,784,35347,35647
1418391565,857,36092,35830
1418391570,1124,34685,34816
1418391575,381,31513,31053
1418391580,652,35062,35223
1418391585,663,33778,33848
1418391590,910,34453,34385
1418391595,952,35381,35427
1418391600,581,35028,35269
1418391605,547,35640,35551
1418391610,905,34822,34830
1418391615,726,35281,35193
1418391620,609,35316,35048
1418391625,1153,34511,35178
1418391630,413,35248,34698
1418391635,1147,34143,34342
1418391640,421,36419,36507
1418391645,922,34376,34538
1418391650,797,35037,35111
1418391655,898,35280,35026
1418391660,695,34613,34610
1418391665,753,34401,34348
1418391670,893,35975,36065
1418391675,412,34987,35002
1418391680,1145,31097,31063
1418391685,1184,34333,34775
1418391690,546,34972,34607
1418391695,708,34340,34227
1418391700,1041,34917,34900
1418391705,846,35611,35712
1418391710,516,35373,35516
1418391715,919,35733,35538
1418391720,536,35525,35232
1418391725,875,34636,35207
1418391730,1012,34777,34159
1418391735,743,34027,34632
1418391740,1010,35201,34969
1418391745,557,35392,35396
1418391750,920,35587,35382
1418391755,888,34078,34186
1418391760,873,33514,33659
1418391765,550,35294,35426
1418391770,701,35767,35564
1418391775,1198,36462,36449
1418391780,319,36227,36182
1418391785,785,35061,34461
1418391790,1057,33897,34931
1418391795,761,36241,35594
1418391801,830,26195,26172
1418391806,293,34289,34098
1418391811,1080,33936,34388
1418391816,766,34935,34794
1418391821,741,36521,36841
1418391826,1040,34409,34338
1418391831,672,35268,35244
1418391836,1048,35469,35222
1418391841,571,34651,34985
1418391846,552,36883,36653
1418391851,412,34440,34262
1418391856,820,35479,35657
1418391861,970,34500,34349
1418391866,1215,35099,35233
1418391871,732,35238,35257
1418391876,0,34094,34318
1418391881,1052,34847,34967
1418391886,473,35765,35379
1418391891,1043,34816,35178
1418391896,1305,34704,34461
1418391901,372,33861,34031
1418391906,169,35699,35239
1418391911,755,34717,35336
1418391916,970,35504,35338
1418391921,1017,36890,36699
1418391926,506,30861,31062
1418391931,893,35397,35366
1418391936,633,34387,34212
1418391941,856,34609,34848
1418391946,455,35360,35136
1418391951,858,34470,34974
1418391956,617,36212,35718
1418391961,1141,34798,34787
1418391966,816,35211,35233
1418391971,833,36082,36313
1418391976,375,35846,35479
1418391981,782,35434,35376
1418391986,555,36232,36031
1418391991,721,34543,35110
1418391996,1335,34595,34274
1418392001,72,35665,35983
1418392006,767,35313,35314
1418392011,1029,34946,34698
1418392016,895,34928,35207
1418392021,1051,34614,34326
1418392026,401,35264,35528
1418392031,782,35950,36006
1418392036,1174,35145,34781
1418392041,343,35949,35774
1418392046,908,35078,35066
1418392051,531,29394,29912
1418392056,1123,35577,35174
1418392061,1129,34125,34522
1418392066,0,35628,35316
1418392071,937,34678,34645
1418392076,840,35539,35563
1418392081,930,34516,34575
1418392086,1195,34808,34801
