timestamp,mean,p99_min,p99_max
1418678308,1529.50355556,3133,3134
1418678313,5010.00658526,370,8642
1418678318,8171.1961824,562,12662
1418678323,12013.7146915,791,17075
1418678328,15720.0428805,1152,20820
1418678333,15565.4676976,1792,21563
1418678338,15955.7537568,2329,21307
1418678343,16773.4392107,2824,21293
1418678348,18206.4402716,3625,22462
1418678353,19109.1007093,4245,22486
1418678358,20270.5357048,4802,25002
1418678363,21040.9627266,5189,27078
1418678368,21729.6816925,5512,27095
1418678373,21742.6065241,5843,29307
1418678378,21698.3423828,6104,29307
1418678383,22160.6201766,6306,29202
1418678388,22116.2100009,6524,29092
1418678393,22541.8765115,6716,28587
1418678398,23457.2642977,6921,30103
1418678403,24598.0088632,7066,32309
1418678408,25946.6073227,7192,36055
1418678413,26603.4812233,7286,35890
1418678418,27028.3599047,7400,35890
1418678423,27276.0700858,7522,35886
1418678428,27372.0563414,7626,35886
1418678433,27083.2385474,7754,35853
1418678438,27155.5123816,7862,35781
1418678443,27384.346776,7960,35708
1418678448,28219.4716291,8049,35577
1418678453,29107.5459463,8123,38120
1418678458,29621.4461997,8149,38120
1418678463,29844.0299072,8224,38080
1418678468,30167.0684114,8297,37550
1418678473,29499.3248823,8363,37498
1418678478,28790.0805097,8421,37057
1418678483,28778.1726348,8486,36854
1418678488,29030.8259636,8542,36840
1418678493,29805.7755467,8596,36840
1418678498,29603.5709108,8643,36862
1418678503,28811.856479,8688,36854
1418678508,28465.6080494,8730,36576
1418678513,27407.4081471,8773,36490
1418678518,26999.5509643,8819,36490
1418678523,26845.2021571,8858,36441
1418678528,27204.9589024,8886,36322
1418678533,27451.9343046,8902,36246
1418678538,27239.8135243,8942,36213
1418678543,27000.4602819,8970,36198
1418678548,25902.0427146,9003,36143
1418678553,25431.1309511,9032,36099
1418678558,25422.6396784,9059,35578
1418678563,25724.0663799,9072,35202
1418678569,25634.5705696,9096,34901
1418678574,25216.4882422,9118,34632
1418678579,24209.48893,9145,34541
1418678584,23454.0988334,9166,34372
1418678589,23230.2254642,9191,34251
1418678594,23330.2097782,9205,34234
1418678599,23258.6154979,9214,34122
1418678604,22983.6171616,9234,34106
1418678609,22176.740978,9248,33953
1418678614,21933.2203289,9259,33223
1418678619,22158.669336,9277,33107
1418678624,22783.3286093,9293,33031
1418678629,23545.7538822,9308,32927
1418678634,24050.1507352,9324,32731
1418678639,24281.9986637,9337,32676
1418678644,24012.9335575,9355,32537
1418678649,23812.0374175,9353,32525
1418678654,24083.0224347,9365,32516
1418678659,24573.1050029,9375,32515
1418678664,25263.4722099,9385,34131
1418678669,25324.4770172,9394,34155
