,experiment,application,average,node
0,n1_x1,storm_logprocessing,5355.0743726428,1
1,n1_x1,storm_trafficmonitoring,3.5290013083297,1
2,n1_x1,storm_wordcount,32470.364906043702,1
3,n1_x1_x2_x1_x4_x2,spark_logprocessing,13.062713483982455,1
4,n1_x1_x2_x1_x4_x2,storm_logprocessing,5664.64831594448,1
5,n1_x1_x5_x6_x3,spark_wordcount,2897.58773878276,1
6,n1_x1_x5_x6_x3,storm_wordcount,40859.5828991725,1
7,n1_x2,storm_logprocessing,5670.2076875865005,1
8,n1_x2,storm_trafficmonitoring,17.438765456426403,1
9,n1_x2,storm_wordcount,33236.0313901345,1
10,n1_x2_x2_x1_x4_x2,spark_logprocessing,29.27459096035122,1
11,n1_x2_x2_x1_x4_x2,storm_logprocessing,5788.61020734767,1
12,n1_x2_x5_x6_x3,spark_wordcount,2999.1589673913,1
13,n1_x2_x5_x6_x3,storm_wordcount,44232.99535501,1
14,n1_x3,storm_logprocessing,5119.04854657028,1
15,n1_x3,storm_trafficmonitoring,1.96414342629482,1
16,n1_x3,storm_wordcount,29008.409306333502,1
17,n1_x3_x5_x6_x3,spark_wordcount,3081.00826446281,1
18,n1_x3_x5_x6_x3,storm_wordcount,42383.2321259843,1
19,n1_x4,storm_logprocessing,2970.831481735931,1
20,n1_x4,storm_trafficmonitoring,16.626514856475197,1
21,n1_x4,storm_wordcount,30117.276648044703,1
22,n1_x4_x2_x1_x4_x2,spark_logprocessing,37.06954436450842,1
23,n1_x4_x2_x1_x4_x2,storm_logprocessing,5045.85280414689,1
24,n1_x4_x2_x2,spark_trafficmonitoring,9.196423997131,1
25,n1_x4_x2_x2,storm_trafficmonitoring,15.821559992761099,1
26,n1_x5,storm_logprocessing,7209.2961038961,1
27,n1_x5,storm_trafficmonitoring,15.1911185704911,1
28,n1_x5,storm_wordcount,29150.973422644798,1
29,n1_x6,storm_logprocessing,3019.62071580698,1
30,n1_x6,storm_trafficmonitoring,14.799084735754398,1
31,n1_x6,storm_wordcount,26769.4995036728,1
32,n1_x8_x2_x1_x4_x2,spark_logprocessing,45.00875865703101,1
33,n1_x8_x2_x1_x4_x2,storm_logprocessing,2852.554958046937,1
34,n1_x8_x4_x2_x8_x4,storm_logprocessing,1180.27967671863,1
35,n2_x1,storm_logprocessing,3140.8967254612207,2
36,n2_x1,storm_trafficmonitoring,4.98879551820728,2
37,n2_x1,storm_wordcount,4180.888473822821,2
38,n2_x1_x2_x1_x4_x2,spark_logprocessing,16.171149177704294,2
39,n2_x1_x2_x1_x4_x2,storm_logprocessing,14001.543027766213,2
40,n2_x1_x5_x6_x3,spark_wordcount,3283.37426356589,2
41,n2_x1_x5_x6_x3,storm_wordcount,30046.043963401,2
42,n2_x2,storm_logprocessing,13397.45996094495,2
43,n2_x2,storm_trafficmonitoring,9.44908180300501,2
44,n2_x2,storm_wordcount,18130.3590733591,2
45,n2_x2_x2_x1_x4_x2,spark_logprocessing,33.66397633201875,2
46,n2_x2_x2_x1_x4_x2,storm_logprocessing,15242.17948538547,2
47,n2_x2_x5_x6_x3,spark_wordcount,3493.33747547417,2
48,n2_x2_x5_x6_x3,storm_wordcount,14865.747933884299,2
49,n2_x3,storm_logprocessing,10244.34231383559,2
50,n2_x3,storm_trafficmonitoring,5.30523255813953,2
51,n2_x3,storm_wordcount,10305.38125,2
52,n2_x3_x5_x6_x3,spark_wordcount,3849.35728542914,2
53,n2_x3_x5_x6_x3,storm_wordcount,15664.8291666667,2
54,n2_x4,storm_logprocessing,5884.35886456529,2
55,n2_x4,storm_trafficmonitoring,33.522049602006604,2
56,n2_x4,storm_wordcount,13460.705,2
57,n2_x4_x2_x1_x4_x2,spark_logprocessing,47.24865871236389,2
58,n2_x4_x2_x1_x4_x2,storm_logprocessing,16961.87902618618,2
59,n2_x5,storm_logprocessing,16341.081210356659,2
60,n2_x5,storm_trafficmonitoring,18.6262417218543,2
61,n2_x5,storm_wordcount,15081.2680851064,2
62,n2_x6,storm_logprocessing,12050.80980616658,2
63,n2_x6,storm_trafficmonitoring,12.081632653061199,2
64,n2_x6,storm_wordcount,12373.624521072801,2
65,n2_x8_x2_x1_x4_x2,spark_logprocessing,47.12949171518139,2
66,n2_x8_x2_x1_x4_x2,storm_logprocessing,15276.42445483902,2
67,n2_x8_x4_x2_x8_x4,storm_logprocessing,2317.327226518284,2
68,n4_x1,storm_logprocessing,8683.803497824629,4
69,n4_x1,storm_trafficmonitoring,4.756232686980611,4
70,n4_x1,storm_wordcount,33886.2000375129,4
71,n4_x1_x2_x1_x4_x2,spark_logprocessing,14.045111564532604,4
72,n4_x1_x2_x1_x4_x2,storm_logprocessing,26068.018212380208,4
73,n4_x1_x5_x6_x3,spark_wordcount,3828.1811422778005,4
74,n4_x1_x5_x6_x3,storm_wordcount,29408.880794017998,4
75,n4_x2,storm_logprocessing,3846.86222649754,4
76,n4_x2,storm_trafficmonitoring,9.49308344489067,4
77,n4_x2,storm_wordcount,54022.0460067945,4
78,n4_x2_x2_x1_x4_x2,spark_logprocessing,27.966503672351685,4
79,n4_x2_x2_x1_x4_x2,storm_logprocessing,14509.03180665047,4
80,n4_x2_x2_x2,spark_trafficmonitoring,5.805849341679259,4
81,n4_x2_x2_x2,storm_trafficmonitoring,10.17202268431,4
82,n4_x2_x5_x6_x3,spark_wordcount,3689.2752534079,4
83,n4_x2_x5_x6_x3,storm_wordcount,23171.9327135203,4
84,n4_x3,storm_logprocessing,17713.594001945603,4
85,n4_x3,storm_trafficmonitoring,11.5445501730104,4
86,n4_x3,storm_wordcount,16510.4579881657,4
87,n4_x3_x5_x6_x3,spark_wordcount,3933.79567956796,4
88,n4_x3_x5_x6_x3,storm_wordcount,27387.705370844,4
89,n4_x4,storm_logprocessing,1230.832625364106,4
90,n4_x4,storm_trafficmonitoring,32.4220218414988,4
91,n4_x4,storm_wordcount,11730.127519925,4
92,n4_x4_x2_x1_x4_x2,spark_logprocessing,34.85711082210216,4
93,n4_x4_x2_x1_x4_x2,storm_logprocessing,25109.80162294514,4
94,n4_x5,storm_logprocessing,9266.74687806397,4
95,n4_x5,storm_trafficmonitoring,3.36206896551724,4
96,n4_x5,storm_wordcount,9359.83342435827,4
97,n4_x6,storm_logprocessing,20777.405482187478,4
98,n4_x6,storm_trafficmonitoring,0.48931116389548707,4
99,n4_x6,storm_wordcount,8878.98025449759,4
100,n4_x8_x2_x1_x4_x2,spark_logprocessing,42.603159165759685,4
101,n4_x8_x2_x1_x4_x2,storm_logprocessing,4411.42342210306,4
102,n4_x8_x2_x2,spark_trafficmonitoring,7.2561553030303,4
103,n4_x8_x2_x2,storm_trafficmonitoring,9.4453125,4
104,n4_x8_x4_x2_x8_x4,storm_logprocessing,5702.2862952491705,4
105,n8_x1,storm_logprocessing,10486.91613806882,8
106,n8_x1,storm_trafficmonitoring,4.86840688912809,8
107,n8_x1,storm_wordcount,37652.586141613,8
108,n8_x1_x2_x1_x4_x2,spark_logprocessing,18.287302164309395,8
109,n8_x1_x2_x1_x4_x2,storm_logprocessing,10232.135558630991,8
110,n8_x1_x5_x6_x3,spark_wordcount,3681.7875642006297,8
111,n8_x1_x5_x6_x3,storm_wordcount,33996.4117473039,8
112,n8_x2,storm_logprocessing,9562.043064090762,8
113,n8_x2,storm_trafficmonitoring,10.4534214092141,8
114,n8_x2,storm_wordcount,41304.5998092933,8
115,n8_x2_x2_x1_x4_x2,spark_logprocessing,25.691862995660333,8
116,n8_x2_x2_x1_x4_x2,storm_logprocessing,9246.66104941979,8
117,n8_x2_x5_x6_x3,spark_wordcount,3879.8433664523704,8
118,n8_x2_x5_x6_x3,storm_wordcount,65082.618779342694,8
119,n8_x3,storm_logprocessing,29399.917039750642,8
120,n8_x3,storm_trafficmonitoring,4.662078395624429,8
121,n8_x3,storm_wordcount,26081.2256374432,8
122,n8_x3_x5_x6_x3,spark_wordcount,3858.3121597096206,8
123,n8_x3_x5_x6_x3,storm_wordcount,60261.091176470596,8
124,n8_x4,storm_logprocessing,1142.148142917596,8
125,n8_x4,storm_trafficmonitoring,35.139863926687,8
126,n8_x4,storm_wordcount,94700.8255387642,8
127,n8_x4_x2_x1_x4_x2,spark_logprocessing,39.359648738811,8
128,n8_x4_x2_x1_x4_x2,storm_logprocessing,7283.033156840049,8
129,n8_x5,storm_logprocessing,2706.0295534586003,8
130,n8_x5,storm_trafficmonitoring,13.0512589387657,8
131,n8_x5,storm_wordcount,5608.81114551084,8
132,n8_x6,storm_logprocessing,994.66232473449,8
133,n8_x6,storm_trafficmonitoring,23.1943274361135,8
134,n8_x6,storm_wordcount,12125.7388004896,8
135,n8_x8_x2_x1_x4_x2,spark_logprocessing,49.95433147323844,8
136,n8_x8_x2_x1_x4_x2,storm_logprocessing,2103.4588776476603,8
137,n8_x8_x4_x2_x8_x4,storm_logprocessing,714.926850562515,8
