t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592772191,296,10.343208,0.070732,0.011027,0.595971,0.030427,0.044240,0.064734,0.077323,0.248016,10.343208,59.733020,0.000000,0.000000,0.000000,calls/second,milliseconds
1592772196,640,10.343208,0.058744,0.009711,0.489877,0.018032,0.030384,0.057050,0.074241,0.155840,10.343208,64.635588,59.200000,59.200000,59.200000,calls/second,milliseconds
1592772201,1132,10.343208,0.042669,0.008963,0.378500,0.017497,0.026317,0.049225,0.069661,0.082556,5.135987,75.858568,62.030428,59.785111,59.396121,calls/second,milliseconds
1592772206,1436,10.343208,0.034334,0.008963,0.339367,0.015688,0.025211,0.044240,0.059074,0.074241,5.135987,72.157413,62.875524,59.996922,59.469273,calls/second,milliseconds
1592772211,1957,10.343208,0.026165,0.005991,0.293575,0.014844,0.018319,0.041506,0.055796,0.070556,0.248016,78.593757,65.587975,60.605223,59.676091,calls/second,milliseconds
1592772216,2300,10.343208,0.023946,0.005991,0.288319,0.013925,0.017191,0.033188,0.046267,0.059074,0.155840,76.930478,65.796821,60.730754,59.723315,calls/second,milliseconds
1592772221,2482,10.343208,0.023674,0.005991,0.285474,0.013763,0.016976,0.034108,0.046267,0.059074,0.155840,71.100852,68.931334,61.462460,59.974154,calls/second,milliseconds
1592772226,2482,10.343208,0.023674,0.005991,0.285474,0.013763,0.016976,0.034108,0.046267,0.059074,0.155840,62.188281,63.419889,60.446575,59.641888,calls/second,milliseconds
1592772231,2482,10.343208,0.023674,0.005991,0.285474,0.013763,0.016976,0.034108,0.046267,0.059074,0.155840,55.280309,58.349115,59.447481,59.311463,calls/second,milliseconds
1592772236,2482,10.343208,0.023674,0.005991,0.285474,0.013763,0.016976,0.034108,0.046267,0.059074,0.155840,49.742184,53.683777,58.464901,58.982869,calls/second,milliseconds
1592772241,2482,10.343208,0.023674,0.005991,0.285474,0.013763,0.016976,0.034108,0.046267,0.059074,0.155840,45.208625,49.391459,57.498561,58.656095,calls/second,milliseconds
1592772246,2482,10.343208,0.023674,0.005991,0.285474,0.013763,0.016976,0.034108,0.046267,0.059074,0.155840,41.433205,45.442336,56.548193,58.331131,calls/second,milliseconds
