t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592772191,17082,0.233485,0.013080,0.004378,0.012975,0.010195,0.013944,0.029043,0.041814,0.054466,0.203131,3459.329972,0.000000,0.000000,0.000000,calls/second,milliseconds
1592772196,40944,0.144254,0.011199,0.004378,0.008574,0.007937,0.012358,0.024488,0.034247,0.044873,0.144254,4142.878957,3454.400000,3454.400000,3454.400000,calls/second,milliseconds
1592772201,65983,0.144254,0.010461,0.004537,0.007666,0.007372,0.011723,0.022112,0.029648,0.039377,0.087378,4427.078182,3564.370912,3477.133362,3462.019925,calls/second,milliseconds
1592772206,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,4421.647956,3680.436766,3502.568591,3470.629211,calls/second,milliseconds
1592772211,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,3533.161737,3728.487133,3515.441542,3475.121004,calls/second,milliseconds
1592772216,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,2941.675837,3430.373762,3457.336404,3455.868306,calls/second,milliseconds
1592772221,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,2519.671085,3156.096219,3400.191659,3436.722270,calls/second,milliseconds
1592772226,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,2203.628422,2903.748699,3343.991434,3417.682306,calls/second,milliseconds
1592772231,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1958.777617,2671.577772,3288.720118,3398.747827,calls/second,milliseconds
1592772236,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1762.475166,2457.970207,3234.362355,3379.918247,calls/second,milliseconds
1592772241,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1601.771997,2261.441760,3180.903048,3361.192986,calls/second,milliseconds
1592772246,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1467.953081,2080.626861,3128.327345,3342.571466,calls/second,milliseconds
1592772251,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1354.883372,1914.269122,3076.620642,3324.053112,calls/second,milliseconds
1592772256,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1257.918491,1761.212614,3025.768576,3305.637353,calls/second,milliseconds
1592772261,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1173.978117,1620.393828,2975.757020,3287.323620,calls/second,milliseconds
1592772266,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1100.409817,1490.834291,2926.572083,3269.111347,calls/second,milliseconds
1592772271,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,1035.606058,1371.633763,2878.200101,3250.999973,calls/second,milliseconds
1592772276,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,978.018792,1261.963982,2830.627637,3232.988939,calls/second,milliseconds
1592772281,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,926.465344,1161.062913,2783.841478,3215.077689,calls/second,milliseconds
1592772286,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,880.057533,1068.229449,2737.828625,3197.265670,calls/second,milliseconds
1592772291,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,838.101881,982.818538,2692.576299,3179.552332,calls/second,milliseconds
1592772296,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,800.002324,904.236706,2648.071927,3161.937129,calls/second,milliseconds
1592772301,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,765.118077,831.937931,2604.303148,3144.419517,calls/second,milliseconds
1592772306,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,733.288454,765.419847,2561.257803,3126.998955,calls/second,milliseconds
1592772311,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,703.941573,704.220255,2518.923935,3109.674905,calls/second,milliseconds
1592772316,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,676.839292,647.913912,2477.289784,3092.446834,calls/second,milliseconds
1592772321,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,651.720784,596.109576,2436.343786,3075.314208,calls/second,milliseconds
1592772326,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,628.366437,548.447286,2396.074565,3058.276500,calls/second,milliseconds
1592772331,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,606.759833,504.595862,2356.470936,3041.333183,calls/second,milliseconds
1592772336,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,586.485258,464.250605,2317.521897,3024.483735,calls/second,milliseconds
1592772341,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,567.585750,427.131176,2279.216630,3007.727636,calls/second,milliseconds
1592772346,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,549.835100,392.979653,2241.544492,2991.064367,calls/second,milliseconds
1592772351,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,533.166451,361.558734,2204.495021,2974.493416,calls/second,milliseconds
1592772356,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,517.477055,332.650094,2168.057923,2958.014271,calls/second,milliseconds
1592772361,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,502.680616,306.052861,2132.223077,2941.626422,calls/second,milliseconds
1592772366,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,488.660148,281.582225,2096.980530,2925.329364,calls/second,milliseconds
1592772371,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,475.462095,259.068154,2062.320490,2909.122595,calls/second,milliseconds
1592772376,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,462.971770,238.354208,2028.233331,2893.005614,calls/second,milliseconds
1592772381,87908,0.144254,0.010423,0.004568,0.008236,0.007341,0.011487,0.022112,0.032579,0.040772,0.098761,451.097220,219.296458,1994.709583,2876.977923,calls/second,milliseconds
