t,count
1592772191,335781
1592772196,816816
1592772201,1312154
1592772206,1752001
1592772211,1752001
1592772216,1752001
1592772221,1752001
1592772226,1752001
1592772231,1752001
1592772236,1752001
1592772241,1752001
1592772246,1752001
1592772251,1752001
1592772256,1752001
1592772261,1752001
1592772266,1752001
1592772271,1752001
1592772276,1752001
1592772281,1752001
1592772286,1752001
1592772291,1752001
1592772296,1752001
1592772301,1752001
1592772306,1752001
1592772311,1752001
1592772316,1752001
1592772321,1752001
1592772326,1752001
1592772331,1752001
1592772336,1752001
1592772341,1752001
1592772346,1752001
1592772351,1752001
1592772356,1752001
1592772361,1752001
1592772366,1752001
1592772371,1752001
1592772376,1752001
1592772381,1752001
1592772386,1752001
1592772391,1752001
1592772396,1752001
1592772401,1752001
1592772406,1752001
1592772411,1752001
1592772416,1752001
1592772421,1752001
1592772426,1752001
1592772431,1752001
1592772436,1752001
1592772441,1752001
1592772446,1752001
1592772451,1752001
1592772456,1752001
1592772461,1752001
1592772466,1752001
1592772471,1752001
1592772476,1752001
1592772481,1752001
