t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593710865,15771,0.054098,0.004364,0.001208,0.004181,0.003443,0.005585,0.010320,0.014112,0.020128,0.047940,3157.825391,0.000000,0.000000,0.000000,calls/second,milliseconds
1593710870,37930,0.054098,0.003463,0.001208,0.003066,0.002212,0.004250,0.007638,0.010635,0.014339,0.029858,3840.652472,3154.200000,3154.200000,3154.200000,calls/second,milliseconds
1593710875,65660,0.054098,0.002929,0.001208,0.002674,0.001968,0.003424,0.006586,0.009259,0.012835,0.027099,4414.403693,3262.235987,3176.533372,3161.685853,calls/second,milliseconds
1593710880,94442,0.054098,0.002697,0.001208,0.002411,0.001932,0.003066,0.005608,0.007299,0.009919,0.027099,4748.761672,3448.929401,3216.543472,3175.178972,calls/second,milliseconds
1593710885,122897,0.027099,0.002552,0.001208,0.001830,0.001911,0.002759,0.005259,0.007085,0.009895,0.022760,4935.838068,3632.049328,3258.239317,3189.384038,calls/second,milliseconds
1593710890,151220,0.027099,0.002423,0.001208,0.001586,0.001895,0.002551,0.004622,0.006451,0.007684,0.020455,5061.408466,3795.426627,3298.191469,3203.156944,calls/second,milliseconds
1593710895,175521,0.027099,0.002449,0.001208,0.001604,0.001943,0.002509,0.004622,0.005753,0.007507,0.025395,5031.281089,3946.252714,3337.589052,3216.889004,calls/second,milliseconds
1593710900,199618,0.027099,0.002493,0.001208,0.001654,0.001993,0.002509,0.004655,0.005608,0.007549,0.025395,5003.658739,4018.128571,3362.507669,3225.910094,calls/second,milliseconds
1593710905,223386,0.027099,0.002543,0.001208,0.001692,0.002060,0.002496,0.004838,0.006089,0.007684,0.025395,4977.096287,4080.563603,3386.250799,3234.625251,calls/second,milliseconds
1593710910,247290,0.027099,0.002573,0.001208,0.001757,0.002098,0.002501,0.004890,0.005540,0.008211,0.025627,4957.025372,4135.400053,3409.062659,3243.111516,calls/second,milliseconds
1593710915,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,4640.664761,4186.491668,3431.629700,3251.595087,calls/second,milliseconds
1593710920,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,4254.521110,3963.744069,3398.059732,3241.340293,calls/second,milliseconds
1593710925,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,3926.515654,3646.820592,3341.894745,3223.382775,calls/second,milliseconds
1593710930,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,3645.712233,3355.236917,3286.658083,3205.524745,calls/second,milliseconds
1593710935,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,3402.011598,3086.966985,3232.334403,3187.765650,calls/second,milliseconds
1593710940,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,3188.818002,2840.146733,3178.908615,3170.104944,calls/second,milliseconds
1593710945,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,3000.908103,2613.061138,3126.365877,3152.542081,calls/second,milliseconds
1593710950,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,2834.314106,2404.132305,3074.691594,3135.076519,calls/second,milliseconds
1593710955,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,2684.093085,2211.908499,3023.871412,3117.707718,calls/second,milliseconds
1593710960,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,2550.263635,2035.054061,2973.891214,3100.435144,calls/second,milliseconds
1593710965,254694,0.027099,0.002608,0.001208,0.001750,0.002115,0.002679,0.004948,0.005565,0.008211,0.025627,2428.802251,1872.340122,2924.737116,3083.258262,calls/second,milliseconds
