t,value
1593710865,4294967296
1593710866,4294967296
1593710870,4294967296
1593710871,4294967296
1593710875,4294967296
1593710876,4294967296
1593710880,4294967296
1593710881,4294967296
1593710885,4294967296
1593710886,4294967296
1593710890,4294967296
1593710891,4294967296
1593710895,4294967296
1593710896,4294967296
1593710900,4294967296
1593710901,4294967296
1593710905,4294967296
1593710906,4294967296
1593710910,4294967296
1593710911,4294967296
1593710915,4294967296
1593710916,4294967296
1593710920,4294967296
1593710921,4294967296
1593710925,4294967296
1593710926,4294967296
1593710930,4294967296
1593710931,4294967296
1593710935,4294967296
1593710936,4294967296
1593710940,4294967296
1593710941,4294967296
1593710945,4294967296
1593710946,4294967296
1593710950,4294967296
1593710951,4294967296
1593710955,4294967296
1593710956,4294967296
1593710960,4294967296
1593710961,4294967296
1593710965,4294967296
1593710966,4294967296
