t,value
1593710865,6442450944
1593710866,6442450944
1593710870,6442450944
1593710871,6442450944
1593710875,6442450944
1593710876,6442450944
1593710880,6442450944
1593710881,6442450944
1593710885,6442450944
1593710886,6442450944
1593710890,6442450944
1593710891,6442450944
1593710895,6442450944
1593710896,6442450944
1593710900,6442450944
1593710901,6442450944
1593710905,6442450944
1593710906,6442450944
1593710910,6442450944
1593710911,6442450944
1593710915,6442450944
1593710916,6442450944
1593710920,6442450944
1593710921,6442450944
1593710925,6442450944
1593710926,6442450944
1593710930,6442450944
1593710931,6442450944
1593710935,6442450944
1593710936,6442450944
1593710940,6442450944
1593710941,6442450944
1593710945,6442450944
1593710946,6442450944
1593710950,6442450944
1593710951,6442450944
1593710955,6442450944
1593710956,6442450944
1593710960,6442450944
1593710961,6442450944
1593710965,6442450944
1593710966,6442450944
