t,value
1593710865,-1.497792E7
1593710866,-1.520236E7
1593710870,-1.5620664E7
1593710871,-1.5789776E7
1593710875,-1.589564E7
1593710876,-1.5941648E7
1593710880,-1.6024184E7
1593710881,-1.613004E7
1593710885,-1.6178208E7
1593710886,-1.6276816E7
1593710890,-1.6255648E7
1593710891,-1.6334992E7
1593710895,-1.6358512E7
1593710896,-1.642096E7
1593710900,-1.6346608E7
1593710901,-1.5749024E7
1593710905,-1.5009112E7
1593710906,-1.4257E7
1593710910,-1.426624E7
1593710911,-1.4285248E7
1593710915,-1.4294496E7
1593710916,-1.4251448E7
1593710920,-1.4171496E7
1593710921,-1.4206744E7
1593710925,-1.4309752E7
1593710926,-1.4358136E7
1593710930,-1.4356672E7
1593710931,-1.43696E7
1593710935,-1.43708E7
1593710936,-1.4370272E7
1593710940,-1.4370272E7
1593710941,-1.4346592E7
1593710945,-1.4300272E7
1593710946,-1.4318768E7
1593710950,-1.4318768E7
1593710951,-1.433784E7
1593710955,-1.433784E7
1593710956,-1.4372728E7
1593710960,-1.4372728E7
1593710961,-1.4383232E7
1593710965,-1.4383232E7
1593710966,-1.4393984E7
