t,value
1593710865,935662752
1593710866,1063778360
1593710870,175015296
1593710871,416345808
1593710875,550674160
1593710876,827543960
1593710880,1075090024
1593710881,1389782392
1593710885,1542912384
1593710886,1817735648
1593710890,1993272288
1593710891,2328903544
1593710895,1731391920
1593710896,1970512976
1593710900,1365718336
1593710901,1614691840
1593710905,972714584
1593710906,1183783872
1593710910,550673528
1593710911,819127992
1593710915,2199063256
1593710916,2234648208
1593710920,2354129504
1593710921,2448536592
1593710925,2509457008
1593710926,2545156976
1593710930,2545155512
1593710931,2580820024
1593710935,2580820696
1593710936,43088960
1593710940,43088960
1593710941,78657296
1593710945,78661072
1593710946,114340624
1593710950,114340624
1593710951,150011280
1593710955,150014064
1593710956,185697752
1593710960,185700952
1593710961,221359840
1593710965,221359840
1593710966,257022176
