timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593710865,6036,311206,0.004364,15771,0.004181,0.010320,0.020128,63705
1593710870,12648,751675,0.003463,37930,0.003066,0.007638,0.014339,88260
1593710875,22566,1303524,0.002929,65660,0.002674,0.006586,0.012835,110404
1593710880,29178,1878276,0.002697,94442,0.002411,0.005608,0.009919,114780
1593710885,39096,2441327,0.002552,122897,0.001830,0.005259,0.009895,112538
1593710890,45708,3008068,0.002423,151220,0.001586,0.004622,0.007684,113570
1593710895,55626,3494930,0.002449,175521,0.001604,0.004622,0.007507,97341
1593710900,62238,3978890,0.002493,199618,0.001654,0.004655,0.007549,96579
1593710905,72156,4454106,0.002543,223386,0.001692,0.004838,0.007684,95186
1593710910,78768,4932088,0.002573,247290,0.001757,0.004890,0.008211,95681
1593710915,88686,5082220,0.002608,254694,0.001750,0.004948,0.008211,30321
1593710920,95298,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710925,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710930,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710935,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710940,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710945,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710950,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710955,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710960,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
1593710965,101910,5082220,0.002608,254694,0.001750,0.004948,0.008211,0
