timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593710865,312320,247248,0.018092,12504,0.021129,0.039988,0.083606,51528
1593710870,751943,594270,0.014171,29713,0.010813,0.029648,0.057049,69959
1593710875,1303686,1030056,0.012892,51397,0.009730,0.026135,0.044517,87160
1593710880,1878525,1484441,0.013193,74082,0.032922,0.024411,0.044517,90770
1593710885,2441638,1929374,0.013138,96343,0.032575,0.025180,0.063433,88854
1593710890,3008202,2377070,0.012676,118661,0.031659,0.023924,0.048861,89838
1593710895,3495087,2761294,0.012692,137922,0.030940,0.023438,0.043466,76776
1593710900,3979013,3143527,0.012757,156909,0.030175,0.022638,0.043466,76196
1593710905,4454227,3519059,0.012978,175621,0.029506,0.023084,0.044630,75295
1593710910,4932247,3896905,0.013138,194410,0.028870,0.024179,0.044517,75577
1593710915,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,23694
1593710920,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710925,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710930,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710935,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710940,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710945,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710950,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710955,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710960,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
1593710965,5082220,4015001,0.013138,200003,0.028629,0.024179,0.044517,0
