operator,tuple_size
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,296
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
source,304
