t,value
1593363278,20051
1593363283,26724
1593363288,31745
1593363293,36187
1593363298,32697
1593363303,27432
1593363308,25828
1593363313,28745
1593363318,26247
1593363323,23663
1593363328,22020
1593363333,22908
1593363338,22786
1593363343,21383
1593363348,22297
1593363353,25733
1593363358,23201
1593363363,24644
1593363368,22085
1593363373,23351
1593363378,26245
1593363383,23351
1593363388,24380
1593363393,22601
1593363398,22171
1593363403,21681
1593363408,24011
1593363413,23995
1593363418,23793
1593363423,24690
1593363428,23671
1593363433,26944
1593363438,25390
1593363443,24400
1593363448,27567
1593363453,23059
1593363458,17367
1593363463,4262
1593363468,4274
1593363473,4518
1593363478,4281
1593363483,5018
1593363488,5143
1593363493,5302
1593363498,4655
1593363503,4380
1593363508,4294
1593363513,4406
1593363518,4673
1593363523,4473
1593363528,4270
1593363533,4311
1593363538,4374
1593363543,4278
1593363548,5109
1593363553,5169
1593363558,5334
1593363563,5181
1593363568,5049
1593363573,4411
1593363578,4305
1593363583,4406
1593363588,4320
1593363593,4387
1593363598,4382
1593363603,4415
1593363608,4408
1593363613,4402
1593363618,4394
1593363623,4387
1593363628,4389
1593363633,4915
1593363638,4683
1593363643,5241
1593363648,4891
1593363653,4416
1593363658,4393
1593363663,4412
1593363668,4404
1593363673,4419
1593363678,4409
1593363683,4406
1593363688,4386
1593363693,4409
1593363698,4664
1593363703,4406
1593363708,4690
1593363713,4395
1593363718,5167
1593363723,5200
1593363728,5217
1593363733,5286
1593363738,5236
1593363743,5256
1593363748,5213
1593363753,5231
1593363758,5257
1593363763,5064
1593363768,4394
1593363773,4396
1593363778,4409
1593363783,4395
1593363788,4441
1593363793,4435
1593363798,4416
1593363803,4395
1593363808,4405
1593363813,4410
1593363818,4394
1593363823,4405
1593363828,4412
1593363833,4429
1593363838,4423
1593363843,4411
1593363848,4403
1593363853,4407
1593363858,4424
1593363863,4407
1593363868,4338
1593363873,4408
1593363878,4417
1593363883,4409
1593363888,4415
1593363893,4408
1593363898,4383
1593363903,4416
1593363908,4410
1593363913,4486
1593363918,4587
1593363923,4676
1593363928,4409
1593363933,4678
1593363938,4403
1593363943,4401
1593363948,4434
1593363953,5143
1593363958,5187
1593363963,5262
1593363968,5256
1593363973,5259
1593363978,5091
1593363983,4644
1593363988,4991
1593363993,4395
1593363998,4796
1593364003,5254
1593364008,4477
1593364013,4385
1593364018,4383
1593364023,4383
1593364028,4407
1593364033,4370
1593364038,4390
1593364043,4941
1593364048,5304
1593364053,5244
1593364058,5249
1593364063,4514
1593364068,4372
1593364073,4402
1593364078,4442
1593364083,4397
1593364088,4418
1593364093,4395
1593364098,4679
1593364103,5301
1593364108,5285
1593364113,5049
1593364118,4409
1593364123,4378
1593364128,4739
1593364133,5180
1593364138,4382
1593364143,4407
1593364148,4919
1593364153,5223
1593364158,5097
1593364163,4408
1593364168,4370
1593364173,4373
1593364178,4949
1593364183,4884
1593364188,4379
1593364193,4550
1593364198,5261
1593364203,4753
1593364208,4424
1593364213,4413
1593364218,4393
1593364223,4853
1593364228,5289
1593364233,4423
1593364238,4430
1593364243,4387
1593364248,4843
1593364253,4721
1593364258,5316
1593364263,5192
1593364268,4601
1593364273,4395
1593364278,4423
1593364283,4405
1593364288,5251
1593364293,4673
1593364298,4422
1593364303,4419
1593364308,4399
1593364313,4975
1593364318,5246
1593364323,4898
1593364328,4413
1593364333,4411
1593364338,4375
1593364343,4392
1593364348,4415
1593364353,4409
1593364358,4410
1593364363,4376
1593364368,4397
1593364373,4421
1593364378,5063
1593364383,5220
1593364388,4498
1593364393,4384
1593364398,4694
1593364403,4881
1593364408,4403
1593364413,4390
1593364418,4640
1593364423,5241
1593364428,4348
1593364433,4379
1593364438,4397
1593364443,4600
1593364448,4951
1593364453,5074
1593364458,4134
1593364463,4285
1593364468,4283
1593364473,4147
1593364478,4167
1593364483,4048
1593364488,4094
1593364493,4376
1593364498,4368
1593364503,4000
1593364508,4139
1593364513,4363
1593364518,4069
1593364523,4172
1593364528,3878
1593364533,4061
1593364538,4215
1593364543,3824
1593364548,4216
1593364553,4393
1593364558,4400
1593364563,4391
1593364568,4436
1593364573,4389
1593364578,4391
1593364583,4406
1593364588,4402
1593364593,4406
1593364598,4407
1593364603,4399
1593364608,4417
1593364613,4403
1593364618,4417
1593364623,4410
1593364628,4423
1593364633,4394
1593364638,4420
1593364643,4393
1593364648,4766
1593364653,4611
1593364658,4399
1593364663,4407
1593364668,4376
1593364673,4384
1593364678,4394
1593364683,4388
1593364688,4416
1593364693,4413
1593364698,4337
1593364703,4496
1593364708,5271
1593364713,5046
1593364718,4395
1593364723,4403
1593364728,4390
1593364733,4415
1593364738,4219
1593364743,4305
1593364748,3965
1593364753,4049
1593364758,4237
1593364763,3911
1593364768,4195
1593364773,4125
1593364778,4243
1593364783,4375
1593364788,4362
1593364793,4376
1593364798,4255
1593364803,4214
1593364808,4290
1593364813,4387
1593364818,4402
1593364823,4446
1593364828,4661
1593364833,5283
1593364838,4692
1593364843,4398
1593364848,4411
1593364853,4413
1593364858,4404
1593364863,4390
1593364868,4420
1593364873,4420
1593364878,4405
1593364883,4397
1593364888,4395
1593364893,4399
1593364898,5043
1593364903,5103
1593364908,4599
1593364913,5295
1593364918,4677
1593364923,4419
1593364928,4382
1593364933,4404
1593364938,4402
1593364943,4393
1593364948,5274
1593364953,4595
1593364958,4384
1593364963,4410
1593364968,4403
1593364973,4423
1593364978,4728
1593364983,4825
1593364988,4404
1593364993,4415
1593364998,4400
1593365003,4422
1593365008,4435
1593365013,4404
1593365018,4416
1593365023,4385
1593365028,4424
1593365033,4423
1593365038,4413
1593365043,4392
1593365048,4441
1593365053,4410
1593365058,4430
1593365063,711
1593365068,0
1593365073,0
1593365078,0
1593365083,0
1593365088,0
1593365093,0
1593365098,0
1593365103,0
1593365108,0
1593365113,0
1593365118,0
1593365123,0
1593365128,0
1593365133,0
1593365138,0
1593365143,0
1593365148,0
1593365153,0
1593365158,0
1593365163,0
1593365168,0
1593365173,0
1593365178,0
1593365183,0
1593365188,0
1593365193,0
1593365198,0
1593365203,0
1593365208,0
1593365213,0
1593365218,0
1593365223,0
1593365228,0
1593365233,0
1593365238,0
1593365243,0
1593365248,0
1593365253,0
1593365258,0
1593365263,0
1593365268,0
1593365273,0
1593365278,0
1593365283,0
1593365288,0
1593365293,0
1593365298,0
1593365303,0
1593365308,0
1593365313,0
1593365318,0
1593365323,0
1593365328,0
1593365333,0
1593365338,0
1593365343,0
1593365348,0
1593365353,0
1593365358,0
1593365363,0
1593365368,0
1593365373,0
1593365378,0
1593365383,0
1593365388,0
1593365393,0
1593365398,0
1593365403,0
1593365408,0
1593365413,0
1593365418,0
1593365423,0
1593365428,0
1593365433,0
1593365438,0
1593365443,0
1593365448,0
1593365453,0
1593365458,0
1593365463,0
1593365468,0
1593365473,0
1593365478,0
1593365483,0
1593365488,0
1593365493,0
1593365498,0
1593365503,0
1593365508,0
1593365513,0
1593365518,0
1593365523,0
1593365528,0
1593365533,0
1593365538,0
1593365543,0
1593365548,0
1593365553,0
1593365558,0
1593365563,0
1593365568,0
1593365573,0
1593365578,0
1593365583,0
1593365588,0
1593365593,0
1593365598,0
1593365603,0
1593365608,0
1593365613,0
1593365618,0
1593365623,0
1593365628,0
1593365633,0
1593365638,0
1593365643,0
1593365648,0
1593365653,0
1593365658,0
1593365663,0
1593365668,0
1593365673,0
1593365678,0
1593365683,0
1593365688,0
1593365693,0
1593365698,0
1593365703,0
1593365708,0
1593365713,0
1593365718,0
1593365723,0
1593365728,0
1593365733,0
1593365738,0
1593365743,0
1593365748,0
1593365753,0
1593365758,0
1593365763,0
1593365768,0
1593365773,0
1593365778,0
1593365783,0
1593365788,0
1593365793,0
1593365798,0
1593365803,0
1593365808,0
1593365813,0
1593365818,0
1593365823,0
1593365828,0
1593365833,0
1593365838,0
1593365843,0
1593365848,0
1593365853,0
1593365858,0
1593365863,0
1593365868,0
1593365873,0
1593365878,0
1593365883,0
1593365888,0
1593365893,0
1593365898,0
1593365903,0
1593365908,0
1593365913,0
1593365918,0
1593365923,0
1593365928,0
1593365933,0
1593365938,0
1593365943,0
1593365948,0
1593365953,0
1593365958,0
1593365963,0
1593365968,0
1593365973,0
1593365978,0
1593365983,0
1593365988,0
1593365993,0
1593365998,0
1593366003,0
1593366008,0
1593366013,0
1593366018,0
1593366023,0
1593366028,0
1593366033,0
1593366038,0
1593366043,0
1593366048,0
1593366053,0
1593366058,0
1593366063,0
1593366068,0
1593366073,0
1593366078,0
1593366083,0
1593366088,0
1593366093,0
1593366098,0
1593366103,0
1593366108,0
1593366113,0
1593366118,0
1593366123,0
1593366128,0
1593366133,0
1593366138,0
1593366143,0
1593366148,0
1593366153,0
1593366158,0
1593366163,0
1593366168,0
1593366173,0
1593366178,0
1593366183,0
1593366188,0
1593366193,0
1593366198,0
1593366203,0
1593366208,0
1593366213,0
1593366218,0
1593366223,0
1593366228,0
1593366233,0
1593366238,0
1593366243,0
1593366248,0
1593366253,0
1593366258,0
1593366263,0
1593366268,0
1593366273,0
1593366278,0
1593366283,0
1593366288,0
1593366293,0
1593366298,0
1593366303,0
1593366308,0
1593366313,0
1593366318,0
1593366323,0
1593366328,0
1593366333,0
1593366338,0
1593366343,0
1593366348,0
1593366353,0
1593366358,0
1593366363,0
1593366368,0
1593366373,0
1593366378,0
1593366383,0
1593366388,0
1593366393,0
1593366398,0
1593366403,0
1593366408,0
1593366413,0
1593366418,0
1593366423,0
1593366428,0
1593366433,0
1593366438,0
1593366443,0
1593366448,0
1593366453,0
1593366458,0
1593366463,0
1593366468,0
1593366473,0
1593366478,0
1593366483,0
1593366488,0
1593366493,0
1593366498,0
1593366503,0
1593366508,0
1593366513,0
1593366518,0
1593366523,0
1593366528,0
1593366533,0
1593366538,0
1593366543,0
1593366548,0
1593366553,0
1593366558,0
1593366563,0
1593366568,0
1593366573,0
1593366578,0
1593366583,0
1593366588,0
1593366593,0
1593366598,0
1593366603,0
1593366608,0
1593366613,0
1593366618,0
1593366623,0
1593366628,0
