t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593363278,4251,1.662504,0.051519,0.019518,0.079911,0.040282,0.054752,0.090895,0.167926,0.266237,1.375183,857.116132,0.000000,0.000000,0.000000,calls/second,milliseconds
1593363283,9845,1.662504,0.045715,0.019518,0.071580,0.038124,0.045943,0.075033,0.115749,0.189673,1.375183,991.682098,853.800000,853.800000,853.800000,calls/second,milliseconds
1593363288,16757,0.361768,0.036626,0.019279,0.020937,0.029957,0.041527,0.067519,0.078445,0.105513,0.222358,1129.188173,876.251528,858.441216,855.355675,calls/second,milliseconds
1593363293,24639,0.371243,0.034712,0.019279,0.022689,0.027257,0.040312,0.066133,0.075844,0.110424,0.371243,1243.100023,918.336029,867.435369,858.387491,calls/second,milliseconds
1593363298,31761,0.361768,0.032732,0.019279,0.017332,0.027104,0.038103,0.058157,0.072145,0.081543,0.222358,1279.185777,971.047865,879.173358,862.372038,calls/second,milliseconds
1593363303,37549,0.361768,0.034157,0.019279,0.017617,0.028043,0.039684,0.059867,0.072853,0.081674,0.222358,1259.699959,1006.448371,888.009959,865.427033,calls/second,milliseconds
1593363308,43143,0.361768,0.034539,0.019279,0.016266,0.029616,0.040051,0.059462,0.072853,0.081674,0.176847,1237.572092,1018.022073,892.360108,867.010258,calls/second,milliseconds
1593363313,49309,0.176847,0.034023,0.019279,0.012306,0.030270,0.038590,0.057865,0.070963,0.076413,0.122796,1239.670017,1025.648071,896.013576,868.375295,calls/second,milliseconds
1593363318,54999,0.176847,0.034356,0.019279,0.011984,0.031211,0.039452,0.055299,0.069325,0.075677,0.122796,1227.480667,1043.826127,901.914043,870.506174,calls/second,milliseconds
1593363323,60073,0.176847,0.035150,0.019279,0.011975,0.032163,0.040759,0.058054,0.068010,0.075677,0.122796,1206.101804,1049.948636,905.525298,871.890624,calls/second,milliseconds
1593363328,64919,0.176847,0.036508,0.019279,0.013019,0.032826,0.041554,0.059755,0.075464,0.082054,0.122796,1182.353937,1047.586058,907.424010,872.713389,calls/second,milliseconds
1593363333,69829,0.176847,0.037023,0.019279,0.012841,0.033631,0.041306,0.061463,0.075677,0.083920,0.121857,1168.186546,1040.151303,908.203760,873.167053,calls/second,milliseconds
1593363338,74825,0.176847,0.037599,0.019279,0.012907,0.034017,0.041554,0.061096,0.072853,0.083920,0.121857,1154.139369,1037.484680,909.833413,873.907400,calls/second,milliseconds
1593363343,79430,185.679293,0.305690,0.019533,7.037836,0.035084,0.042044,0.061096,0.074577,0.083699,185.679293,1138.432704,1033.847926,911.191507,874.561651,calls/second,milliseconds
1593363348,84094,185.679293,0.291603,0.019533,6.845259,0.036157,0.042081,0.062978,0.072853,0.083699,185.679293,1124.317338,1024.073521,911.198259,874.766849,calls/second,milliseconds
1593363353,89544,185.679293,0.277296,0.019533,6.650755,0.035996,0.041554,0.061463,0.072764,0.083381,185.679293,1122.382330,1018.023001,911.813150,875.174788,calls/second,milliseconds
1593363358,94696,185.679293,0.265752,0.019533,6.479337,0.036918,0.042777,0.061031,0.072485,0.080516,185.679293,1116.623508,1023.538097,914.708734,876.348332,calls/second,milliseconds
1593363363,99950,185.679293,0.251800,0.019533,6.275201,0.036828,0.042017,0.061604,0.074270,0.081674,185.679293,1113.085437,1024.310620,916.667222,877.217314,calls/second,milliseconds
1593363368,104715,185.679293,0.241219,0.019533,6.110842,0.036963,0.043431,0.062612,0.072764,0.080516,185.679293,1104.568572,1026.572514,918.913993,878.188960,calls/second,milliseconds
1593363373,109737,185.679293,0.262164,0.019533,6.010570,0.037006,0.043637,0.060983,0.070746,0.080516,185.679293,1099.703903,1020.098309,919.355074,878.562428,calls/second,milliseconds
1593363378,115418,185.679293,0.244703,0.019533,5.773061,0.036963,0.043120,0.061228,0.072764,0.082054,18.273474,1101.316624,1019.514769,920.899583,879.306124,calls/second,milliseconds
1593363383,120665,185.679293,0.230322,0.019533,5.561909,0.037086,0.043887,0.063338,0.074270,0.082965,18.273474,1096.916108,1027.491172,925.894360,881.452459,calls/second,milliseconds
1593363388,125933,185.679293,0.216452,0.019533,5.352992,0.037075,0.043637,0.062612,0.075599,0.083920,18.273474,1096.687105,1027.491172,925.894360,881.452459,calls/second,milliseconds
1593363393,130992,18.273474,0.063656,0.019533,0.644773,0.037294,0.043905,0.064416,0.078628,0.088035,18.273474,1092.030921,1032.153288,928.537368,882.584575,calls/second,milliseconds
1593363398,135648,18.273474,0.063033,0.019533,0.629343,0.037471,0.045100,0.065016,0.080495,0.088035,18.273474,1086.981552,1028.878844,929.573090,883.186321,calls/second,milliseconds
1593363403,140255,18.273474,0.062167,0.019533,0.609612,0.037697,0.047349,0.065016,0.080495,0.092192,18.273474,1080.632647,1022.300191,929.854520,883.537643,calls/second,milliseconds
1593363408,145494,18.273474,0.060915,0.019533,0.588083,0.037699,0.047450,0.065857,0.081520,0.088035,18.273474,1079.376669,1014.408560,929.751142,883.759594,calls/second,milliseconds
1593363413,150644,18.273474,0.059634,0.019533,0.569371,0.037930,0.047577,0.064601,0.078681,0.088035,0.237353,1077.494139,1017.638081,931.818018,884.707184,calls/second,milliseconds
1593363418,155737,18.273474,0.058572,0.019533,0.548999,0.037930,0.048523,0.064020,0.078996,0.092192,0.237353,1075.761975,1018.146752,933.341652,885.478887,calls/second,milliseconds
1593363423,161173,0.237353,0.041915,0.019533,0.014083,0.037728,0.047380,0.064020,0.078681,0.085273,0.176847,1076.022876,1019.414308,935.005388,886.301717,calls/second,milliseconds
1593363428,166255,0.237353,0.041512,0.019533,0.013710,0.037530,0.045505,0.063541,0.076085,0.088035,0.144640,1073.778698,1024.722214,937.497804,887.406968,calls/second,milliseconds
1593363433,171988,0.237353,0.040439,0.020041,0.013644,0.037181,0.043167,0.062341,0.075599,0.086469,0.144640,1076.494561,1022.889455,938.560626,888.040723,calls/second,milliseconds
1593363438,177493,0.237353,0.040198,0.020041,0.013514,0.037049,0.041935,0.062341,0.078673,0.086469,0.144640,1076.898882,1035.259428,942.511599,889.644925,calls/second,milliseconds
1593363443,182581,0.237353,0.040257,0.020041,0.013277,0.036982,0.042189,0.062801,0.074829,0.085273,0.144640,1075.325865,1037.717308,944.552683,890.621959,calls/second,milliseconds
1593363448,188684,0.237353,0.039842,0.020041,0.014353,0.036833,0.041310,0.063424,0.075064,0.086469,0.175357,1079.490706,1036.108817,945.760049,891.325437,calls/second,milliseconds
1593363453,193767,0.237353,0.040475,0.020041,0.014269,0.037156,0.042483,0.063491,0.077437,0.085273,0.175357,1077.766404,1051.387624,950.411842,893.186233,calls/second,milliseconds
