t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593363278,407,8.154228,0.579424,0.294802,0.450431,0.565190,0.657185,1.007305,1.178791,1.263676,8.154228,79.812040,79.600000,79.600000,79.600000,calls/second,milliseconds
1593363283,916,8.154228,0.507776,0.294115,0.319182,0.418058,0.595913,0.862531,1.050166,1.101843,8.154228,90.889131,81.422987,79.976851,79.726315,calls/second,milliseconds
1593363288,1482,2.663705,0.464951,0.294115,0.173666,0.395979,0.583268,0.742543,0.910198,1.030205,2.663705,98.866824,81.422987,79.976851,79.726315,calls/second,milliseconds
1593363293,2041,1.366161,0.444838,0.294115,0.143800,0.393993,0.548288,0.728331,0.828047,0.933798,1.093200,102.198851,84.059684,80.545815,79.918413,calls/second,milliseconds
1593363298,2593,1.403567,0.436949,0.294115,0.137563,0.393985,0.480516,0.702778,0.804077,0.929642,1.403567,103.783362,86.325650,81.072319,80.098366,calls/second,milliseconds
1593363303,3069,1.149875,0.454840,0.294115,0.144565,0.396892,0.515809,0.741516,0.828066,0.945899,1.149875,102.422332,88.218547,81.550451,80.264025,calls/second,milliseconds
1593363308,3515,1.149875,0.464009,0.294115,0.148025,0.398725,0.523496,0.750097,0.842296,0.927261,1.149875,100.397966,88.776055,81.892045,80.393593,calls/second,milliseconds
1593363313,3994,1.149875,0.467804,0.294115,0.143278,0.407851,0.511568,0.747333,0.828066,0.923911,1.149875,100.020005,88.776055,81.892045,80.393593,calls/second,milliseconds
1593363318,4470,1.149875,0.472651,0.294115,0.141884,0.413202,0.515323,0.750097,0.814821,0.922323,1.142796,99.422253,89.401623,82.135146,80.483379,calls/second,milliseconds
1593363323,4926,1.149875,0.485627,0.294115,0.144832,0.447461,0.542540,0.763768,0.856502,0.926302,1.142796,98.597832,89.897218,82.357700,80.567127,calls/second,milliseconds
1593363328,5318,1.241871,0.503478,0.294115,0.156431,0.467734,0.568238,0.821338,0.934959,0.981016,1.241871,96.554069,88.982955,82.416404,80.607079,calls/second,milliseconds
1593363333,5678,1.241871,0.514666,0.294115,0.156897,0.471103,0.578902,0.834190,0.934959,0.981016,1.241871,94.750715,88.982955,82.416404,80.607079,calls/second,milliseconds
1593363338,6053,1.241871,0.523745,0.294115,0.153362,0.479105,0.588719,0.845331,0.918956,0.975666,1.241871,93.138314,87.705028,82.260765,80.564934,calls/second,milliseconds
1593363343,6381,1.241871,0.530007,0.294115,0.152383,0.485589,0.590228,0.856502,0.921318,0.975666,1.241871,91.253480,86.641217,82.130838,80.530780,calls/second,milliseconds
1593363348,6786,1.740814,0.538313,0.294115,0.159238,0.494638,0.589941,0.872569,0.940866,0.997295,1.740814,90.544711,85.054801,81.877441,80.454709,calls/second,milliseconds
1593363353,7190,1.241871,0.539874,0.294115,0.147407,0.503576,0.586216,0.869262,0.935338,0.981016,1.241871,89.954292,84.682623,81.853021,80.454406,calls/second,milliseconds
1593363358,7543,1.241871,0.542633,0.294115,0.147380,0.501633,0.582775,0.878675,0.930754,0.997295,1.149875,88.787539,84.372186,81.835617,80.456321,calls/second,milliseconds
1593363363,7942,1.241871,0.551885,0.294115,0.150168,0.515323,0.591030,0.895344,0.939580,1.002617,1.149875,88.297835,83.271023,81.649908,80.401715,calls/second,milliseconds
1593363368,8324,17.507485,0.585351,0.294115,0.698485,0.522657,0.591938,0.896729,0.949399,1.002617,17.507485,87.665625,82.977504,81.616026,80.397274,calls/second,milliseconds
1593363373,8760,224.959760,0.955281,0.294115,9.087630,0.533453,0.604566,0.896729,0.952409,1.024095,224.959760,87.654749,82.435605,81.526507,80.374020,calls/second,milliseconds
1593363378,9204,224.959760,0.927956,0.294115,8.795219,0.528730,0.591171,0.901580,0.949035,1.002617,224.959760,87.699301,82.912491,81.640116,80.418485,calls/second,milliseconds
1593363383,9640,224.959760,0.905905,0.294115,8.518979,0.529825,0.608774,0.895344,0.948327,0.974214,224.959760,87.514817,83.549597,81.818866,80.492286,calls/second,milliseconds
1593363388,9996,224.959760,0.883254,0.294115,8.228182,0.536985,0.596744,0.890169,0.932401,0.974214,224.959760,86.933491,83.549597,81.818866,80.492286,calls/second,milliseconds
1593363393,10356,224.959760,0.868314,0.297499,7.978842,0.542750,0.601635,0.889653,0.918415,0.974214,224.959760,86.225800,81.699124,81.480546,80.392921,calls/second,milliseconds
1593363398,10761,224.959760,0.847063,0.297964,7.741800,0.536226,0.594044,0.885243,0.917179,0.974214,224.959760,86.123501,81.699124,81.480546,80.392921,calls/second,milliseconds
1593363403,11110,224.959760,0.831189,0.297964,7.519418,0.533873,0.591715,0.885243,0.927780,0.975666,224.959760,85.500376,81.707190,81.485826,80.400717,calls/second,milliseconds
1593363408,11533,224.959760,1.181971,0.297964,11.352822,0.539322,0.591071,0.895344,0.936110,0.987004,224.959760,85.465185,80.867081,81.315817,80.349743,calls/second,milliseconds
1593363413,11969,224.959760,1.139300,0.297964,10.953074,0.529736,0.589202,0.898532,0.949074,1.034226,209.700527,85.517995,81.069602,81.350265,80.366642,calls/second,milliseconds
1593363418,12368,224.959760,1.080295,0.297964,10.509163,0.533836,0.585511,0.890169,0.927780,0.975666,209.700527,85.341234,81.511789,81.437036,80.401176,calls/second,milliseconds
1593363423,12778,224.959760,1.044367,0.297964,10.076173,0.542486,0.589202,0.898532,0.928053,0.974214,209.700527,85.219995,81.454877,81.426506,80.403386,calls/second,milliseconds
1593363428,13191,224.959760,1.014995,0.297964,9.787654,0.541679,0.584917,0.895847,0.928053,0.973623,209.700527,85.101592,81.485476,81.435172,80.417679,calls/second,milliseconds
1593363433,13655,224.959760,0.968360,0.297964,9.403241,0.525648,0.582713,0.889396,0.928053,0.974214,209.700527,85.388652,81.485476,81.435172,80.417679,calls/second,milliseconds
1593363438,14078,209.700527,0.788858,0.297964,6.925180,0.529024,0.582713,0.895115,0.930754,0.974214,209.700527,85.336604,82.518064,81.649462,80.495143,calls/second,milliseconds
1593363443,14494,209.700527,0.776798,0.297964,6.707914,0.530741,0.584271,0.882651,0.928053,0.971347,209.700527,85.288558,82.620562,81.685007,80.513453,calls/second,milliseconds
1593363448,14922,209.700527,0.756709,0.297964,6.484723,0.520430,0.582713,0.889396,0.933892,0.982505,1.561316,85.291562,82.730856,81.723271,80.532769,calls/second,milliseconds
1593363453,15341,209.700527,0.763178,0.299260,6.267255,0.526088,0.582843,0.893590,0.937427,1.036786,11.231685,85.258227,82.880304,81.770819,80.555302,calls/second,milliseconds
1593363458,15804,209.700527,0.739185,0.299260,6.003430,0.520430,0.581503,0.893590,0.948327,1.017536,11.231685,85.471608,82.937848,81.801052,80.572170,calls/second,milliseconds
1593363463,16332,209.700527,0.709696,0.299260,5.775410,0.483900,0.574955,0.871521,0.937371,0.982505,11.231685,86.004045,83.822329,82.002683,80.646562,calls/second,milliseconds
1593363468,16870,209.700527,0.666208,0.299260,5.546235,0.466194,0.556871,0.847556,0.912118,0.961440,1.330196,86.556295,85.547584,82.389407,80.783700,calls/second,milliseconds
1593363473,17374,209.700527,0.640304,0.299260,5.339020,0.455916,0.549588,0.827460,0.906281,0.952290,1.330196,86.913302,87.358771,82.816019,80.935590,calls/second,milliseconds
1593363478,17908,209.700527,0.622138,0.299260,5.148245,0.452503,0.530741,0.805506,0.900082,0.934408,1.330196,87.373085,88.465455,83.119879,81.047858,calls/second,milliseconds
1593363483,18497,209.700527,0.592270,0.299260,4.933630,0.446846,0.486761,0.734508,0.889413,0.923580,1.330196,88.120493,89.771493,83.478220,81.179449,calls/second,milliseconds
1593363488,19154,209.700527,0.566205,0.299260,4.749433,0.437316,0.473020,0.672027,0.847556,0.900837,1.330196,89.130540,92.220413,84.088483,81.396736,calls/second,milliseconds
1593363493,19850,1.330196,0.443492,0.299260,0.108404,0.430691,0.458603,0.637929,0.827683,0.898991,1.087932,90.269251,95.257093,84.850640,81.667114,calls/second,milliseconds
1593363498,20418,1.087932,0.440609,0.299260,0.100802,0.431036,0.455559,0.629580,0.816297,0.889413,0.987004,90.786470,98.738592,85.742344,81.983639,calls/second,milliseconds
1593363503,20938,1.079023,0.440998,0.299260,0.095780,0.432219,0.454903,0.605161,0.805506,0.871521,0.952290,91.074708,99.894862,86.196179,82.156582,calls/second,milliseconds
1593363508,21501,1.079023,0.443780,0.299260,0.091291,0.434158,0.454493,0.596744,0.800412,0.847556,0.952290,91.531090,100.351020,86.516896,82.286462,calls/second,milliseconds
1593363513,22028,1.079023,0.445008,0.299260,0.088716,0.434737,0.453497,0.597525,0.788654,0.845114,0.952290,91.820229,101.250439,86.931483,82.448864,calls/second,milliseconds
1593363518,22645,1.079023,0.439840,0.299260,0.086547,0.433177,0.451250,0.583997,0.785500,0.827466,0.952290,92.463248,101.614201,87.243353,82.578233,calls/second,milliseconds
1593363523,23215,1.079023,0.443262,0.322285,0.085030,0.435430,0.452808,0.597066,0.788654,0.824803,0.952290,92.846193,104.035071,88.237141,82.965050,calls/second,milliseconds
1593363528,23768,1.079023,0.444216,0.322285,0.081700,0.437632,0.452956,0.583997,0.788654,0.824356,0.933892,93.240469,104.035071,88.237141,82.965050,calls/second,milliseconds
1593363533,24307,1.079023,0.445182,0.322285,0.078275,0.439097,0.452364,0.581503,0.764461,0.804083,0.933892,93.524225,104.639929,88.623295,83.123692,calls/second,milliseconds
1593363538,24874,1.079023,0.445909,0.322285,0.072673,0.440851,0.452122,0.570244,0.725521,0.800412,0.933892,93.899495,104.876603,88.936953,83.259294,calls/second,milliseconds
1593363543,25420,1.079023,0.447478,0.322285,0.073810,0.437684,0.451249,0.575150,0.755506,0.812049,0.927584,94.183315,105.670034,89.364431,83.434035,calls/second,milliseconds
1593363548,26096,1.079023,0.438074,0.322285,0.073711,0.433845,0.449475,0.556461,0.725521,0.804083,0.920931,94.929293,105.888310,89.679061,83.572350,calls/second,milliseconds
1593363553,26723,1.079023,0.427039,0.322285,0.072004,0.431379,0.447565,0.536748,0.706953,0.800412,0.920931,95.474208,108.359872,90.457902,83.867239,calls/second,milliseconds
1593363558,27380,1.079023,0.418459,0.322912,0.068080,0.429368,0.445954,0.489707,0.644116,0.764461,0.893590,96.105183,109.706335,91.032138,84.096229,calls/second,milliseconds
1593363563,28064,1.079023,0.412803,0.322912,0.067172,0.391645,0.442933,0.487238,0.636103,0.732945,0.871916,96.805919,111.408882,91.692749,84.356083,calls/second,milliseconds
1593363568,28739,1.079023,0.409596,0.322912,0.066151,0.379446,0.438505,0.487238,0.636103,0.723310,0.871916,97.454049,113.518999,92.454835,84.652170,calls/second,milliseconds
1593363573,29269,1.079023,0.414239,0.323066,0.064495,0.408185,0.444774,0.475392,0.626560,0.696420,0.852950,97.596384,115.108597,93.131599,84.922241,calls/second,milliseconds
1593363578,29834,1.079023,0.419667,0.323066,0.065334,0.429632,0.446262,0.475392,0.626560,0.786430,0.831711,97.848195,114.460269,93.360824,85.044555,calls/second,milliseconds
1593363583,30367,1.079023,0.423954,0.323066,0.067244,0.430405,0.447027,0.485021,0.683060,0.788654,0.827466,97.990588,114.247566,93.665596,85.192784,calls/second,milliseconds
1593363588,30906,1.079023,0.426691,0.323066,0.063920,0.431607,0.447454,0.471425,0.641320,0.788654,0.825844,98.144800,113.652091,93.882689,85.312491,calls/second,milliseconds
1593363593,31454,1.079023,0.429584,0.323066,0.062919,0.432422,0.448214,0.471425,0.636103,0.799708,0.825844,98.324057,113.136210,94.102805,85.433751,calls/second,milliseconds
1593363598,32042,1.079023,0.433450,0.323066,0.064676,0.433662,0.448218,0.478401,0.683060,0.790957,0.824356,98.622042,113.029373,94.395314,85.579824,calls/second,milliseconds
1593363603,32595,1.079023,0.435235,0.323066,0.061581,0.434365,0.448307,0.476320,0.671971,0.786430,0.815043,98.800511,113.250900,94.749102,85.747249,calls/second,milliseconds
1593363608,33151,1.079023,0.436999,0.323066,0.058434,0.436663,0.448577,0.470097,0.644116,0.790957,0.815043,98.987609,113.118901,95.027623,85.890477,calls/second,milliseconds
1593363613,33698,1.079023,0.440033,0.323066,0.060330,0.436911,0.448577,0.471425,0.684831,0.799708,0.818965,99.141714,112.901510,95.281706,86.026264,calls/second,milliseconds
1593363618,34244,1.079023,0.443272,0.323066,0.063006,0.438831,0.448961,0.481860,0.696420,0.802207,0.823010,99.287323,112.685509,95.528284,86.160190,calls/second,milliseconds
1593363623,34805,1.079023,0.444712,0.323066,0.061318,0.441853,0.449638,0.491753,0.684831,0.803970,0.823010,99.471774,112.438805,95.760869,86.290050,calls/second,milliseconds
1593363628,35345,1.079023,0.446503,0.323066,0.060746,0.443189,0.451143,0.488970,0.684831,0.805081,0.823010,99.592343,112.339756,96.016055,86.428055,calls/second,milliseconds
