t,count
1593363278,7694
1593363283,17623
1593363288,27841
1593363293,39376
1593363298,49781
1593363303,58886
1593363308,67558
1593363313,77166
1593363318,85987
1593363323,94277
1593363328,101718
1593363333,109264
1593363338,116978
1593363343,124328
1593363348,132172
1593363353,140311
1593363358,147734
1593363363,155847
1593363368,163585
1593363373,171347
1593363378,180059
1593363383,188427
1593363388,195918
1593363393,203488
1593363398,211365
1593363403,218907
1593363408,226631
1593363413,234594
1593363418,242508
1593363423,250317
1593363428,258353
1593363433,267313
1593363438,275704
1593363443,283837
1593363448,292543
1593363453,300061
1593363458,309371
1593363463,320025
1593363468,330715
1593363473,342016
1593363478,352853
1593363483,365251
1593363488,378108
1593363493,391367
1593363498,403006
1593363503,413962
1593363508,424702
1593363513,435721
1593363518,447403
1593363523,458588
1593363528,469267
1593363533,480049
1593363538,490989
1593363543,501683
1593363548,514466
1593363553,527393
1593363558,540731
1593363563,553688
1593363568,566310
1593363573,577340
1593363578,588108
1593363583,599123
1593363588,609928
1593363593,620900
1593363598,631857
1593363603,642911
1593363608,653918
1593363613,664925
1593363618,675913
1593363623,686886
1593363628,697858
1593363633,710150
1593363638,721862
1593363643,734966
1593363648,747212
1593363653,758240
1593363658,769227
1593363663,780257
1593363668,791269
1593363673,802320
1593363678,813346
1593363683,824362
1593363688,835334
1593363693,846358
1593363698,858014
1593363703,869036
1593363708,880762
1593363713,891753
1593363718,904672
1593363723,917677
1593363728,930720
1593363733,943940
1593363738,957032
1593363743,970173
1593363748,983211
1593363753,996292
1593363758,1009432
1593363763,1022093
1593363768,1033080
1593363773,1044078
1593363778,1055099
1593363783,1066093
1593363788,1077197
1593363793,1088292
1593363798,1099335
1593363803,1110328
1593363808,1121347
1593363813,1132386
1593363818,1143367
1593363823,1154384
1593363828,1165425
1593363833,1176490
1593363838,1187550
1593363843,1198578
1593363848,1209591
1593363853,1220611
1593363858,1231674
1593363863,1242694
1593363868,1253542
1593363873,1264564
1593363878,1275607
1593363883,1286634
1593363888,1297675
1593363893,1308694
1593363898,1319657
1593363903,1330699
1593363908,1341727
1593363913,1352952
1593363918,1364416
1593363923,1376113
1593363928,1387137
1593363933,1398835
1593363938,1409846
1593363943,1420848
1593363948,1431940
1593363953,1444804
1593363958,1457777
1593363963,1470937
1593363968,1484082
1593363973,1497237
1593363978,1509970
1593363983,1521582
1593363988,1534063
1593363993,1545060
1593363998,1557048
1593364003,1570190
1593364008,1581387
1593364013,1592352
1593364018,1603315
1593364023,1614276
1593364028,1625298
1593364033,1636224
1593364038,1647201
1593364043,1659568
1593364048,1672822
1593364053,1685941
1593364058,1699062
1593364063,1710349
1593364068,1721281
1593364073,1732289
1593364078,1743397
1593364083,1754387
1593364088,1765439
1593364093,1776424
1593364098,1788125
1593364103,1801379
1593364108,1814594
1593364113,1827217
1593364118,1838242
1593364123,1849187
1593364128,1861035
1593364133,1873988
1593364138,1884946
1593364143,1895965
1593364148,1908265
1593364153,1921324
1593364158,1934068
1593364163,1945089
1593364168,1956020
1593364173,1966948
1593364178,1979324
1593364183,1991539
1593364188,2002492
1593364193,2013873
1593364198,2027026
1593364203,2038917
1593364208,2049978
1593364213,2061012
1593364218,2071997
1593364223,2084145
1593364228,2097367
1593364233,2108434
1593364238,2119506
1593364243,2130480
1593364248,2142590
1593364253,2154398
1593364258,2167691
1593364263,2180672
1593364268,2192177
1593364273,2203172
1593364278,2214242
1593364283,2225250
1593364288,2238379
1593364293,2250067
1593364298,2261122
1593364303,2272173
1593364308,2283177
1593364313,2295617
1593364318,2308738
1593364323,2320986
1593364328,2332025
1593364333,2343063
1593364338,2353997
1593364343,2364985
1593364348,2376024
1593364353,2387051
1593364358,2398079
1593364363,2409021
1593364368,2420020
1593364373,2431072
1593364378,2443736
1593364383,2456793
1593364388,2468036
1593364393,2479011
1593364398,2490733
1593364403,2502938
1593364408,2513952
1593364413,2524926
1593364418,2536527
1593364423,2549632
1593364428,2560504
1593364433,2571454
1593364438,2582455
1593364443,2593962
1593364448,2606337
1593364453,2619029
1593364458,2629366
1593364463,2640078
1593364468,2650790
1593364473,2661168
1593364478,2671580
1593364483,2681704
1593364488,2691935
1593364493,2702883
1593364498,2713804
1593364503,2723808
1593364508,2734158
1593364513,2745070
1593364518,2755247
1593364523,2765679
1593364528,2775381
1593364533,2785552
1593364538,2796074
1593364543,2805639
1593364548,2816180
1593364553,2827167
1593364558,2838165
1593364563,2849152
1593364568,2860240
1593364573,2871219
1593364578,2882196
1593364583,2893218
1593364588,2904222
1593364593,2915241
1593364598,2926259
1593364603,2937260
1593364608,2948307
1593364613,2959313
1593364618,2970361
1593364623,2981389
1593364628,2992450
1593364633,3003439
1593364638,3014491
1593364643,3025476
1593364648,3037395
1593364653,3048924
1593364658,3059927
1593364663,3070944
1593364668,3081891
1593364673,3092847
1593364678,3103835
1593364683,3114809
1593364688,3125854
1593364693,3136882
1593364698,3147729
1593364703,3158972
1593364708,3172152
1593364713,3184772
1593364718,3195764
1593364723,3206771
1593364728,3217748
1593364733,3228788
1593364738,3239337
1593364743,3250100
1593364748,3260018
1593364753,3270160
1593364758,3280737
1593364763,3290519
1593364768,3301012
1593364773,3311327
1593364778,3321942
1593364783,3332883
1593364788,3343789
1593364793,3354731
1593364798,3365371
1593364803,3375915
1593364808,3386639
1593364813,3397608
1593364818,3408615
1593364823,3419732
1593364828,3431392
1593364833,3444605
1593364838,3456337
1593364843,3467334
1593364848,3478371
1593364853,3489400
1593364858,3500414
1593364863,3511389
1593364868,3522445
1593364873,3533493
1593364878,3544511
1593364883,3555505
1593364888,3566498
1593364893,3577495
1593364898,3590105
1593364903,3602863
1593364908,3614363
1593364913,3627610
1593364918,3639305
1593364923,3650357
1593364928,3661311
1593364933,3672326
1593364938,3683330
1593364943,3694316
1593364948,3707501
1593364953,3718993
1593364958,3729954
1593364963,3740982
1593364968,3751990
1593364973,3763049
1593364978,3774875
1593364983,3786943
1593364988,3797953
1593364993,3808995
1593364998,3819998
1593365003,3831059
1593365008,3842152
1593365013,3853159
1593365018,3864206
1593365023,3875167
1593365028,3886229
1593365033,3897285
1593365038,3908318
1593365043,3919301
1593365048,3930407
1593365053,3941438
1593365058,3952513
1593365063,3954282
1593365068,3954282
1593365073,3954282
1593365078,3954282
1593365083,3954282
1593365088,3954282
1593365093,3954282
1593365098,3954282
1593365103,3954282
1593365108,3954282
1593365113,3954282
1593365118,3954282
1593365123,3954282
1593365128,3954282
1593365133,3954282
1593365138,3954282
1593365143,3954282
1593365148,3954282
1593365153,3954282
1593365158,3954282
1593365163,3954282
1593365168,3954282
1593365173,3954282
1593365178,3954282
1593365183,3954282
1593365188,3954282
1593365193,3954282
1593365198,3954282
1593365203,3954282
1593365208,3954282
1593365213,3954282
1593365218,3954282
1593365223,3954282
1593365228,3954282
1593365233,3954282
1593365238,3954282
1593365243,3954282
1593365248,3954282
1593365253,3954282
1593365258,3954282
1593365263,3954282
1593365268,3954282
1593365273,3954282
1593365278,3954282
1593365283,3954282
1593365288,3954282
1593365293,3954282
1593365298,3954282
1593365303,3954282
1593365308,3954282
1593365313,3954282
1593365318,3954282
1593365323,3954282
1593365328,3954282
1593365333,3954282
1593365338,3954282
1593365343,3954282
1593365348,3954282
1593365353,3954282
1593365358,3954282
1593365363,3954282
1593365368,3954282
1593365373,3954282
1593365378,3954282
1593365383,3954282
1593365388,3954282
1593365393,3954282
1593365398,3954282
1593365403,3954282
1593365408,3954282
1593365413,3954282
1593365418,3954282
1593365423,3954282
1593365428,3954282
1593365433,3954282
1593365438,3954282
1593365443,3954282
1593365448,3954282
1593365453,3954282
1593365458,3954282
1593365463,3954282
1593365468,3954282
1593365473,3954282
1593365478,3954282
1593365483,3954282
1593365488,3954282
1593365493,3954282
1593365498,3954282
1593365503,3954282
1593365508,3954282
1593365513,3954282
1593365518,3954282
1593365523,3954282
1593365528,3954282
1593365533,3954282
1593365538,3954282
1593365543,3954282
1593365548,3954282
1593365553,3954282
1593365558,3954282
1593365563,3954282
1593365568,3954282
1593365573,3954282
1593365578,3954282
1593365583,3954282
1593365588,3954282
1593365593,3954282
1593365598,3954282
1593365603,3954282
1593365608,3954282
1593365613,3954282
1593365618,3954282
1593365623,3954282
1593365628,3954282
1593365633,3954282
1593365638,3954282
1593365643,3954282
1593365648,3954282
1593365653,3954282
1593365658,3954282
1593365663,3954282
1593365668,3954282
1593365673,3954282
1593365678,3954282
1593365683,3954282
1593365688,3954282
1593365693,3954282
1593365698,3954282
1593365703,3954282
1593365708,3954282
1593365713,3954282
1593365718,3954282
1593365723,3954282
1593365728,3954282
1593365733,3954282
1593365738,3954282
1593365743,3954282
1593365748,3954282
1593365753,3954282
1593365758,3954282
1593365763,3954282
1593365768,3954282
1593365773,3954282
1593365778,3954282
1593365783,3954282
1593365788,3954282
1593365793,3954282
1593365798,3954282
1593365803,3954282
1593365808,3954282
1593365813,3954282
1593365818,3954282
1593365823,3954282
1593365828,3954282
1593365833,3954282
1593365838,3954282
1593365843,3954282
1593365848,3954282
1593365853,3954282
1593365858,3954282
1593365863,3954282
1593365868,3954282
1593365873,3954282
1593365878,3954282
1593365883,3954282
1593365888,3954282
1593365893,3954282
1593365898,3954282
1593365903,3954282
1593365908,3954282
1593365913,3954282
1593365918,3954282
1593365923,3954282
1593365928,3954282
1593365933,3954282
1593365938,3954282
1593365943,3954282
1593365948,3954282
1593365953,3954282
1593365958,3954282
1593365963,3954282
1593365968,3954282
