t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,values
1593700422,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700427,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700432,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700437,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700442,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700447,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700452,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700457,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700462,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
1593700467,153,112,112.000000,112,0.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112.000000,112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|112|
