t,value
1593700422,4294967296
1593700422,4294967296
1593700427,4294967296
1593700427,4294967296
1593700432,4294967296
1593700432,4294967296
1593700437,4294967296
1593700437,4294967296
1593700442,4294967296
1593700442,4294967296
1593700447,4294967296
1593700448,4294967296
1593700452,4294967296
1593700452,4294967296
1593700457,4294967296
1593700457,4294967296
1593700462,4294967296
1593700462,4294967296
1593700467,4294967296
1593700467,4294967296
1593700472,4294967296
1593700472,4294967296
1593700477,4294967296
1593700477,4294967296
1593700482,4294967296
1593700482,4294967296
1593700487,4294967296
1593700487,4294967296
1593700492,4294967296
1593700493,4294967296
1593700497,4294967296
1593700497,4294967296
1593700503,4294967296
1593700503,4294967296
1593700507,4294967296
1593700507,4294967296
1593700512,4294967296
1593700512,4294967296
1593700517,4294967296
1593700517,4294967296
1593700522,4294967296
1593700522,4294967296
1593700527,4294967296
1593700527,4294967296
1593700532,4294967296
1593700532,4294967296
1593700537,4294967296
1593700538,4294967296
1593700542,4294967296
1593700542,4294967296
1593700547,4294967296
1593700547,4294967296
1593700552,4294967296
1593700552,4294967296
1593700557,4294967296
1593700557,4294967296
1593700562,4294967296
1593700562,4294967296
1593700567,4294967296
1593700567,4294967296
1593700572,4294967296
1593700572,4294967296
1593700577,4294967296
1593700578,4294967296
1593700582,4294967296
1593700582,4294967296
1593700588,4294967296
1593700588,4294967296
1593700592,4294967296
1593700592,4294967296
1593700597,4294967296
1593700597,4294967296
1593700602,4294967296
1593700602,4294967296
1593700607,4294967296
1593700607,4294967296
1593700612,4294967296
1593700612,4294967296
1593700617,4294967296
1593700617,4294967296
1593700622,4294967296
1593700622,4294967296
1593700627,4294967296
1593700627,4294967296
1593700632,4294967296
1593700632,4294967296
1593700637,4294967296
1593700637,4294967296
1593700642,4294967296
1593700642,4294967296
1593700647,4294967296
1593700647,4294967296
1593700652,4294967296
1593700652,4294967296
1593700657,4294967296
1593700657,4294967296
1593700662,4294967296
1593700662,4294967296
1593700667,4294967296
1593700667,4294967296
1593700672,4294967296
1593700672,4294967296
1593700677,4294967296
1593700677,4294967296
1593700682,4294967296
1593700682,4294967296
1593700687,4294967296
1593700687,4294967296
1593700692,4294967296
1593700692,4294967296
1593700697,4294967296
1593700697,4294967296
1593700702,4294967296
1593700702,4294967296
1593700707,4294967296
1593700707,4294967296
1593700712,4294967296
1593700712,4294967296
1593700717,4294967296
1593700717,4294967296
1593700722,4294967296
1593700722,4294967296
1593700727,4294967296
1593700727,4294967296
1593700732,4294967296
1593700732,4294967296
1593700737,4294967296
1593700737,4294967296
1593700742,4294967296
1593700742,4294967296
1593700747,4294967296
1593700747,4294967296
1593700752,4294967296
1593700752,4294967296
1593700757,4294967296
1593700757,4294967296
1593700762,4294967296
1593700762,4294967296
1593700767,4294967296
1593700767,4294967296
1593700772,4294967296
1593700772,4294967296
1593700777,4294967296
1593700777,4294967296
1593700782,4294967296
1593700782,4294967296
1593700787,4294967296
1593700787,4294967296
1593700792,4294967296
1593700792,4294967296
1593700797,4294967296
1593700797,4294967296
1593700802,4294967296
1593700802,4294967296
1593700807,4294967296
1593700807,4294967296
1593700812,4294967296
1593700812,4294967296
1593700817,4294967296
1593700817,4294967296
1593700822,4294967296
1593700822,4294967296
1593700827,4294967296
1593700827,4294967296
1593700832,4294967296
1593700832,4294967296
1593700837,4294967296
1593700837,4294967296
1593700842,4294967296
