t,value
1593700422,419430400
1593700422,578813952
1593700427,679533560
1593700427,843111416
1593700432,1011875832
1593700432,1238368248
1593700437,2043674616
1593700437,2242904056
1593700442,537919480
1593700442,716177400
1593700447,2829417976
1593700448,410353136
1593700452,1419548152
1593700452,1545377272
1593700457,899508728
1593700457,1063086584
1593700462,870148600
1593700462,995977720
1593700467,746586112
1593700467,857735168
1593700472,2625634808
1593700472,2766143992
1593700477,894435320
1593700477,1009778680
1593700482,1293942768
1593700482,1493172208
1593700487,3222274040
1593700487,3379560440
1593700492,1909456888
1593700493,1039138808
1593700497,2636120048
1593700497,2799697904
1593700503,1192230904
1593700503,1192230904
1593700507,1925185536
1593700507,2147483648
1593700512,3761242104
1593700512,3935305720
1593700517,2395928560
1593700517,2614032368
1593700522,3759077360
1593700522,3972986864
1593700527,4635754488
1593700527,4824498168
1593700532,2553282552
1593700532,2777677816
1593700537,5233442808
1593700538,1694499320
1593700542,4049600512
1593700542,4225761280
1593700547,2213544432
1593700547,2435842544
1593700552,2741953016
1593700552,2928599544
1593700557,1978662904
1593700557,2039480312
1593700562,2296381424
1593700562,2516582384
1593700567,2188378104
1593700567,2419064824
1593700572,3162505200
1593700572,3363831792
1593700577,4949278704
1593700578,2278555640
1593700582,2809135096
1593700582,2964324344
1593700588,2418016760
1593700588,2418016760
1593700592,3640655872
1593700592,3726639104
1593700597,5194645504
1593700597,5280628736
1593700602,3527410168
1593700602,3607101944
1593700607,5089788408
1593700607,5177868792
1593700612,3424649720
1593700612,3508535800
1593700617,5100274168
1593700617,5194646008
1593700622,3537895928
1593700622,3632267768
1593700627,5278532088
1593700627,5375001080
1593700632,3720348152
1593700632,3814719992
1593700637,5446304248
1593700637,5536481784
1593700642,3913286136
1593700642,3995075064
1593700647,5658116600
1593700647,2530214384
1593700652,4126147056
1593700652,4216324592
1593700657,2640314872
1593700657,2726298104
1593700662,4364173816
1593700662,4454351352
1593700667,2879390200
1593700667,2967470584
1593700672,4584374776
1593700672,4680843768
1593700677,3115319792
1593700677,3209691632
1593700682,4952424944
1593700682,5050991088
1593700687,3577741816
1593700687,3674210808
1593700692,5429527032
1593700692,5525996024
1593700697,4047503864
1593700697,4143972856
1593700702,2659189240
1593700702,2757755384
1593700707,4496294392
1593700707,4592763384
1593700712,3082813944
1593700712,3175088632
1593700717,4896850424
1593700717,4991222264
1593700722,3293924344
1593700722,3375713272
1593700727,4856302584
1593700727,4944382968
1593700732,3244294144
1593700732,3340763136
1593700737,5083496448
1593700737,5177868288
1593700742,3608150008
1593700742,3706716152
1593700747,5459935224
1593700747,5554307064
1593700752,3838806160
1593700752,3926886544
1593700757,5556373648
1593700757,5654939792
1593700762,3997932464
1593700762,4086012848
1593700767,2484443776
1593700767,2580912768
1593700772,4222982784
1593700772,4308966016
1593700777,2662610752
1593700777,2761176896
1593700782,4514395968
1593700782,4610864960
1593700787,3118151528
1593700787,3216717672
1593700792,4959450984
1593700792,5055919976
1593700797,3553982520
1593700797,3644160056
1593700802,5334464568
1593700802,5430933560
1593700807,3948576640
1593700807,4042948480
1593700812,2484518224
1593700812,2572598608
1593700817,4137074000
1593700817,4229348688
1593700822,2640181952
1593700822,2736650944
1593700827,4494064320
1593700827,4586339008
1593700832,3038298760
1593700832,3126379144
1593700837,4837655176
1593700837,4938318472
1593700842,3453904448
1593700842,3552470592
1593700847,5278426688
1593700847,5372798528
1593700852,3881477552
1593700852,3975849392
1593700857,2481076368
1593700857,2573351056
