t,value
1593700422,17235968
1593700422,17432576
1593700427,18350080
1593700427,18350080
1593700432,18415616
1593700432,18415616
1593700437,18415616
1593700437,18415616
1593700442,18677760
1593700442,18677760
1593700447,18677760
1593700448,18677760
1593700452,18677760
1593700452,18677760
1593700457,18677760
1593700457,18677760
1593700462,18677760
1593700462,18677760
1593700467,18677760
1593700467,18677760
1593700472,18677760
1593700472,18677760
1593700477,18677760
1593700477,18677760
1593700482,18677760
1593700482,18677760
1593700487,18677760
1593700487,18677760
1593700492,18677760
1593700493,18677760
1593700497,18677760
1593700497,18677760
1593700503,18677760
1593700503,18677760
1593700507,18677760
1593700507,18677760
1593700512,18677760
1593700512,18677760
1593700517,18677760
1593700517,18677760
1593700522,18677760
1593700522,18677760
1593700527,18677760
1593700527,18677760
1593700532,18677760
1593700532,18677760
1593700537,18677760
1593700538,18677760
1593700542,18677760
1593700542,18677760
1593700547,18677760
1593700547,18677760
1593700552,18677760
1593700552,18677760
1593700557,18677760
1593700557,18677760
1593700562,18677760
1593700562,18677760
1593700567,18677760
1593700567,18677760
1593700572,18677760
1593700572,18677760
1593700577,18677760
1593700578,18677760
1593700582,18677760
1593700582,18677760
1593700588,18677760
1593700588,18677760
1593700592,18677760
1593700592,18677760
1593700597,18677760
1593700597,18677760
1593700602,18677760
1593700602,18677760
1593700607,18677760
1593700607,18677760
1593700612,18677760
1593700612,18677760
1593700617,18677760
1593700617,18677760
1593700622,18677760
1593700622,18677760
1593700627,18677760
1593700627,18677760
1593700632,18677760
1593700632,18677760
1593700637,18677760
1593700637,18677760
1593700642,18677760
1593700642,18677760
1593700647,18677760
1593700647,18677760
1593700652,18677760
1593700652,18677760
1593700657,18677760
1593700657,18677760
1593700662,18677760
1593700662,18677760
1593700667,18677760
1593700667,18677760
1593700672,18677760
1593700672,18677760
1593700677,18677760
1593700677,18677760
1593700682,18677760
1593700682,18677760
1593700687,18677760
1593700687,18677760
1593700692,18677760
1593700692,18677760
1593700697,18677760
1593700697,18677760
1593700702,18677760
1593700702,18677760
1593700707,18677760
1593700707,18677760
1593700712,18677760
1593700712,18677760
1593700717,18677760
1593700717,18677760
1593700722,18677760
1593700722,18677760
1593700727,18677760
1593700727,18677760
1593700732,18677760
1593700732,18677760
1593700737,18677760
1593700737,18677760
1593700742,18677760
1593700742,18677760
1593700747,18677760
1593700747,18677760
1593700752,18677760
1593700752,18677760
1593700757,18677760
1593700757,18677760
1593700762,18677760
1593700762,18677760
1593700767,18677760
1593700767,18677760
1593700772,18677760
1593700772,18677760
1593700777,18677760
1593700777,18677760
1593700782,18677760
1593700782,18677760
1593700787,18677760
1593700787,18677760
1593700792,18677760
1593700792,18677760
1593700797,18677760
1593700797,18677760
1593700802,18677760
1593700802,18677760
1593700807,18677760
1593700807,18677760
1593700812,18677760
