t,value
1593700422,2555904
1593700422,2555904
1593700427,2555904
1593700427,2555904
1593700432,2555904
1593700432,2555904
1593700437,2555904
1593700437,2555904
1593700442,2555904
1593700442,2555904
1593700447,2555904
1593700448,2555904
1593700452,2555904
1593700452,2555904
1593700457,2555904
1593700457,2555904
1593700462,2555904
1593700462,2555904
1593700467,2555904
1593700467,2555904
1593700472,2555904
1593700472,2555904
1593700477,2555904
1593700477,2555904
1593700482,2555904
1593700482,2555904
1593700487,2555904
1593700487,2555904
1593700492,2555904
1593700493,2555904
1593700497,2555904
1593700497,2555904
1593700503,2555904
1593700503,2555904
1593700507,2555904
1593700507,2555904
1593700512,2555904
1593700512,2555904
1593700517,2555904
1593700517,2555904
1593700522,2555904
1593700522,2555904
1593700527,2555904
1593700527,2555904
1593700532,2555904
1593700532,2555904
1593700537,2555904
1593700538,2555904
1593700542,2555904
1593700542,2555904
1593700547,2555904
1593700547,2555904
1593700552,2555904
1593700552,2555904
1593700557,2555904
1593700557,2555904
1593700562,2555904
1593700562,2555904
1593700567,2555904
1593700567,2555904
1593700572,2555904
1593700572,2555904
1593700577,2555904
1593700578,2555904
1593700582,2555904
1593700582,2555904
1593700588,2555904
1593700588,2555904
1593700592,2555904
1593700592,2555904
1593700597,2555904
1593700597,2555904
1593700602,2555904
1593700602,2555904
1593700607,2555904
1593700607,2555904
1593700612,2555904
1593700612,2555904
1593700617,2555904
1593700617,2555904
1593700622,2555904
1593700622,2555904
1593700627,2555904
1593700627,2555904
1593700632,2555904
1593700632,2555904
1593700637,2555904
1593700637,2555904
1593700642,2555904
1593700642,2555904
1593700647,2555904
1593700647,2555904
1593700652,2555904
1593700652,2555904
1593700657,2555904
1593700657,2555904
1593700662,2555904
1593700662,2555904
1593700667,2555904
1593700667,2555904
1593700672,2555904
1593700672,2555904
1593700677,2555904
1593700677,2555904
1593700682,2555904
1593700682,2555904
1593700687,2555904
1593700687,2555904
1593700692,2555904
1593700692,2555904
1593700697,2555904
1593700697,2555904
1593700702,2555904
1593700702,2555904
1593700707,2555904
1593700707,2555904
1593700712,2555904
1593700712,2555904
1593700717,2555904
1593700717,2555904
1593700722,2555904
1593700722,2555904
1593700727,2555904
1593700727,2555904
1593700732,2555904
1593700732,2555904
1593700737,2555904
1593700737,2555904
1593700742,2555904
1593700742,2555904
1593700747,2555904
1593700747,2555904
1593700752,2555904
1593700752,2555904
1593700757,2555904
1593700757,2555904
1593700762,2555904
1593700762,2555904
1593700767,2555904
1593700767,2555904
1593700772,2555904
1593700772,2555904
1593700777,2555904
1593700777,2555904
1593700782,2555904
1593700782,2555904
1593700787,2555904
1593700787,2555904
1593700792,2555904
1593700792,2555904
1593700797,2555904
1593700797,2555904
1593700802,2555904
1593700802,2555904
1593700807,2555904
1593700807,2555904
1593700812,2555904
1593700812,2555904
1593700817,2555904
1593700817,2555904
1593700822,2555904
1593700822,2555904
1593700827,2555904
1593700827,2555904
1593700832,2555904
1593700832,2555904
1593700837,2555904
1593700837,2555904
1593700842,2555904
1593700842,2555904
1593700847,2555904
1593700847,2555904
1593700852,2555904
1593700852,2555904
1593700857,2555904
1593700857,2555904
1593700862,2555904
1593700862,2555904
1593700867,2555904
1593700867,2555904
1593700872,2555904
1593700872,2555904
1593700877,2555904
1593700877,2555904
1593700882,2555904
1593700882,2555904
1593700887,2555904
1593700887,2555904
1593700892,2555904
1593700892,2555904
1593700897,2555904
1593700897,2555904
1593700902,2555904
1593700902,2555904
1593700907,2555904
1593700907,2555904
1593700912,2555904
1593700912,2555904
1593700917,2555904
1593700917,2555904
1593700922,2555904
1593700922,2555904
1593700927,2555904
1593700927,2555904
1593700932,2555904
1593700932,2555904
1593700937,2555904
1593700937,2555904
1593700942,2555904
1593700942,2555904
1593700947,2555904
1593700947,2555904
1593700952,2555904
1593700952,2555904
1593700957,2555904
1593700957,2555904
1593700962,2555904
1593700962,2555904
1593700967,2555904
1593700967,2555904
1593700972,2555904
