t,value
1593700422,-1.653736E7
1593700422,-1.6777624E7
1593700427,-1.7703928E7
1593700427,-1.7750264E7
1593700432,-1.6234352E7
1593700432,-1.6332504E7
1593700437,-1.6668064E7
1593700437,-1.6713536E7
1593700442,-1.6813504E7
1593700442,-1.6900672E7
1593700447,-1.6920776E7
1593700448,-1.693364E7
1593700452,-1.7137E7
1593700452,-1.7019064E7
1593700457,-1.6747832E7
1593700457,-1.6779432E7
1593700462,-1.6813128E7
1593700462,-1.6859256E7
1593700467,-1.6917712E7
1593700467,-1.6927568E7
1593700472,-1.6979664E7
1593700472,-1.7005264E7
1593700477,-1.7029232E7
1593700477,-1.7060768E7
1593700482,-1.7074592E7
1593700482,-1.7101736E7
1593700487,-1.7182288E7
1593700487,-1.7193616E7
1593700492,-1.7201024E7
1593700493,-1.7216376E7
1593700497,-1.721584E7
1593700497,-1.7237456E7
1593700503,-1.7259616E7
1593700503,-1.7259616E7
1593700507,-1.7281312E7
1593700507,-1.7295072E7
1593700512,-1.7295072E7
1593700512,-1.7296704E7
1593700517,-1.7296704E7
1593700517,-1.727424E7
1593700522,-1.7324096E7
1593700522,-1.7342848E7
1593700527,-1.73456E7
1593700527,-1.7356936E7
1593700532,-1.7356936E7
1593700532,-1.73602E7
1593700537,-1.7365112E7
1593700538,-1.7365112E7
1593700542,-1.7410904E7
1593700542,-1.742332E7
1593700547,-1.7396888E7
1593700547,-1.7298392E7
1593700552,-1.7298392E7
1593700552,-1.7298392E7
1593700557,-1.7084632E7
1593700557,-1.7084632E7
1593700562,-1.7084632E7
1593700562,-1.7098392E7
1593700567,-1.7098392E7
1593700567,-1.7114616E7
1593700572,-1.7114616E7
1593700572,-1.7117496E7
1593700577,-1.71342E7
1593700578,-1.71342E7
1593700582,-1.7152704E7
1593700582,-1.7165696E7
1593700588,-1.7167104E7
1593700588,-1.7167104E7
1593700592,-1.718868E7
1593700592,-1.719252E7
1593700597,-1.719252E7
1593700597,-1.7176712E7
1593700602,-1.7176712E7
1593700602,-1.7198584E7
1593700607,-1.7198584E7
