t,value
1593700422,4312203264
1593700422,4312399872
1593700427,4313317376
1593700427,4313317376
1593700432,4313382912
1593700432,4313382912
1593700437,4313382912
1593700437,4313382912
1593700442,4313645056
1593700442,4313645056
1593700447,4313645056
1593700448,4313645056
1593700452,4313645056
1593700452,4313645056
1593700457,4313645056
1593700457,4313645056
1593700462,5087494144
1593700462,5087494144
1593700467,5087494144
1593700467,5087494144
1593700472,5362221056
1593700472,5362221056
1593700477,5582422016
1593700477,5582422016
1593700482,5582422016
1593700482,5582422016
1593700487,5582422016
1593700487,5582422016
1593700492,5582422016
1593700493,5582422016
1593700497,5582422016
1593700497,5582422016
1593700503,5582422016
1593700503,5582422016
1593700507,5758582784
1593700507,5758582784
1593700512,6012338176
1593700512,6012338176
1593700517,6175916032
1593700517,6175916032
1593700522,6234636288
1593700522,6234636288
1593700527,6234636288
1593700527,6234636288
1593700532,6234636288
1593700532,6234636288
1593700537,6234636288
1593700538,6234636288
1593700542,6234636288
1593700542,6234636288
1593700547,6234636288
1593700547,6234636288
1593700552,6234636288
1593700552,6234636288
1593700557,6234636288
1593700557,6234636288
1593700562,6234636288
1593700562,6234636288
1593700567,6234636288
1593700567,6234636288
1593700572,6280773632
1593700572,6280773632
1593700577,6280773632
1593700578,6280773632
1593700582,6280773632
1593700582,6280773632
1593700588,6347882496
1593700588,6347882496
1593700592,6347882496
1593700592,6347882496
1593700597,6347882496
1593700597,6347882496
1593700602,6370951168
1593700602,6370951168
1593700607,6370951168
1593700607,6370951168
1593700612,6370951168
1593700612,6370951168
1593700617,6370951168
1593700617,6370951168
1593700622,6370951168
1593700622,6370951168
1593700627,6370951168
1593700627,6370951168
1593700632,6370951168
1593700632,6370951168
1593700637,6370951168
1593700637,6370951168
1593700642,6370951168
1593700642,6370951168
1593700647,6370951168
1593700647,6370951168
1593700652,6370951168
1593700652,6370951168
1593700657,6370951168
1593700657,6370951168
1593700662,6370951168
1593700662,6370951168
1593700667,6370951168
1593700667,6370951168
1593700672,6370951168
1593700672,6370951168
1593700677,6370951168
1593700677,6370951168
1593700682,6370951168
1593700682,6370951168
1593700687,6370951168
1593700687,6370951168
1593700692,6370951168
1593700692,6370951168
1593700697,6370951168
1593700697,6370951168
1593700702,6370951168
1593700702,6370951168
1593700707,6370951168
1593700707,6370951168
1593700712,6370951168
1593700712,6370951168
1593700717,6370951168
1593700717,6370951168
1593700722,6370951168
1593700722,6370951168
1593700727,6370951168
1593700727,6370951168
1593700732,6370951168
1593700732,6370951168
1593700737,6370951168
1593700737,6370951168
1593700742,6370951168
1593700742,6370951168
1593700747,6370951168
1593700747,6370951168
1593700752,6370951168
1593700752,6370951168
1593700757,6370951168
1593700757,6370951168
1593700762,6370951168
1593700762,6370951168
1593700767,6370951168
1593700767,6370951168
1593700772,6370951168
1593700772,6370951168
1593700777,6370951168
1593700777,6370951168
1593700782,6370951168
1593700782,6370951168
1593700787,6370951168
1593700787,6370951168
1593700792,6370951168
1593700792,6370951168
1593700797,6370951168
1593700797,6370951168
1593700802,6370951168
1593700802,6370951168
1593700807,6370951168
1593700807,6370951168
1593700812,6370951168
1593700812,6370951168
1593700817,6370951168
1593700817,6370951168
1593700822,6370951168
1593700822,6370951168
1593700827,6370951168
1593700827,6370951168
1593700832,6370951168
1593700832,6370951168
1593700837,6370951168
1593700837,6370951168
1593700842,6370951168
1593700842,6370951168
1593700847,6370951168
1593700847,6370951168
1593700852,6370951168
1593700852,6370951168
1593700857,6370951168
1593700857,6370951168
1593700862,6370951168
1593700862,6370951168
1593700867,6370951168
1593700867,6370951168
1593700872,6370951168
1593700872,6370951168
1593700877,6370951168
1593700877,6370951168
1593700882,6370951168
1593700882,6370951168
1593700887,6370951168
1593700887,6370951168
1593700892,6370951168
1593700892,6370951168
1593700897,6370951168
1593700897,6370951168
1593700902,6370951168
1593700902,6370951168
1593700907,6370951168
1593700907,6370951168
1593700912,6370951168
1593700912,6370951168
1593700917,6370951168
1593700917,6370951168
1593700922,6370951168
1593700922,6370951168
1593700927,6370951168
1593700927,6370951168
1593700932,6370951168
1593700932,6370951168
1593700937,6370951168
1593700937,6370951168
1593700942,6370951168
1593700942,6370951168
1593700947,6370951168
1593700947,6370951168
1593700952,6370951168
1593700952,6370951168
1593700957,6370951168
1593700957,6370951168
1593700962,6370951168
1593700962,6370951168
1593700967,6370951168
1593700967,6370951168
1593700972,6370951168
1593700972,6370951168
1593700977,6370951168
1593700977,6370951168
1593700982,6370951168
1593700982,6370951168
1593700987,6370951168
1593700987,6370951168
1593700992,6370951168
1593700992,6370951168
1593700997,6370951168
1593700997,6370951168
1593701002,6370951168
1593701002,6370951168
1593701007,6370951168
1593701007,6370951168
1593701012,6370951168
1593701012,6370951168
1593701017,6370951168
1593701017,6370951168
1593701022,6370951168
1593701022,6370951168
1593701027,6370951168
1593701027,6370951168
1593701032,6370951168
1593701032,6370951168
1593701037,6370951168
1593701037,6370951168
1593701042,6370951168
1593701042,6370951168
1593701047,6370951168
1593701047,6370951168
1593701052,6370951168
1593701052,6370951168
1593701057,6370951168
1593701057,6370951168
1593701062,6370951168
1593701062,6370951168
1593701067,6370951168
1593701067,6370951168
1593701072,6370951168
1593701072,6370951168
1593701077,6370951168
1593701077,6370951168
1593701082,6370951168
1593701082,6370951168
1593701087,6370951168
1593701087,6370951168
1593701092,6370951168
1593701092,6370951168
1593701097,6370951168
1593701097,6370951168
1593701102,6370951168
1593701102,6370951168
1593701107,6370951168
1593701107,6370951168
1593701112,6370951168
1593701112,6370951168
1593701117,6370951168
1593701117,6370951168
1593701122,6370951168
1593701122,6370951168
1593701127,6370951168
1593701127,6370951168
1593701132,6370951168
1593701132,6370951168
1593701137,6370951168
1593701137,6370951168
1593701142,6370951168
1593701142,6370951168
1593701147,6370951168
1593701147,6370951168
1593701152,6370951168
1593701152,6370951168
1593701157,6370951168
1593701157,6370951168
1593701162,6370951168
1593701162,6370951168
1593701167,6370951168
1593701167,6370951168
1593701172,6370951168
1593701172,6370951168
1593701177,6370951168
1593701177,6370951168
1593701182,6370951168
1593701182,6370951168
1593701187,6370951168
1593701187,6370951168
