t,value
1593700422,465351000
1593700422,603997752
1593700427,737085272
1593700427,883933904
1593700432,1038604680
1593700432,1260996696
1593700437,2064536984
1593700437,2265940680
1593700442,565228536
1593700442,745661880
1593700447,2852630208
1593700448,450355448
1593700452,1440869312
1593700452,1566590640
1593700457,928841760
1593700457,1086157472
1593700462,891164736
1593700462,1014934128
1593700467,765600976
1593700467,883051344
1593700472,2646809480
1593700472,2789441768
1593700477,913561704
1593700477,1028936600
1593700482,1315211664
1593700482,1516565400
1593700487,3247846408
1593700487,3398851208
1593700492,1935044520
1593700493,1062643800
1593700497,2657530192
1593700497,2821133496
1593700503,1211587672
1593700503,1211587672
1593700507,1946661152
1593700507,2168973024
1593700512,3782732536
1593700512,3958893880
1593700517,2419516720
1593700517,2635500912
1593700522,3780595760
1593700522,3996621168
1593700527,4659396552
1593700527,4848146560
1593700532,2574834624
1593700532,2801329472
1593700537,1716060528
1593700538,1751712112
1593700542,4075400024
1593700542,4247378904
1593700547,2235135624
1593700547,2457335240
1593700552,2763445712
1593700552,2950092240
1593700557,1997844688
1593700557,2060759248
1593700562,2317660360
1593700562,2539972232
1593700567,2211767952
1593700567,2442470896
1593700572,3185911272
1593700572,3387240744
1593700577,4970607208
1593700578,2308273808
1593700582,2832579256
1593700582,2987781496
1593700588,2451961080
1593700588,2451961080
1593700592,3657844552
1593700592,3745928776
1593700597,5213935176
1593700597,5299902600
1593700602,3544586880
1593700602,3624300528
1593700607,5106986992
1593700607,5195067376
1593700612,3441848304
1593700612,3527829176
1593700617,5119567544
1593700617,5213946296
1593700622,3555104184
1593700622,3651573176
1593700627,5297837496
1593700627,5394312952
1593700632,3737569080
1593700632,3834042360
1593700637,5465626616
1593700637,5555807992
1593700642,3932614200
1593700642,4012330360
1593700647,5677469944
1593700647,2547470576
1593700652,4145501296
1593700652,4233587376
1593700657,2659674808
1593700657,2745688280
1593700662,4383563992
1593700662,4471644376
1593700667,2896683224
1593700667,2984765528
1593700672,4603766872
1593700672,4698138712
1593700677,3132616016
1593700677,3226987856
1593700682,4971818320
1593700682,5068287312
1593700687,3597135192
1593700687,3693604184
1593700692,5448920408
1593700692,5545391768
1593700697,4066899608
1593700697,4161272984
1593700702,2678668312
1593700702,2775137304
1593700707,4515774296
1593700707,4612243288
1593700712,3100195288
1593700712,3194568248
1593700717,4916330040
1593700717,5008604728
1593700722,3311306808
1593700722,3393106616
1593700727,4873695928
1593700727,4961776312
1593700732,3261687488
1593700732,3358156480
1593700737,5100891800
1593700737,5197254320
1593700742,3627536040
1593700742,3724005032
1593700747,5477224104
1593700747,5573693096
1593700752,3858192192
1593700752,3946272576
1593700757,5575759680
1593700757,5674325824
1593700762,4017318496
1593700762,4103301728
1593700767,2501732656
1593700767,2600256944
1593700772,4240229808
1593700772,4326213040
1593700777,2681957072
1593700777,2778426064
1593700782,4531645136
1593700782,4628114128
1593700787,3137497848
1593700787,3233967416
1593700792,4976700728
1593700792,5075262456
1593700797,3573323144
1593700797,3661403528
1593700802,5353805192
1593700802,5448177032
1593700807,3965820112
1593700807,4060191952
1593700812,2503858848
1593700812,2591939232
1593700817,4156414624
1593700817,4248689312
1593700822,2657425424
1593700822,2753894416
1593700827,4513391888
1593700827,4605663440
1593700832,3057608728
1593700832,3143591960
1593700837,4859062296
1593700837,4955531288
1593700842,3473208144
1593700842,3571768080
1593700847,5295587728
1593700847,5389944016
1593700852,3898623040
1593700852,3993000576
1593700857,2500327840
1593700857,2592650656
1593700862,4339578272
1593700862,4433950112
1593700867,2783075584
1593700867,2866961664
1593700872,4343356672
1593700872,4431437056
1593700877,2661838928
1593700877,2747828688
1593700882,4312304080
1593700882,4400384464
1593700887,2720313632
1593700887,2808394016
1593700892,4536458592
1593700892,4635024736
1593700897,3135778992
1593700897,3232255944
1593700902,4962407048
1593700902,5056778888
1593700907,3563413896
1593700907,3657785736
1593700912,5383741832
1593700912,5478113672
1593700917,3970349176
1593700917,4066818168
1593700922,2567409152
1593700922,2659683840
1593700927,4398225008
1593700927,4496791152
1593700932,3007854496
1593700932,3104323488
1593700937,4717033376
1593700937,4805113760
1593700942,3127649176
1593700942,3215729560
1593700947,4660667288
1593700947,4744553368
1593700952,2907886680
1593700952,2995967064
1593700957,4476556376
1593700957,4564636760
1593700962,2924307768
1593700962,3018679608
1593700967,4635583800
1593700967,4721586616
1593700972,3126162672
1593700972,3220534512
1593700977,4795495664
1593700977,4889867504
1593700982,3295588432
1593700982,3379483216
1593700987,4985901648
1593700987,5082370640
1593700992,3583448240
1593700992,3679917232
1593700997,5431039152
1593700997,5529605296
1593701002,4040218064
1593701002,4134589904
1593701007,2639749272
1593701007,2734121112
1593701012,4489437336
1593701012,4585906328
1593701017,3042210392
1593701017,3130290776
1593701022,4688474712
1593701022,4778652248
1593701027,3101242776
1593701027,3193517464
1593701032,4835589024
1593701032,4921572256
1593701037,3275048728
1593701037,3358912408
1593701042,4975869464
1593701042,5061850392
1593701047,3437063688
1593701047,3531435528
1593701052,5179787408
1593701052,5276230568
1593701057,3604370144
1593701057,3698768728
1593701062,5342965472
1593701062,5431045856
1593701067,3835662288
1593701067,3921645520
1593701072,5576298448
1593701072,5664378832
1593701077,4137228816
1593701077,4231600656
1593701082,2736886560
1593701082,2831258400
1593701087,4597060384
1593701087,4689335072
1593701092,3195709576
1593701092,3292178568
1593701097,5026523272
1593701097,5120895112
1593701102,3630201880
1593701102,3724573720
1593701107,5473598488
1593701107,5567970328
1593701112,4055645832
1593701112,4150017672
1593701117,2573509576
1593701117,2667881416
1593701122,4328825800
1593701122,4421100488
1593701127,2849908784
1593701127,2946377776
1593701132,4529727536
1593701132,4617807920
1593701137,3093588120
1593701137,3177474200
1593701142,4655966360
1593701142,4739852440
1593701147,3030400656
1593701147,3124772496
1593701152,4884283024
1593701152,4980752016
1593701157,3500531928
1593701157,3597000920
1593701162,5356511448
1593701162,5455077592
1593701167,3936466672
1593701167,4035032816
1593701172,2544354328
1593701172,2638726168
1593701177,4387750936
1593701177,4482134360
1593701182,2992849656
1593701182,3089318648
1593701187,4846732024
1593701187,4941103864
1593701192,3370893496
1593701192,3469459640
1593701197,5094752440
1593701197,5174450616
1593701202,3544543320
1593701202,3641012312
1593701207,5310345304
1593701207,5404730392
1593701212,3842553888
1593701212,3939001440
1593701217,5677540448
1593701217,2525492168
1593701222,4228379592
1593701222,4326945736
1593701227,2821091936
1593701227,2917560928
1593701232,4578505312
1593701232,4672877152
1593701237,3098136488
1593701237,3190411176
1593701242,4947824552
1593701242,5042196392
1593701247,3431653720
1593701247,3517636952
1593701252,4998226264
1593701252,5084209496
1593701257,3402207856
1593701257,3490288240
1593701262,5138649712
1593701262,5226730096
1593701267,3576313072
1593701267,3670684912
1593701272,5316949232
1593701272,5413418224
1593701277,3781879752
1593701277,3867862984
1593701282,5512030152
1593701282,5608499144
1593701287,4016842808
1593701287,4111214648
1593701292,2636963568
1593701292,2733479664
1593701297,4492989808
1593701297,4589457200
1593701302,3107158600
1593701302,3199433288
1593701307,4950555208
1593701307,5044927048
1593701312,3572646984
1593701312,3671213128
1593701317,5443306568
1593701317,5535537544
1593701322,4044517784
1593701322,4143083928
1593701327,5676102040
1593701327,2523980944
1593701332,4000375952
1593701332,4088456336
1593701337,5640348816
1593701337,2494825624
1593701342,4057203864
1593701342,4143187096
1593701347,5722342552
1593701347,2578955352
1593701352,4334271576
1593701352,4428643416
1593701357,2937314320
1593701357,3031686160
1593701362,4692630544
1593701362,4787002384
1593701367,3295946616
1593701367,3390318456
1593701372,5103691640
1593701372,5191772024
1593701377,3639874136
1593701377,3736381792
1593701382,5485416960
1593701382,5581885952
1593701387,4011186072
1593701387,4107655064
1593701392,2604416216
1593701392,2690400408
1593701397,4355539096
1593701397,4452008088
1593701402,2964917552
1593701402,3061386544
1593701407,4802022704
1593701407,4898491696
1593701412,3336483552
1593701412,3432952544
1593701417,5167297248
1593701417,5257474784
1593701422,3585762480
1593701422,3673842864
1593701427,5183792304
1593701427,5280261296
1593701432,3619833176
1593701432,3716302168
1593701437,5320623448
1593701437,5406606680
1593701442,3824925368
1593701442,3923491512
1593701447,5494258360
1593701447,5590727352
1593701452,4005787800
1593701452,4102256792
1593701457,5721258136
1593701457,2570926576
1593701462,4192025072
1593701462,4290591216
1593701467,2692664384
1593701467,2791230528
1593701472,4370385984
1593701472,4466854976
1593701477,2875362248
1593701477,2971831240
1593701482,4605512648
1593701482,4693593032
1593701487,3076532400
1593701487,3170904240
1593701492,4768934064
1593701492,4857017328
1593701497,3272087144
1593701497,3368556136
1593701502,5104997992
1593701502,5197272680
1593701507,3634482192
1593701507,3714173968
1593701512,5347855376
1593701512,5425450000
1593701517,3800529184
1593701517,3882318112
1593701522,5599885600
1593701522,5685868832
1593701527,4104361832
1593701527,4177762152
1593701532,2523629304
1593701532,2599126776
1593701537,3920332536
1593701537,3993732856
1593701542,5333812984
1593701542,5403019000
1593701547,3676672200
1593701547,3747975368
1593701552,5272604872
1593701552,5354393800
1593701557,3503021792
1593701557,3576422112
1593701562,4968937632
1593701562,5048629408
1593701567,3420958776
1593701567,3500650552
1593701572,4981239864
1593701572,5065125944
1593701577,3167446280
1593701577,3236671112
1593701582,4633374344
1593701582,4708871816
1593701587,2930448768
1593701587,3001751936
1593701592,4515895680
1593701592,4597684608
1593701597,2922149696
1593701597,3001841472
1593701602,4557928256
1593701602,4637620032
1593701607,2938999984
1593701607,3016594608
