t,count
1593700422,150636
1593700427,345232
1593700432,559422
1593700437,840586
1593700442,1112386
1593700448,1350406
1593700452,1583262
1593700457,1812581
1593700462,2051864
1593700467,2258351
1593700472,2485235
1593700477,2699081
1593700482,2901754
1593700487,3140360
1593700493,3353234
1593700497,3591788
1593700503,3827392
1593700507,4051048
1593700512,4285383
1593700517,4510186
1593700522,4743534
1593700527,4972725
1593700532,5199309
1593700538,5446476
1593700542,5672920
1593700547,5930024
1593700552,6153137
1593700557,6376537
1593700562,6616262
1593700567,6855140
1593700572,7073339
1593700578,7308840
1593700582,7523766
1593700588,7764878
1593700592,7908564
1593700597,7908564
1593700602,7908564
1593700607,7908564
1593700612,7908564
1593700617,7908564
1593700622,7908564
1593700627,7908564
1593700632,7908564
1593700637,7908564
1593700642,7908564
1593700647,7908564
1593700652,7908564
1593700657,7908564
1593700662,7908564
1593700667,7908564
1593700672,7908564
1593700677,7908564
1593700682,7908564
1593700687,7908564
1593700692,7908564
1593700697,7908564
1593700702,7908564
1593700707,7908564
1593700712,7908564
1593700717,7908564
1593700722,7908564
1593700727,7908564
1593700732,7908564
1593700737,7908564
1593700742,7908564
1593700747,7908564
1593700752,7908564
1593700757,7908564
1593700762,7908564
1593700767,7908564
1593700772,7908564
1593700777,7908564
1593700782,7908564
1593700787,7908564
1593700792,7908564
1593700797,7908564
1593700802,7908564
1593700807,7908564
1593700812,7908564
1593700817,7908564
1593700822,7908564
1593700827,7908564
1593700832,7908564
1593700837,7908564
1593700842,7908564
1593700847,7908564
1593700852,7908564
1593700857,7908564
1593700862,7908564
1593700867,7908564
1593700872,7908564
1593700877,7908564
1593700882,7908564
1593700887,7908564
1593700892,7908564
1593700897,7908564
1593700902,7908564
1593700907,7908564
1593700912,7908564
1593700917,7908564
1593700922,7908564
1593700927,7908564
1593700932,7908564
1593700937,7908564
1593700942,7908564
1593700947,7908564
1593700952,7908564
1593700957,7908564
1593700962,7908564
1593700967,7908564
1593700972,7908564
1593700977,7908564
1593700982,7908564
1593700987,7908564
1593700992,7908564
1593700997,7908564
1593701002,7908564
1593701007,7908564
1593701012,7908564
1593701017,7908564
1593701022,7908564
1593701027,7908564
1593701032,7908564
1593701037,7908564
1593701042,7908564
1593701047,7908564
1593701052,7908564
1593701057,7908564
1593701062,7908564
1593701067,7908564
1593701072,7908564
1593701077,7908564
1593701082,7908564
1593701087,7908564
1593701092,7908564
1593701097,7908564
1593701102,7908564
1593701107,7908564
1593701112,7908564
1593701117,7908564
1593701122,7908564
1593701127,7908564
1593701132,7908564
1593701137,7908564
1593701142,7908564
1593701147,7908564
1593701152,7908564
1593701157,7908564
1593701162,7908564
1593701167,7908564
1593701172,7908564
1593701177,7908564
1593701182,7908564
1593701187,7908564
1593701192,7908564
1593701197,7908564
1593701202,7908564
1593701207,7908564
1593701212,7908564
1593701217,7908564
1593701222,7908564
1593701227,7908564
1593701232,7908564
1593701237,7908564
1593701242,7908564
1593701247,7908564
1593701252,7908564
1593701257,7908564
1593701262,7908564
1593701267,7908564
1593701272,7908564
1593701277,7908564
1593701282,7908564
1593701287,7908564
1593701292,7908564
1593701297,7908564
1593701302,7908564
1593701307,7908564
1593701312,7908564
1593701317,7908564
1593701322,7908564
1593701327,7908564
1593701332,7908564
1593701337,7908564
1593701342,7908564
1593701347,7908564
1593701352,7908564
1593701357,7908564
1593701362,7908564
1593701367,7908564
1593701372,7908564
1593701377,7908564
1593701382,7908564
1593701387,7908564
1593701392,7908564
1593701397,7908564
1593701402,7908564
1593701407,7908564
1593701412,7908564
1593701417,7908564
1593701422,7908564
1593701427,7908564
1593701432,7908564
1593701437,7908564
1593701442,7908564
1593701447,7908564
1593701452,7908564
1593701457,7908564
1593701462,7908564
1593701467,7908564
1593701472,7908564
1593701477,7908564
1593701482,7908564
1593701487,7908564
1593701492,7908564
1593701497,7908564
1593701502,7908564
1593701507,7908564
1593701512,7908564
1593701517,7908564
1593701522,7908564
1593701527,7908564
1593701532,7908564
1593701537,7908564
1593701542,7908564
1593701547,7908564
1593701552,7908564
1593701557,7908564
1593701562,7908564
1593701567,7908564
1593701572,7908564
1593701577,7908564
1593701582,7908564
1593701587,7908564
1593701592,7908564
1593701597,7908564
1593701602,7908564
1593701607,7908564
1593701612,7908564
1593701617,7908564
1593701622,7908564
1593701627,7908564
1593701632,7908564
1593701637,7908564
1593701642,7908564
1593701647,7908564
1593701652,7908564
1593701657,7908564
1593701662,7908564
1593701667,7908564
1593701672,7908564
1593701677,7908564
1593701682,7908564
1593701687,7908564
1593701692,7908564
1593701697,7908564
1593701702,7908564
1593701707,7908564
1593701712,7908564
1593701717,7908564
1593701722,7908564
1593701727,7908564
1593701732,7908564
1593701737,7908564
1593701742,7908564
1593701747,7908564
1593701752,7908564
1593701757,7908564
1593701762,7908564
1593701767,7908564
1593701772,7908564
1593701777,7908564
1593701782,7908564
1593701787,7908564
1593701792,7908564
1593701797,7908564
1593701802,7908564
1593701807,7908564
1593701812,7908564
1593701817,7908564
1593701822,7908564
1593701827,7908564
1593701832,7908564
1593701837,7908564
1593701842,7908564
1593701847,7908564
1593701852,7908564
1593701857,7908564
1593701862,7908564
1593701867,7908564
1593701872,7908564
1593701877,7908564
1593701882,7908564
1593701887,7908564
1593701892,7908564
1593701897,7908564
1593701902,7908564
1593701907,7908564
1593701912,7908564
1593701917,7908564
1593701922,7908564
1593701927,7908564
1593701932,7908564
1593701937,7908564
1593701942,7908564
1593701947,7908564
1593701952,7908564
1593701957,7908564
1593701962,7908564
1593701967,7908564
1593701972,7908564
1593701977,7908564
1593701982,7908564
1593701987,7908564
1593701992,7908564
1593701997,7908564
1593702002,7908564
1593702007,7908564
1593702012,7908564
1593702017,7908564
1593702022,7908564
1593702027,7908564
1593702032,7908564
1593702037,7908564
1593702042,7908564
1593702047,7908564
1593702052,7908564
1593702057,7908564
1593702062,7908564
1593702067,7908564
1593702072,7908564
1593702077,7908564
1593702082,7908564
1593702087,7908564
1593702092,7908564
