t,count
1593700422,7773191
1593700427,18238920
1593700432,29370199
1593700437,44002769
1593700442,58360340
1593700448,70909203
1593700452,83019226
1593700457,94831955
1593700462,107130961
1593700467,118033154
1593700472,130212143
1593700477,141512990
1593700482,152119595
1593700487,164821557
1593700493,176000497
1593700497,188495018
1593700503,200922726
1593700507,212831294
1593700512,225337258
1593700517,237270984
1593700522,249391564
1593700527,261615767
1593700532,273752738
1593700538,286789286
1593700542,298914573
1593700547,312315709
1593700552,324391390
1593700557,336145998
1593700562,348772696
1593700567,361357919
1593700572,372890479
1593700578,385125485
1593700582,396629165
1593700588,408947490
1593700592,416509447
1593700597,416509447
1593700602,416509447
1593700607,416509447
1593700612,416509447
1593700617,416509447
1593700622,416509447
1593700627,416509447
1593700632,416509447
1593700637,416509447
1593700642,416509447
1593700647,416509447
1593700652,416509447
1593700657,416509447
1593700662,416509447
1593700667,416509447
1593700672,416509447
1593700677,416509447
1593700682,416509447
1593700687,416509447
1593700692,416509447
1593700697,416509447
1593700702,416509447
1593700707,416509447
1593700712,416509447
1593700717,416509447
1593700722,416509447
1593700727,416509447
1593700732,416509447
1593700737,416509447
1593700742,416509447
1593700747,416509447
1593700752,416509447
1593700757,416509447
1593700762,416509447
1593700767,416509447
1593700772,416509447
1593700777,416509447
1593700782,416509447
1593700787,416509447
1593700792,416509447
1593700797,416509447
1593700802,416509447
1593700807,416509447
1593700812,416509447
1593700817,416509447
1593700822,416509447
1593700827,416509447
1593700832,416509447
1593700837,416509447
1593700842,416509447
1593700847,416509447
1593700852,416509447
1593700857,416509447
1593700862,416509447
1593700867,416509447
1593700872,416509447
1593700877,416509447
1593700882,416509447
1593700887,416509447
1593700892,416509447
1593700897,416509447
1593700902,416509447
1593700907,416509447
1593700912,416509447
1593700917,416509447
1593700922,416509447
1593700927,416509447
1593700932,416509447
1593700937,416509447
1593700942,416509447
1593700947,416509447
1593700952,416509447
1593700957,416509447
1593700962,416509447
1593700967,416509447
1593700972,416509447
1593700977,416509447
1593700982,416509447
1593700987,416509447
1593700992,416509447
1593700997,416509447
1593701002,416509447
1593701007,416509447
1593701012,416509447
1593701017,416509447
1593701022,416509447
1593701027,416509447
1593701032,416509447
1593701037,416509447
1593701042,416509447
1593701047,416509447
1593701052,416509447
1593701057,416509447
1593701062,416509447
1593701067,416509447
1593701072,416509447
1593701077,416509447
1593701082,416509447
1593701087,416509447
1593701092,416509447
1593701097,416509447
1593701102,416509447
1593701107,416509447
1593701112,416509447
1593701117,416509447
1593701122,416509447
1593701127,416509447
1593701132,416509447
1593701137,416509447
1593701142,416509447
1593701147,416509447
1593701152,416509447
1593701157,416509447
1593701162,416509447
1593701167,416509447
1593701172,416509447
1593701177,416509447
1593701182,416509447
1593701187,416509447
1593701192,416509447
1593701197,416509447
1593701202,416509447
1593701207,416509447
1593701212,416509447
1593701217,416509447
1593701222,416509447
1593701227,416509447
1593701232,416509447
1593701237,416509447
1593701242,416509447
1593701247,416509447
1593701252,416509447
1593701257,416509447
1593701262,416509447
1593701267,416509447
1593701272,416509447
1593701277,416509447
1593701282,416509447
1593701287,416509447
1593701292,416509447
1593701297,416509447
1593701302,416509447
1593701307,416509447
1593701312,416509447
1593701317,416509447
1593701322,416509447
1593701327,416509447
1593701332,416509447
1593701337,416509447
1593701342,416509447
1593701347,416509447
1593701352,416509447
1593701357,416509447
1593701362,416509447
1593701367,416509447
1593701372,416509447
1593701377,416509447
1593701382,416509447
1593701387,416509447
1593701392,416509447
1593701397,416509447
1593701402,416509447
1593701407,416509447
1593701412,416509447
1593701417,416509447
1593701422,416509447
1593701427,416509447
1593701432,416509447
1593701437,416509447
1593701442,416509447
1593701447,416509447
1593701452,416509447
1593701457,416509447
1593701462,416509447
1593701467,416509447
1593701472,416509447
1593701477,416509447
1593701482,416509447
1593701487,416509447
1593701492,416509447
1593701497,416509447
1593701502,416509447
1593701507,416509447
1593701512,416509447
1593701517,416509447
1593701522,416509447
1593701527,416509447
1593701532,416509447
1593701537,416509447
1593701542,416509447
1593701547,416509447
1593701552,416509447
1593701557,416509447
1593701562,416509447
1593701567,416509447
1593701572,416509447
1593701577,416509447
1593701582,416509447
1593701587,416509447
1593701592,416509447
1593701597,416509447
1593701602,416509447
1593701607,416509447
1593701612,416509447
1593701617,416509447
1593701622,416509447
1593701627,416509447
1593701632,416509447
1593701637,416509447
1593701642,416509447
1593701647,416509447
1593701652,416509447
1593701657,416509447
1593701662,416509447
1593701667,416509447
1593701672,416509447
1593701677,416509447
1593701682,416509447
1593701687,416509447
1593701692,416509447
1593701697,416509447
1593701702,416509447
1593701707,416509447
1593701712,416509447
1593701717,416509447
1593701722,416509447
1593701727,416509447
1593701732,416509447
1593701737,416509447
1593701742,416509447
1593701747,416509447
1593701752,416509447
1593701757,416509447
1593701762,416509447
1593701767,416509447
1593701772,416509447
1593701777,416509447
1593701782,416509447
1593701787,416509447
