t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593700422,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,1.611358,0.000000,0.000000,0.000000,calls/second,milliseconds
1593700427,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.800642,1.600000,1.600000,1.600000,calls/second,milliseconds
1593700432,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.537018,1.472071,1.573554,1.591136,calls/second,milliseconds
1593700437,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.402305,1.354371,1.547546,1.582321,calls/second,milliseconds
1593700442,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.321134,1.246081,1.521967,1.573554,calls/second,milliseconds
1593700447,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.266234,1.054785,1.472071,1.556167,calls/second,milliseconds
1593700452,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.229270,1.054785,1.472071,1.556167,calls/second,milliseconds
1593700457,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.200461,0.970449,1.447740,1.547546,calls/second,milliseconds
1593700462,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.178052,0.892856,1.423811,1.538972,calls/second,milliseconds
1593700467,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.160227,0.821467,1.400277,1.530446,calls/second,milliseconds
1593700472,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.145723,0.755786,1.377133,1.521967,calls/second,milliseconds
1593700477,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.133419,0.695357,1.354371,1.513535,calls/second,milliseconds
1593700482,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.123265,0.639759,1.331985,1.505150,calls/second,milliseconds
1593700487,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.114413,0.588607,1.309969,1.496811,calls/second,milliseconds
1593700492,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.106800,0.541545,1.288317,1.488519,calls/second,milliseconds
1593700497,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.100088,0.498245,1.267023,1.480272,calls/second,milliseconds
1593700503,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.093933,0.421755,1.225485,1.463916,calls/second,milliseconds
1593700507,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.088990,0.421755,1.225485,1.463916,calls/second,milliseconds
1593700512,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.084310,0.388034,1.205230,1.455805,calls/second,milliseconds
1593700517,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.080079,0.357008,1.185309,1.447740,calls/second,milliseconds
1593700522,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.076267,0.328463,1.165718,1.439719,calls/second,milliseconds
1593700527,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.072800,0.302201,1.146450,1.431743,calls/second,milliseconds
1593700532,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.069634,0.278038,1.127501,1.423811,calls/second,milliseconds
1593700537,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.066629,0.235354,1.090537,1.408078,calls/second,milliseconds
1593700542,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.064052,0.235354,1.090537,1.408078,calls/second,milliseconds
1593700547,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.061590,0.216536,1.072512,1.400277,calls/second,milliseconds
1593700552,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.059306,0.199223,1.054785,1.392520,calls/second,milliseconds
1593700557,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.057139,0.168639,1.020205,1.377133,calls/second,milliseconds
1593700562,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.055213,0.168639,1.020205,1.377133,calls/second,milliseconds
1593700567,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.053373,0.155155,1.003343,1.369503,calls/second,milliseconds
1593700572,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.051649,0.142750,0.986759,1.361916,calls/second,milliseconds
1593700577,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.049964,0.120835,0.954409,1.346867,calls/second,milliseconds
1593700582,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.048513,0.120835,0.954409,1.346867,calls/second,milliseconds
1593700588,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.047033,0.102285,0.923120,1.331985,calls/second,milliseconds
1593700592,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.045745,0.102285,0.923120,1.331985,calls/second,milliseconds
1593700597,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.044474,0.094106,0.907862,1.324606,calls/second,milliseconds
1593700602,8,0.308304,0.253818,0.204911,0.034167,0.243522,0.276545,0.308304,0.308304,0.308304,0.308304,0.043271,0.086582,0.892856,1.317267,calls/second,milliseconds
