t,value
1593700422,15586
1593700427,19380
1593700432,21239
1593700437,28227
1593700442,27237
1593700447,24437
1593700452,22985
1593700457,22780
1593700462,24147
1593700467,20684
1593700472,22531
1593700477,21572
1593700482,19901
1593700487,24089
1593700492,21655
1593700497,23412
1593700503,22990
1593700507,22646
1593700512,23738
1593700517,22266
1593700522,23349
1593700527,23049
1593700532,22543
1593700537,24641
1593700542,22839
1593700547,25570
1593700552,22489
1593700557,22399
1593700562,23832
1593700567,23860
1593700572,21976
1593700577,24221
1593700582,21038
1593700588,23761
1593700592,14950
1593700597,0
1593700602,0
1593700607,0
1593700612,0
1593700617,0
1593700622,0
1593700627,0
1593700632,0
1593700637,0
1593700642,0
1593700647,0
1593700652,0
1593700657,0
1593700662,0
1593700667,0
1593700672,0
1593700677,0
1593700682,0
1593700687,0
1593700692,0
1593700697,0
1593700702,0
1593700707,0
1593700712,0
1593700717,0
1593700722,0
1593700727,0
1593700732,0
1593700737,0
1593700742,0
1593700747,0
1593700752,0
1593700757,0
1593700762,0
1593700767,0
1593700772,0
1593700777,0
1593700782,0
1593700787,0
1593700792,0
1593700797,0
1593700802,0
1593700807,0
1593700812,0
1593700817,0
1593700822,0
1593700827,0
1593700832,0
1593700837,0
1593700842,0
1593700847,0
1593700852,0
1593700857,0
1593700862,0
1593700867,0
1593700872,0
1593700877,0
1593700882,0
1593700887,0
1593700892,0
1593700897,0
1593700902,0
1593700907,0
1593700912,0
1593700917,0
1593700922,0
1593700927,0
1593700932,0
1593700937,0
1593700942,0
1593700947,0
1593700952,0
1593700957,0
1593700962,0
1593700967,0
1593700972,0
1593700977,0
1593700982,0
1593700987,0
1593700992,0
1593700997,0
1593701002,0
1593701007,0
1593701012,0
1593701017,0
1593701022,0
1593701027,0
1593701032,0
1593701037,0
1593701042,0
1593701047,0
1593701052,0
1593701057,0
1593701062,0
1593701067,0
1593701072,0
1593701077,0
1593701082,0
1593701087,0
1593701092,0
1593701097,0
1593701102,0
1593701107,0
1593701112,0
1593701117,0
1593701122,0
1593701127,0
1593701132,0
1593701137,0
1593701142,0
1593701147,0
1593701152,0
1593701157,0
1593701162,0
1593701167,0
1593701172,0
1593701177,0
1593701182,0
1593701187,0
1593701192,0
1593701197,0
1593701202,0
1593701207,0
1593701212,0
1593701217,0
1593701222,0
1593701227,0
1593701232,0
1593701237,0
1593701242,0
1593701247,0
1593701252,0
1593701257,0
1593701262,0
1593701267,0
1593701272,0
1593701277,0
1593701282,0
1593701287,0
1593701292,0
1593701297,0
1593701302,0
1593701307,0
1593701312,0
1593701317,0
1593701322,0
1593701327,0
1593701332,0
1593701337,0
1593701342,0
1593701347,0
1593701352,0
1593701357,0
1593701362,0
1593701367,0
1593701372,0
1593701377,0
1593701382,0
1593701387,0
1593701392,0
1593701397,0
1593701402,0
1593701407,0
1593701412,0
1593701417,0
1593701422,0
1593701427,0
1593701432,0
1593701437,0
1593701442,0
1593701447,0
1593701452,0
1593701457,0
1593701462,0
1593701467,0
1593701472,0
1593701477,0
1593701482,0
1593701487,0
1593701492,0
1593701497,0
1593701502,0
1593701507,0
1593701512,0
1593701517,0
1593701522,0
1593701527,0
1593701532,0
1593701537,0
1593701542,0
1593701547,0
1593701552,0
1593701557,0
1593701562,0
1593701567,0
1593701572,0
1593701577,0
1593701582,0
1593701587,0
1593701592,0
1593701597,0
1593701602,0
1593701607,0
1593701612,0
1593701617,0
1593701622,0
1593701627,0
1593701632,0
1593701637,0
1593701642,0
1593701647,0
1593701652,0
1593701657,0
1593701662,0
1593701667,0
1593701672,0
1593701677,0
1593701682,0
1593701687,0
1593701692,0
1593701697,0
1593701702,0
1593701707,0
1593701712,0
1593701717,0
1593701722,0
1593701727,0
1593701732,0
1593701737,0
1593701742,0
1593701747,0
1593701752,0
1593701757,0
1593701762,0
1593701767,0
1593701772,0
1593701777,0
1593701782,0
1593701787,0
1593701792,0
1593701797,0
1593701802,0
1593701807,0
1593701812,0
1593701817,0
1593701822,0
1593701827,0
1593701832,0
1593701837,0
1593701842,0
1593701847,0
1593701852,0
1593701857,0
1593701862,0
1593701867,0
1593701872,0
1593701877,0
1593701882,0
1593701887,0
1593701892,0
1593701897,0
1593701902,0
1593701907,0
1593701912,0
1593701917,0
1593701922,0
1593701927,0
1593701932,0
1593701937,0
1593701942,0
1593701947,0
1593701952,0
1593701957,0
1593701962,0
1593701967,0
1593701972,0
1593701977,0
1593701982,0
1593701987,0
1593701992,0
1593701997,0
1593702002,0
1593702007,0
1593702012,0
1593702017,0
1593702022,0
1593702027,0
1593702032,0
1593702037,0
1593702042,0
1593702047,0
1593702052,0
1593702057,0
1593702062,0
1593702067,0
1593702072,0
1593702077,0
1593702082,0
1593702087,0
1593702092,0
1593702097,0
