t,count
1593700422,146380
1593700427,341850
1593700432,551230
1593700437,832915
1593700442,1105788
1593700447,1349568
1593700452,1579335
1593700457,1807294
1593700462,2048395
1593700467,2254981
1593700472,2480407
1593700477,2695686
1593700482,2894633
1593700487,3135764
1593700492,3352017
1593700497,3586182
1593700503,3827392
1593700507,4042164
1593700512,4279394
1593700517,4501952
1593700522,4735124
1593700527,4965740
1593700532,5190796
1593700537,5446091
1593700542,5666523
1593700547,5921621
1593700552,6146325
1593700557,6375758
1593700562,6608030
1593700567,6846370
1593700572,7066391
1593700577,7308168
1593700582,7518589
1593700588,7765108
1593700592,7908564
1593700597,7908564
1593700602,7908564
1593700607,7908564
1593700612,7908564
1593700617,7908564
1593700622,7908564
1593700627,7908564
1593700632,7908564
1593700637,7908564
1593700642,7908564
1593700647,7908564
1593700652,7908564
1593700657,7908564
1593700662,7908564
1593700667,7908564
1593700672,7908564
1593700677,7908564
1593700682,7908564
1593700687,7908564
1593700692,7908564
1593700697,7908564
1593700702,7908564
1593700707,7908564
1593700712,7908564
1593700717,7908564
1593700722,7908564
1593700727,7908564
1593700732,7908564
1593700737,7908564
1593700742,7908564
1593700747,7908564
1593700752,7908564
1593700757,7908564
1593700762,7908564
1593700767,7908564
1593700772,7908564
1593700777,7908564
1593700782,7908564
1593700787,7908564
1593700792,7908564
1593700797,7908564
1593700802,7908564
1593700807,7908564
1593700812,7908564
1593700817,7908564
1593700822,7908564
1593700827,7908564
1593700832,7908564
1593700837,7908564
1593700842,7908564
1593700847,7908564
1593700852,7908564
1593700857,7908564
1593700862,7908564
1593700867,7908564
1593700872,7908564
1593700877,7908564
1593700882,7908564
1593700887,7908564
1593700892,7908564
1593700897,7908564
1593700902,7908564
1593700907,7908564
1593700912,7908564
1593700917,7908564
1593700922,7908564
1593700927,7908564
1593700932,7908564
1593700937,7908564
1593700942,7908564
1593700947,7908564
1593700952,7908564
1593700957,7908564
1593700962,7908564
1593700967,7908564
1593700972,7908564
1593700977,7908564
1593700982,7908564
1593700987,7908564
1593700992,7908564
1593700997,7908564
1593701002,7908564
1593701007,7908564
1593701012,7908564
1593701017,7908564
1593701022,7908564
1593701027,7908564
1593701032,7908564
1593701037,7908564
1593701042,7908564
1593701047,7908564
1593701052,7908564
1593701057,7908564
1593701062,7908564
1593701067,7908564
1593701072,7908564
1593701077,7908564
1593701082,7908564
1593701087,7908564
1593701092,7908564
1593701097,7908564
1593701102,7908564
1593701107,7908564
1593701112,7908564
1593701117,7908564
1593701122,7908564
1593701127,7908564
1593701132,7908564
1593701137,7908564
1593701142,7908564
1593701147,7908564
1593701152,7908564
1593701157,7908564
1593701162,7908564
1593701167,7908564
1593701172,7908564
1593701177,7908564
1593701182,7908564
1593701187,7908564
1593701192,7908564
1593701197,7908564
1593701202,7908564
1593701207,7908564
1593701212,7908564
1593701217,7908564
1593701222,7908564
1593701227,7908564
1593701232,7908564
1593701237,7908564
1593701242,7908564
1593701247,7908564
1593701252,7908564
1593701257,7908564
1593701262,7908564
1593701267,7908564
1593701272,7908564
