timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593700422,146380,73239,0.053733,3638,0.075665,0.115104,0.282242,15586
1593700427,341850,171075,0.045916,8487,0.069668,0.076191,0.165616,19380
1593700432,551230,275821,0.043806,13653,0.067458,0.075352,0.165616,21239
1593700437,832915,416744,0.039861,20846,0.061106,0.067274,0.151831,28227
1593700442,1105788,553262,0.038442,27847,0.059679,0.064404,0.151831,27237
1593700447,1349568,675208,0.037604,33712,0.057308,0.061752,0.115104,24437
1593700452,1579335,790155,0.037651,39559,0.055947,0.061263,0.110049,22985
1593700457,1807294,904181,0.037430,45317,0.054655,0.060737,0.104032,22780
1593700462,2048395,1024775,0.037525,51330,0.052955,0.060508,0.092189,24147
1593700467,2254981,1128149,0.036623,56522,0.013683,0.061108,0.090801,20684
1593700472,2480407,1240926,0.036917,62175,0.013312,0.061869,0.090801,22531
1593700477,2695686,1348623,0.037127,67658,0.013219,0.061752,0.084850,21572
1593700482,2894633,1448165,0.037951,72622,0.013480,0.062801,0.084850,19901
1593700487,3135764,1568822,0.038097,78569,0.014130,0.063025,0.093076,24089
1593700492,3352017,1677011,0.037976,83786,0.013399,0.062396,0.090801,21655
1593700497,3586182,1794140,0.037807,89648,0.013100,0.061329,0.090801,23412
1593700503,3827392,1914774,0.037383,95618,0.013035,0.060897,0.092822,22990
1593700507,4042164,2022220,0.037378,100982,0.013700,0.061329,0.093076,22646
1593700512,4279394,2140917,0.037303,106793,0.013394,0.061974,0.091064,23738
1593700517,4501952,2252270,0.037558,112347,0.013433,0.062979,0.091064,22266
1593700522,4735124,2368929,0.037590,118045,0.013152,0.061814,0.085841,23349
1593700527,4965740,2484304,0.037824,123846,0.013259,0.062504,0.085841,23049
1593700532,5190796,2596882,0.037505,129403,0.012676,0.060848,0.084850,22543
1593700537,5446091,2724601,0.036851,135861,0.012515,0.059979,0.083231,24641
1593700542,5666523,2834889,0.036912,141343,0.012335,0.060404,0.083231,22839
1593700547,5921621,2962506,0.036396,147856,0.012019,0.059882,0.081733,25570
1593700552,6146325,3074921,0.036642,153485,0.012678,0.059979,0.083231,22489
1593700557,6375758,3189699,0.036626,159168,0.012417,0.059861,0.079646,22399
1593700562,6608030,3305890,0.036144,164989,0.011931,0.058142,0.072251,23832
1593700567,6846370,3425131,0.037399,170890,0.031041,0.058142,0.079646,23860
1593700572,7066391,3535212,0.037219,176413,0.029895,0.057835,0.076050,21976
1593700577,7308168,3656156,0.037718,182480,0.028935,0.058142,0.076050,24221
1593700582,7518589,3761408,0.037664,187782,0.028166,0.057835,0.072251,21038
1593700588,7765108,3884914,0.037580,193880,0.027232,0.059207,0.070147,23761
1593700592,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,14950
1593700597,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700602,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700607,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700612,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700617,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700622,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700627,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700632,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700637,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700642,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700647,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700652,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700657,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700662,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700667,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700672,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700677,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700682,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700687,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700692,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700697,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700702,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700707,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700712,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700717,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700722,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700727,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700732,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700737,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700742,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700747,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700752,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700757,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700762,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700767,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700772,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700777,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700782,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700787,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700792,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700797,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700802,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700807,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
1593700812,7908564,3956482,0.037826,197441,0.026561,0.058861,0.069534,0
