timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593700422,15101,7555,0.635307,388,0.630008,1.129404,2.780633,1538
1593700427,34268,17149,0.541567,864,0.438903,0.954894,1.345089,1901
1593700432,51926,25972,0.514428,1278,0.267638,0.846514,1.200728,1793
1593700437,75492,37759,0.476877,1851,0.209276,0.751867,1.067799,2362
1593700442,97251,48643,0.599961,2406,4.116662,0.731446,1.067799,2172
1593700447,116596,58319,0.467829,2901,0.191122,0.743738,0.998660,1938
1593700452,135151,67598,0.470873,3365,0.176002,0.753882,0.982104,1855
1593700457,153055,76555,0.470325,3781,0.172155,0.755320,0.969915,1789
1593700462,172027,86043,0.473145,4286,0.167818,0.756518,0.947972,1900
1593700467,188433,94253,0.478353,4709,0.141912,0.765773,0.982104,1641
1593700472,206566,103323,0.482844,5156,0.144897,0.791167,0.974149,1813
1593700477,222962,111521,0.493788,5547,0.150118,0.822512,0.987260,1642
1593700482,238607,119349,0.511557,5925,0.158719,0.858804,0.990083,1565
1593700487,258330,129217,0.505714,6421,0.153604,0.851061,0.989660,1971
1593700492,274969,137540,0.508953,6840,0.151716,0.848129,0.985973,1665
1593700497,292312,146215,0.509026,7290,0.148180,0.839332,0.985973,1734
1593700503,310747,155436,0.506751,7781,0.143378,0.826869,0.947105,1758
1593700507,327582,163856,0.504697,8176,0.139303,0.810087,0.947105,1776
1593700512,345895,173016,0.504630,8622,0.137004,0.802364,0.929832,1830
1593700517,363556,181850,0.501652,9041,0.137852,0.791536,0.943510,1767
1593700522,382005,191078,0.503267,9497,0.142708,0.820229,0.943510,1846
1593700527,399948,200053,0.507587,9928,0.142819,0.820937,0.944694,1795
1593700532,417632,208898,0.503138,10352,0.136113,0.804080,0.943758,1770
1593700537,437494,218831,0.499757,10823,0.138056,0.813926,0.943758,1917
1593700542,454945,227560,0.500798,11273,0.138335,0.818795,0.929832,1807
1593700547,474699,237440,0.495436,11744,0.133334,0.804080,0.924105,1980
1593700552,492194,246190,0.496592,12212,0.131031,0.797686,0.917493,1750
1593700557,509532,254862,0.497860,12642,0.129665,0.797686,0.913641,1693
1593700562,527126,263661,0.498678,13047,0.131871,0.804080,0.926989,1805
1593700567,545337,272768,0.499607,13505,0.129790,0.802364,0.917493,1822
1593700572,562606,281403,0.500886,13948,0.131150,0.808862,0.926989,1725
1593700577,581736,290970,0.502662,14452,0.135518,0.813926,0.915079,1915
1593700582,597801,299003,0.505991,14874,0.135809,0.814749,0.917493,1606
1593700588,617403,308807,0.504058,15362,0.136701,0.815502,0.926989,1886
1593700592,633648,316931,0.508494,15724,0.135546,0.815502,0.924180,1694
1593700597,656298,328260,0.494932,16282,0.128056,0.800281,0.924180,2265
1593700602,678474,339351,0.487432,16844,0.121108,0.762046,0.924105,2219
1593700607,701234,350734,0.478214,17412,0.113770,0.730636,0.915079,2277
1593700612,723676,361957,0.470582,18023,0.107142,0.709651,0.911152,2245
1593700617,748159,374204,0.460677,18640,0.103321,0.673600,0.910589,2449
1593700622,772073,386166,0.451515,19249,0.098542,0.641175,0.905958,2392
1593700627,797533,398900,0.438837,19864,0.094705,0.625693,0.894759,2547
1593700632,821522,410898,0.432111,20476,0.085805,0.579817,0.840671,2398
1593700637,846743,423512,0.428317,21118,0.083630,0.576652,0.834797,2525
1593700642,871133,435710,0.424531,21761,0.079948,0.567955,0.795363,2437
1593700647,896607,448452,0.421076,22399,0.080489,0.568120,0.771392,2551
1593700652,921030,460678,0.418693,23013,0.077296,0.550283,0.756742,2441
