t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407238591,5180,10.778450,0.197206,0.011819,0.572018,0.095417,0.139756,0.499979,1.440740,2.452591,10.645975,2733.510710,0.000000,0.000000,0.000000,calls/second,milliseconds
1407238593,17964,7.548771,0.107908,0.004957,0.385888,0.057826,0.084183,0.200905,0.479618,1.326186,7.509956,4869.670626,0.000000,0.000000,0.000000,calls/second,milliseconds
1407238595,47205,3.199282,0.057536,0.003958,0.166081,0.038830,0.046821,0.116352,0.171319,0.398702,3.175966,8300.091933,7082.000000,7082.000000,7082.000000,calls/second,milliseconds
1407238597,80088,44.475622,0.088507,0.002646,1.391403,0.036384,0.041629,0.080773,0.118083,0.156361,43.255292,10394.497686,7082.000000,7082.000000,7082.000000,calls/second,milliseconds
1407238599,117808,73.946128,0.153985,0.002608,2.689564,0.036518,0.041600,0.069395,0.102454,0.135892,73.091483,12155.902619,7082.000000,7082.000000,7082.000000,calls/second,milliseconds
1407238601,157993,73.946128,0.149270,0.002769,2.688795,0.036436,0.041222,0.060315,0.082381,0.109946,73.091483,13506.269631,7942.865797,7259.959551,7141.649709,calls/second,milliseconds
1407238603,194419,73.946128,0.148795,0.002690,2.688812,0.036609,0.040810,0.056722,0.078881,0.096387,73.091483,14205.166257,7942.865797,7259.959551,7141.649709,calls/second,milliseconds
1407238605,242689,73.946128,0.148582,0.002791,2.688818,0.036483,0.040384,0.055154,0.075317,0.096387,73.091483,15471.179933,8912.306017,7471.651228,7213.261438,calls/second,milliseconds
1407238607,286516,44.475622,0.076374,0.002667,1.386252,0.036453,0.040198,0.053169,0.072377,0.094118,43.196250,16176.204717,8912.306017,7471.651228,7213.261438,calls/second,milliseconds
1407238609,336146,44.475622,0.075625,0.002565,1.386234,0.036273,0.039991,0.047537,0.062603,0.084630,43.190400,17014.389049,8912.306017,7471.651228,7213.261438,calls/second,milliseconds
1407238611,383831,44.475622,0.075543,0.002565,1.386236,0.035981,0.039954,0.047475,0.060878,0.084630,43.190400,17442.739565,10094.312941,7739.809514,7304.576099,calls/second,milliseconds
1407238613,427103,44.475622,0.075041,0.002565,1.386248,0.035532,0.039939,0.045976,0.056878,0.078911,43.190400,18030.134297,10094.312941,7739.809514,7304.576099,calls/second,milliseconds
1407238615,483985,44.475622,0.074751,0.002565,1.386262,0.035316,0.039845,0.045976,0.056878,0.084630,43.190400,18839.383843,11213.218364,8010.027947,7397.561034,calls/second,milliseconds
1407238617,526822,44.475622,0.074770,0.002565,1.386260,0.035377,0.039893,0.045312,0.055950,0.079371,43.190400,19029.507751,11213.218364,8010.027947,7397.561034,calls/second,milliseconds
1407238619,583066,44.475622,0.074599,0.002565,1.386261,0.034957,0.039849,0.044992,0.055771,0.064784,43.190400,19640.586911,11213.218364,8010.027947,7397.561034,calls/second,milliseconds
1407238621,638547,44.475622,0.074201,0.002565,1.386275,0.034076,0.039751,0.044870,0.055643,0.064784,43.190400,20145.876514,12365.376881,8301.148074,7498.533844,calls/second,milliseconds
