t,value
1407238591,{1407238590=1121; 1407238589=2; total=1123}
1407238593,{1407238592=6242; 1407238591=6256; total=12498}
1407238595,{1407238593=15679; 1407238594=11469; total=27148}
1407238597,{1407238596=11659; 1407238595=20833; total=32492}
1407238599,{1407238597=18478; 1407238598=20532; total=39010}
1407238601,{1407238599=13474; 1407238600=24055; total=37529}
1407238603,{1407238602=22067; 1407238601=19798; total=41865}
1407238605,{1407238604=25464; 1407238603=18146; total=43610}
1407238607,{1407238606=16534; 1407238605=26445; total=42979}
1407238609,{1407238607=24589; 1407238608=27603; total=52192}
1407238611,{1407238610=27302; 1407238609=20724; total=48026}
1407238613,{1407238612=27741; 1407238611=12261; total=40002}
1407238615,{1407238613=27025; 1407238614=29382; total=56407}
1407238617,{1407238615=28836; 1407238616=19421; total=48257}
1407238619,{1407238617=24518; 1407238618=27255; total=51773}
1407238621,{1407238619=27390; 1407238620=27637; total=55027}
1407238623,{1407238622=15687; 1407238621=25929; total=41616}
1407238625,{1407238623=24764; 1407238624=29631; total=54395}
1407238627,{1407238625=27559; 1407238626=30741; total=58300}
1407238629,{1407238627=29527; 1407238628=28553; total=58080}
1407238631,{1407238630=29368; 1407238629=10867; total=40235}
1407238633,{1407238632=30120; 1407238631=27975; total=58095}
1407238635,{1407238633=27595; 1407238634=27041; total=54636}
1407238637,{1407238635=27964; 1407238636=31032; total=58996}
1407238639,{1407238638=20655; 1407238637=18340; total=38995}
1407238641,{1407238640=27245; 1407238639=26733; total=53978}
1407238643,{1407238641=30926; 1407238642=29054; total=59980}
1407238645,{1407238643=30301; 1407238644=27772; total=58073}
1407238647,{1407238646=16926; 1407238645=15879; total=32805}
1407238649,{1407238648=29286; 1407238647=31524; total=60810}
1407238651,{1407238649=30174; 1407238650=29328; total=59502}
1407238653,{1407238652=32486; 1407238651=32467; total=64953}
1407238655,{1407238653=33074; 1407238654=32265; total=65339}
1407238657,{1407238655=33217; 1407238656=33216; total=66433}
1407238659,{1407238658=29764; 1407238657=32769; total=62533}
1407238661,{1407238660=33093; 1407238659=32176; total=65269}
1407238663,{1407238661=32546; 1407238662=32704; total=65250}
1407238665,{1407238663=31859; 1407238664=32993; total=64852}
1407238667,{1407238665=32686; 1407238666=32527; total=65213}
1407238669,{1407238667=32227; total=32227}
1407238671,{total=0}
1407238673,{total=0}
1407238675,{total=0}
1407238677,{total=0}
