t,value
1407238591,388497408
1407238593,597164032
1407238595,656408576
1407238597,719847424
1407238599,713031680
1407238601,790102016
1407238603,866123776
1407238605,864550912
1407238607,950009856
1407238609,927989760
1407238611,1018691584
1407238613,1012924416
1407238615,1019740160
1407238617,1124073472
1407238619,1130889216
1407238621,1142947840
1407238623,1247805440
1407238625,1233649664
1407238627,1227882496
1407238629,1236795392
1407238631,1340080128
1407238633,1334837248
1407238635,1334312960
1407238637,1334312960
1407238639,1443889152
1407238641,1428684800
1407238643,1438121984
1407238645,1424490496
1407238647,1479016448
1407238649,1494745088
1407238651,1509425152
1407238653,1513095168
1407238655,1518338048
1407238657,1522532352
1407238659,1525678080
1407238661,1528823808
1407238663,1531445248
1407238665,1533018112
1407238667,1534066688
1407238669,1534590976
1407238671,1534590976
1407238673,1535639552
1407238675,1535639552
1407238677,1535639552
