t,value
1407238591,95979072
1407238593,95979072
1407238595,95979072
1407238597,95979072
1407238599,95979072
1407238601,95979072
1407238603,95979072
1407238605,95979072
1407238607,95979072
1407238609,95979072
1407238611,95979072
1407238613,95979072
1407238615,95979072
1407238617,95979072
1407238619,95979072
1407238621,95979072
1407238623,95979072
1407238625,95979072
1407238627,95979072
1407238629,95979072
1407238631,95979072
1407238633,95979072
1407238635,95979072
1407238637,95979072
1407238639,95979072
1407238641,95979072
1407238643,95979072
1407238645,95979072
1407238647,95979072
1407238649,95979072
1407238651,95979072
1407238653,95979072
1407238655,95979072
1407238657,95979072
1407238659,95979072
1407238661,95979072
1407238663,95979072
1407238665,95979072
1407238667,95979072
1407238669,95979072
1407238671,95979072
1407238673,95979072
1407238675,95979072
1407238677,95979072
