t,value
1407238591,72283712
1407238593,92979248
1407238595,194715848
1407238597,382720312
1407238599,334099824
1407238601,515094616
1407238603,513797352
1407238605,652270048
1407238607,341379536
1407238609,789246240
1407238611,387472872
1407238613,579840776
1407238615,578372960
1407238617,696942040
1407238619,792080200
1407238621,840625952
1407238623,905776232
1407238625,814126680
1407238627,854098528
1407238629,1025721096
1407238631,706548840
1407238633,868833232
1407238635,825356056
1407238637,1151263848
1407238639,948004816
1407238641,876902360
1407238643,1203760152
1407238645,1191482728
1407238647,1063445616
1407238649,1202803840
1407238651,1180007456
1407238653,1311261264
1407238655,955202712
1407238657,1022843208
1407238659,1423042016
1407238661,1438261040
1407238663,1421891904
1407238665,1408244160
1407238667,1368620704
1407238669,1338153664
1407238671,1415868544
1407238673,985354176
1407238675,1061968664
1407238677,1139887944
