t,value
1407238591,24576000
1407238593,24576000
1407238595,27197440
1407238597,26148864
1407238599,26148864
1407238601,25100288
1407238603,24576000
1407238605,24576000
1407238607,24576000
1407238609,24576000
1407238611,24576000
1407238613,24576000
1407238615,24576000
1407238617,24576000
1407238619,24576000
1407238621,24576000
1407238623,24576000
1407238625,24576000
1407238627,24576000
1407238629,24576000
1407238631,24576000
1407238633,24576000
1407238635,24576000
1407238637,24576000
1407238639,24576000
1407238641,24576000
1407238643,24576000
1407238645,24576000
1407238647,24576000
1407238649,24576000
1407238651,24576000
1407238653,24576000
1407238655,24576000
1407238657,24576000
1407238659,24576000
1407238661,24576000
1407238663,24576000
1407238665,24576000
1407238667,24576000
1407238669,24576000
1407238671,24576000
1407238673,24576000
1407238675,24576000
1407238677,24576000
