t,value
1407238591,413073408
1407238593,621740032
1407238595,683606016
1407238597,745996288
1407238599,739180544
1407238601,815202304
1407238603,890699776
1407238605,889126912
1407238607,974585856
1407238609,952565760
1407238611,1043267584
1407238613,1037500416
1407238615,1044316160
1407238617,1148649472
1407238619,1155465216
1407238621,1167523840
1407238623,1272381440
1407238625,1258225664
1407238627,1252458496
1407238629,1261371392
1407238631,1364656128
1407238633,1359413248
1407238635,1358888960
1407238637,1358888960
1407238639,1468465152
1407238641,1453260800
1407238643,1462697984
1407238645,1449066496
1407238647,1503592448
1407238649,1519321088
1407238651,1534001152
1407238653,1537671168
1407238655,1542914048
1407238657,1547108352
1407238659,1550254080
1407238661,1553399808
1407238663,1556021248
1407238665,1557594112
1407238667,1558642688
1407238669,1559166976
1407238671,1559166976
1407238673,1560215552
1407238675,1560215552
1407238677,1560215552
