t,value
1407238591,1590689792
1407238593,1590689792
1407238595,1590689792
1407238597,1590689792
1407238599,1590689792
1407238601,1590689792
1407238603,1590689792
1407238605,1590689792
1407238607,1590689792
1407238609,1590689792
1407238611,1590689792
1407238613,1590689792
1407238615,1590689792
1407238617,1590689792
1407238619,1590689792
1407238621,1590689792
1407238623,1590689792
1407238625,1590689792
1407238627,1590689792
1407238629,1590689792
1407238631,1590689792
1407238633,1590689792
1407238635,1590689792
1407238637,1590689792
1407238639,1668284416
1407238641,1653080064
1407238643,1662517248
1407238645,1648885760
1407238647,1703411712
1407238649,1719140352
1407238651,1733820416
1407238653,1737490432
1407238655,1742733312
1407238657,1746927616
1407238659,1750073344
1407238661,1753219072
1407238663,1755840512
1407238665,1757413376
1407238667,1758461952
1407238669,1758986240
1407238671,1758986240
1407238673,1760034816
1407238675,1760034816
1407238677,1760034816
