t,value
1407238591,163226232
1407238593,105895248
1407238595,207580408
1407238597,396223160
1407238599,350622184
1407238601,528783240
1407238603,531209840
1407238605,669318912
1407238607,357606136
1407238609,802410504
1407238611,403403616
1407238613,593030112
1407238615,591610400
1407238617,710182400
1407238619,805323520
1407238621,853874056
1407238623,923184496
1407238625,831032440
1407238627,871394568
1407238629,1038972936
1407238631,724668880
1407238633,882112944
1407238635,845501752
1407238637,1167392920
1407238639,961263472
1407238641,890161016
1407238643,1224126392
1407238645,1208215016
1407238647,1076721032
1407238649,1216793608
1407238651,1193293816
1407238653,1324547624
1407238655,968505192
1407238657,1044327856
1407238659,1436347584
1407238661,1451567192
1407238663,1443641880
1407238665,1421551096
1407238667,1381933928
1407238669,1351467400
1407238671,1429182920
1407238673,998676136
1407238675,1076581944
1407238677,1153216088
