t,value
1407238591,{1407238590=11316; 1407238589=16; total=11332}
1407238593,{1407238592=34351; 1407238591=38139; total=72490}
1407238595,{1407238593=49206; 1407238594=41323; total=90529}
1407238597,{1407238596=36902; 1407238595=58007; total=94909}
1407238599,{1407238597=49202; 1407238598=49951; total=99153}
1407238601,{1407238599=41000; 1407238600=65479; total=106479}
1407238603,{1407238602=56333; 1407238601=52727; total=109060}
1407238605,{1407238604=58489; 1407238603=48908; total=107397}
1407238607,{1407238606=38790; 1407238605=61012; total=99802}
1407238609,{1407238607=54658; 1407238608=57211; total=111869}
1407238611,{1407238610=59073; 1407238609=52323; total=111396}
1407238613,{1407238612=60399; 1407238611=29804; total=90203}
1407238615,{1407238613=62490; 1407238614=66859; total=129349}
1407238617,{1407238615=63247; 1407238616=46394; total=109641}
1407238619,{1407238617=44256; 1407238618=65059; total=109315}
1407238621,{1407238619=62096; 1407238620=61439; total=123535}
1407238623,{1407238622=36276; 1407238621=65337; total=101613}
1407238625,{1407238623=52471; 1407238624=60871; total=113342}
1407238627,{1407238625=59973; 1407238626=58208; total=118181}
1407238629,{1407238627=56410; 1407238628=66174; total=122584}
1407238631,{1407238630=68124; 1407238629=27286; total=95410}
1407238633,{1407238632=64739; 1407238631=59066; total=123805}
1407238635,{1407238633=54749; 1407238634=61942; total=116691}
1407238637,{1407238635=59620; 1407238636=55073; total=114693}
1407238639,{1407238638=39005; 1407238637=31080; total=70085}
1407238641,{1407238640=52878; 1407238639=62744; total=115622}
1407238643,{1407238641=63213; 1407238642=57626; total=120839}
1407238645,{1407238643=54553; 1407238644=48877; total=103430}
1407238647,{1407238646=39761; 1407238645=36598; total=76359}
1407238649,{1407238648=63826; 1407238647=52778; total=116604}
1407238651,{1407238649=50214; 1407238650=53504; total=103718}
1407238653,{1407238652=26757; 1407238651=26670; total=53427}
1407238655,{1407238653=26647; 1407238654=26426; total=53073}
1407238657,{1407238655=26714; 1407238656=27350; total=54064}
1407238659,{1407238658=24232; 1407238657=26909; total=51141}
1407238661,{1407238660=27272; 1407238659=26742; total=54014}
1407238663,{1407238661=27302; 1407238662=27290; total=54592}
1407238665,{1407238663=26929; 1407238664=27084; total=54013}
1407238667,{1407238665=27755; 1407238666=27246; total=55001}
1407238669,{1407238667=26728; total=26728}
1407238671,{total=0}
1407238673,{total=0}
1407238675,{total=0}
1407238677,{total=0}
