t,count
1407238591,0
1407238593,0
1407238595,0
1407238597,0
1407238599,0
1407238601,0
1407238603,0
1407238605,0
1407238607,0
1407238609,0
1407238611,0
1407238613,0
1407238615,0
1407238617,0
1407238619,0
1407238621,0
1407238623,0
1407238625,0
1407238627,0
1407238629,0
1407238631,0
1407238633,0
1407238635,0
1407238637,0
1407238639,0
1407238641,0
1407238643,0
1407238645,0
1407238647,0
1407238649,0
1407238651,0
1407238653,0
1407238655,0
1407238657,0
1407238659,0
1407238661,0
1407238663,0
1407238665,0
1407238667,0
1407238669,0
1407238671,0
1407238673,0
1407238675,0
1407238677,0
