t,value
1407238591,{1407238590=10375; 1407238589=16; total=10391}
1407238593,{1407238592=28894; 1407238591=33289; total=62183}
1407238595,{1407238593=35937; 1407238594=31637; total=67574}
1407238597,{1407238596=27158; 1407238595=40269; total=67427}
1407238599,{1407238597=32858; 1407238598=32781; total=65639}
1407238601,{1407238599=30385; 1407238600=44695; total=75080}
1407238603,{1407238602=38160; 1407238601=35999; total=74159}
1407238605,{1407238604=37359; 1407238603=32848; total=70207}
1407238607,{1407238606=24165; 1407238605=38666; total=62831}
1407238609,{1407238607=33309; 1407238608=34100; total=67409}
1407238611,{1407238610=36469; 1407238609=34716; total=71185}
1407238613,{1407238612=36509; 1407238611=19406; total=55915}
1407238615,{1407238613=39309; 1407238614=43138; total=82447}
1407238617,{1407238615=38430; 1407238616=31293; total=69723}
1407238619,{1407238617=22270; 1407238618=42168; total=64438}
1407238621,{1407238619=38375; 1407238620=38538; total=76913}
1407238623,{1407238622=22946; 1407238621=42454; total=65400}
1407238625,{1407238623=30713; 1407238624=36579; total=67292}
1407238627,{1407238625=36741; 1407238626=33162; total=69903}
1407238629,{1407238627=32694; 1407238628=41768; total=74462}
1407238631,{1407238630=43436; 1407238629=17815; total=61251}
1407238633,{1407238632=40049; 1407238631=35189; total=75238}
1407238635,{1407238633=31174; 1407238634=38457; total=69631}
1407238637,{1407238635=35615; 1407238636=29712; total=65327}
1407238639,{1407238638=22284; 1407238637=15954; total=38238}
1407238641,{1407238640=30016; 1407238639=40086; total=70102}
1407238643,{1407238641=38657; 1407238642=32951; total=71608}
1407238645,{1407238643=29425; 1407238644=30993; total=60418}
1407238647,{1407238646=25924; 1407238645=19684; total=45608}
1407238649,{1407238648=39864; 1407238647=27523; total=67387}
1407238651,{1407238649=25419; total=25419}
1407238653,{total=0}
1407238655,{total=0}
1407238657,{total=0}
1407238659,{total=0}
1407238661,{total=0}
1407238663,{total=0}
1407238665,{total=0}
1407238667,{total=0}
1407238669,{total=0}
1407238671,{total=0}
1407238673,{total=0}
1407238675,{total=0}
1407238677,{total=0}
