t,count
1407238591,28272
1407238593,83303
1407238595,151372
1407238597,219724
1407238599,285742
1407238601,359195
1407238603,428650
1407238605,503464
1407238607,568557
1407238609,633750
1407238611,700656
1407238613,760267
1407238615,843688
1407238617,906601
1407238619,979699
1407238621,1058641
1407238623,1114546
1407238625,1188799
1407238627,1257852
1407238629,1335766
1407238631,1391209
1407238633,1466404
1407238635,1536574
1407238637,1599603
1407238639,1642877
1407238641,1715772
1407238643,1781838
1407238645,1844523
1407238647,1885812
1407238649,1949318
1407238651,2000000
1407238653,2000000
1407238655,2000000
1407238657,2000000
1407238659,2000000
1407238661,2000000
1407238663,2000000
1407238665,2000000
1407238667,2000000
1407238669,2000000
1407238671,2000000
1407238673,2000000
1407238675,2000000
1407238677,2000000
