t,value
1407238591,{1407238590=986; total=986}
1407238593,{1407238592=5456; 1407238591=4809; total=10265}
1407238595,{1407238593=13271; 1407238594=9686; total=22957}
1407238597,{1407238596=9745; 1407238595=17739; total=27484}
1407238599,{1407238597=16347; 1407238598=17170; total=33517}
1407238601,{1407238599=10764; 1407238600=20637; total=31401}
1407238603,{1407238602=18545; 1407238601=16730; total=35275}
1407238605,{1407238604=21130; 1407238603=15690; total=36820}
1407238607,{1407238606=14625; 1407238605=22348; total=36973}
1407238609,{1407238607=21352; 1407238608=23110; total=44462}
1407238611,{1407238610=22606; 1407238609=17608; total=40214}
1407238613,{1407238612=23891; 1407238611=10397; total=34288}
1407238615,{1407238613=23182; 1407238614=23723; total=46905}
1407238617,{1407238615=24817; 1407238616=17060; total=41877}
1407238619,{1407238617=20029; 1407238618=22953; total=42982}
1407238621,{1407238619=23662; 1407238620=22902; total=46564}
1407238623,{1407238622=13332; 1407238621=22885; total=36217}
1407238625,{1407238623=21758; 1407238624=24294; total=46052}
1407238627,{1407238625=23230; 1407238626=25047; total=48277}
1407238629,{1407238627=24325; 1407238628=23800; total=48125}
1407238631,{1407238630=24687; 1407238629=9473; total=34160}
1407238633,{1407238632=24561; 1407238631=24008; total=48569}
1407238635,{1407238633=23579; 1407238634=23485; total=47064}
1407238637,{1407238635=24004; 1407238636=25363; total=49367}
1407238639,{1407238638=16724; 1407238637=15127; total=31851}
1407238641,{1407238640=22862; 1407238639=22657; total=45519}
1407238643,{1407238641=24559; 1407238642=24823; total=49382}
1407238645,{1407238643=24982; 1407238644=22190; total=47172}
1407238647,{1407238646=13840; 1407238645=12608; total=26448}
1407238649,{1407238648=23965; 1407238647=25254; total=49219}
1407238651,{1407238649=24794; 1407238650=24248; total=49042}
1407238653,{1407238652=26758; 1407238651=26670; total=53428}
1407238655,{1407238653=26646; 1407238654=26426; total=53072}
1407238657,{1407238655=26714; 1407238656=27350; total=54064}
1407238659,{1407238658=24232; 1407238657=26909; total=51141}
1407238661,{1407238660=27273; 1407238659=26742; total=54015}
1407238663,{1407238661=27301; 1407238662=27291; total=54592}
1407238665,{1407238663=26928; 1407238664=27084; total=54012}
1407238667,{1407238665=27755; 1407238666=27246; total=55001}
1407238669,{1407238667=26728; total=26728}
1407238671,{total=0}
1407238673,{total=0}
1407238675,{total=0}
1407238677,{total=0}
