t,count
1407238591,3834
1407238593,15054
1407238595,39779
1407238597,67183
1407238599,99845
1407238601,132872
1407238603,164071
1407238605,204636
1407238607,242726
1407238609,285054
1407238611,324916
1407238613,361888
1407238615,409185
1407238617,445615
1407238619,493314
1407238621,540288
1407238623,573941
1407238625,622759
1407238627,670758
1407238629,719713
1407238631,753214
1407238633,801793
1407238635,848751
1407238637,898708
1407238639,929677
1407238641,975306
1407238643,1025282
1407238645,1070893
1407238647,1099011
1407238649,1148353
1407238651,1197379
1407238653,1250866
1407238655,1304174
1407238657,1358236
1407238659,1409636
1407238661,1463567
1407238663,1517893
1407238665,1572386
1407238667,1627139
1407238669,1669735
1407238671,1669735
1407238673,1669735
1407238675,1669735
1407238677,1669735
