t,count
1407238591,3836
1407238593,15056
1407238595,39779
1407238597,67183
1407238599,99845
1407238601,132872
1407238603,164074
1407238605,204639
1407238607,242726
1407238609,285054
1407238611,324916
1407238613,361888
1407238615,409187
1407238617,445615
1407238619,493316
1407238621,540290
1407238623,573944
1407238625,622761
1407238627,670760
1407238629,719715
1407238631,753216
1407238633,801795
1407238635,848752
1407238637,898710
1407238639,929677
1407238641,975307
1407238643,1025282
1407238645,1070893
1407238647,1099014
1407238649,1148355
1407238651,1197381
1407238653,1250868
1407238655,1304175
1407238657,1358237
1407238659,1409638
1407238661,1463569
1407238663,1517893
1407238665,1572388
1407238667,1627140
1407238669,1669735
1407238671,1669735
1407238673,1669735
1407238675,1669735
1407238677,1669735
