t,value
1407238591,{1407238590=10375; 1407238589=16; total=10391}
1407238593,{1407238592=28895; 1407238591=33288; total=62183}
1407238595,{1407238593=35937; 1407238594=31637; total=67574}
1407238597,{1407238596=27158; 1407238595=40269; total=67427}
1407238599,{1407238597=32857; 1407238598=32782; total=65639}
1407238601,{1407238599=30253; 1407238600=44827; total=75080}
1407238603,{1407238602=37788; 1407238601=35998; total=73786}
1407238605,{1407238604=37359; 1407238603=33221; total=70580}
1407238607,{1407238606=24166; 1407238605=38665; total=62831}
1407238609,{1407238607=33308; 1407238608=34100; total=67408}
1407238611,{1407238610=36468; 1407238609=34717; total=71185}
1407238613,{1407238612=36509; 1407238611=19407; total=55916}
1407238615,{1407238613=39309; 1407238614=43137; total=82446}
1407238617,{1407238615=38431; 1407238616=29624; total=68055}
1407238619,{1407238617=23939; 1407238618=42168; total=66107}
1407238621,{1407238619=38374; 1407238620=38539; total=76913}
1407238623,{1407238622=22947; 1407238621=42453; total=65400}
1407238625,{1407238623=30712; 1407238624=36577; total=67289}
1407238627,{1407238625=36744; 1407238626=33162; total=69906}
1407238629,{1407238627=32086; 1407238628=42376; total=74462}
1407238631,{1407238630=43437; 1407238629=17814; total=61251}
1407238633,{1407238632=40179; 1407238631=35059; total=75238}
1407238635,{1407238633=31172; 1407238634=38457; total=69629}
1407238637,{1407238635=35617; 1407238636=29712; total=65329}
1407238639,{1407238638=22282; 1407238637=15954; total=38236}
1407238641,{1407238640=30016; 1407238639=40088; total=70104}
1407238643,{1407238641=38656; 1407238642=32803; total=71459}
1407238645,{1407238643=29574; 1407238644=26686; total=56260}
1407238647,{1407238646=25923; 1407238645=23991; total=49914}
1407238649,{1407238648=39863; 1407238647=27524; total=67387}
1407238651,{1407238649=25420; total=25420}
1407238653,{total=0}
1407238655,{total=0}
1407238657,{total=0}
1407238659,{total=0}
1407238661,{total=0}
1407238663,{total=0}
1407238665,{total=0}
1407238667,{total=0}
1407238669,{total=0}
1407238671,{total=0}
1407238673,{total=0}
1407238675,{total=0}
1407238677,{total=0}
