t,value
1407238591,{1407238590=10332; 1407238589=16; total=10348}
1407238593,{1407238592=28896; 1407238591=33330; total=62226}
1407238595,{1407238593=35936; 1407238594=31638; total=67574}
1407238597,{1407238596=27158; 1407238595=40269; total=67427}
1407238599,{1407238597=32856; 1407238598=32783; total=65639}
1407238601,{1407238599=30242; 1407238600=44837; total=75079}
1407238603,{1407238602=37789; 1407238601=35998; total=73787}
1407238605,{1407238604=37359; 1407238603=33220; total=70579}
1407238607,{1407238606=24166; 1407238605=38665; total=62831}
1407238609,{1407238607=33309; 1407238608=34100; total=67409}
1407238611,{1407238610=36469; 1407238609=34716; total=71185}
1407238613,{1407238612=36509; 1407238611=19407; total=55916}
1407238615,{1407238613=39309; 1407238614=43137; total=82446}
1407238617,{1407238615=38431; 1407238616=29336; total=67767}
1407238619,{1407238617=24227; 1407238618=42107; total=66334}
1407238621,{1407238619=38435; 1407238620=38538; total=76973}
1407238623,{1407238622=22944; 1407238621=42454; total=65398}
1407238625,{1407238623=30715; 1407238624=36577; total=67292}
1407238627,{1407238625=36744; 1407238626=33162; total=69906}
1407238629,{1407238627=32086; 1407238628=42375; total=74461}
1407238631,{1407238630=43438; 1407238629=17814; total=61252}
1407238633,{1407238632=40179; 1407238631=35059; total=75238}
1407238635,{1407238633=31172; 1407238634=38457; total=69629}
1407238637,{1407238635=35617; 1407238636=29711; total=65328}
1407238639,{1407238638=22282; 1407238637=15955; total=38237}
1407238641,{1407238640=30016; 1407238639=40088; total=70104}
1407238643,{1407238641=38655; 1407238642=32804; total=71459}
1407238645,{1407238643=29573; 1407238644=26687; total=56260}
1407238647,{1407238646=25922; 1407238645=23991; total=49913}
1407238649,{1407238648=39862; 1407238647=27525; total=67387}
1407238651,{1407238649=25421; total=25421}
1407238653,{total=0}
1407238655,{total=0}
1407238657,{total=0}
1407238659,{total=0}
1407238661,{total=0}
1407238663,{total=0}
1407238665,{total=0}
1407238667,{total=0}
1407238669,{total=0}
1407238671,{total=0}
1407238673,{total=0}
1407238675,{total=0}
1407238677,{total=0}
