timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407238589,,,,,,,,2
1407238590,,,,,,,,1121
1407238591,3824,4609,0.197206,5180,0.572018,0.499979,2.452591,6256
1407238592,,,,,,,,6242
1407238593,15042,17700,0.107908,17964,0.385888,0.200905,1.326186,15679
1407238594,,,,,,,,11469
1407238595,39779,47205,0.057536,47205,0.166081,0.116352,0.398702,20833
1407238596,,,,,,,,11659
1407238597,67225,79143,0.088507,80088,1.391403,0.080773,0.156361,18478
1407238598,,,,,,,,20532
1407238599,99845,117808,0.153985,117808,2.689564,0.069395,0.135892,13474
1407238600,,,,,,,,24055
1407238601,132920,157455,0.149270,157993,2.688795,0.060315,0.109946,19798
1407238602,,,,,,,,22067
1407238603,164054,193989,0.148795,194419,2.688812,0.056722,0.096387,18146
1407238604,,,,,,,,25464
1407238605,204621,242182,0.148582,242689,2.688818,0.055154,0.096387,26445
1407238606,,,,,,,,16534
1407238607,242726,286037,0.076374,286516,1.386252,0.053169,0.094118,24589
1407238608,,,,,,,,27603
1407238609,285054,335969,0.075625,336146,1.386234,0.047537,0.084630,20724
1407238610,,,,,,,,27302
1407238611,325024,383444,0.075543,383831,1.386236,0.047475,0.084630,12261
1407238612,,,,,,,,27741
1407238613,361975,426523,0.075041,427103,1.386248,0.045976,0.078911,27025
1407238614,,,,,,,,29382
1407238615,409173,483469,0.074751,483985,1.386262,0.045976,0.084630,28836
1407238616,,,,,,,,19421
1407238617,445663,526280,0.074770,526822,1.386260,0.045312,0.079371,24518
1407238618,,,,,,,,27255
1407238619,493302,582734,0.074599,583066,1.386261,0.044992,0.064784,27390
1407238620,,,,,,,,27637
1407238621,540276,637912,0.074201,638547,1.386275,0.044870,0.064784,25929
1407238622,,,,,,,,15687
1407238623,573929,676569,0.074350,676996,1.386270,0.044527,0.064784,24764
1407238624,,,,,,,,29631
1407238625,622752,734324,0.074201,735417,1.386276,0.044239,0.064784,27559
1407238626,,,,,,,,30741
1407238627,670747,792534,0.085362,793527,1.433096,0.044406,0.064784,29527
1407238628,,,,,,,,28553
1407238629,719700,851452,0.085271,852216,1.433099,0.044228,0.064784,10867
1407238630,,,,,,,,29368
1407238631,753202,891594,0.085061,892033,1.433107,0.044070,0.064784,27975
1407238632,,,,,,,,30120
1407238633,801781,949603,0.084897,950025,1.433115,0.044004,0.064784,27595
1407238634,,,,,,,,27041
1407238635,848742,1003459,0.084876,1004053,1.433116,0.044228,0.064784,27964
1407238636,,,,,,,,31032
1407238637,898697,1063497,0.085136,1064384,1.433106,0.044478,0.064784,18340
1407238638,,,,,,,,20655
1407238639,929677,1101403,0.041885,1101857,0.364969,0.044228,0.059226,26733
1407238640,,,,,,,,27245
1407238641,975298,1156917,0.078981,1157240,1.249121,0.044294,0.063227,30926
1407238642,,,,,,,,29054
1407238643,1025343,1217063,0.079082,1217581,1.249115,0.044004,0.062416,30301
1407238644,,,,,,,,27772
1407238645,1070956,1273808,0.079276,1274253,1.249105,0.043827,0.062416,15879
1407238646,,,,,,,,16926
1407238647,1099001,1307390,0.079280,1308007,1.249103,0.043827,0.059226,31524
1407238648,,,,,,,,29286
1407238649,1148341,1368276,0.079118,1368797,1.249109,0.043792,0.058540,30174
1407238650,,,,,,,,29328
1407238651,1197370,1428405,0.079003,1428848,1.249109,0.043622,0.057037,32467
1407238652,,,,,,,,32486
1407238653,1250857,1493520,0.078666,1494108,1.249124,0.043361,0.057037,33074
1407238654,,,,,,,,32265
1407238655,1304163,1557975,0.078492,1558418,1.249129,0.043055,0.056765,33217
1407238656,,,,,,,,33216
1407238657,1358226,1624326,0.078780,1625731,1.248517,0.043128,0.057034,32769
1407238658,,,,,,,,29764
1407238659,1409627,1687778,0.067381,1688109,1.195063,0.042730,0.056765,32176
1407238660,,,,,,,,33093
1407238661,1463557,1752829,0.067247,1753588,1.195054,0.042527,0.056380,32546
1407238662,,,,,,,,32704
1407238663,1517942,1818654,0.067208,1819048,1.195056,0.042527,0.056380,31859
1407238664,,,,,,,,32993
1407238665,1572376,1882943,0.067287,1883360,1.195054,0.042913,0.056648,32686
1407238666,,,,,,,,32527
1407238667,1627130,1948470,0.067182,1948887,1.195057,0.042730,0.056648,32227
1407238669,1669735,2000000,0.067172,2000000,1.195057,0.042527,0.056648,
1407238671,1669735,2000000,0.067172,2000000,1.195057,0.042527,0.056648,
1407238673,1669735,2000000,0.067172,2000000,1.195057,0.042527,0.056648,
1407238675,1669735,2000000,0.067172,2000000,1.195057,0.042527,0.056648,
1407238677,1669735,2000000,0.067172,2000000,1.195057,0.042527,0.056648,
