timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407238589,,,,,,,,16
1407238590,,,,,,,,10375
1407238591,28310,28318,0.011505,30456,0.018765,0.038536,0.082786,33288
1407238592,,,,,,,,28895
1407238593,83323,83328,0.008359,83885,0.013701,0.018095,0.051446,35937
1407238594,,,,,,,,31637
1407238595,151372,151372,0.006495,151684,0.005380,0.012854,0.031381,40269
1407238596,,,,,,,,27158
1407238597,219724,219724,0.006161,220546,0.004368,0.011234,0.027288,32857
1407238598,,,,,,,,32782
1407238599,285575,285575,0.005883,286762,0.003546,0.010464,0.022059,30253
1407238600,,,,,,,,44827
1407238601,358861,358861,0.005739,360762,0.003298,0.009391,0.018608,35998
1407238602,,,,,,,,37788
1407238603,428650,428650,0.005625,428650,0.003000,0.008340,0.016466,33221
1407238604,,,,,,,,37359
1407238605,503464,503464,0.005446,503464,0.002612,0.007656,0.015140,38665
1407238606,,,,,,,,24166
1407238607,568383,568383,0.005417,569611,0.002542,0.007281,0.014801,33308
1407238608,,,,,,,,34100
1407238609,633750,633750,0.005399,634197,0.002493,0.007250,0.014578,34717
1407238610,,,,,,,,36468
1407238611,700440,700466,0.005389,701499,0.002445,0.006948,0.013681,19407
1407238612,,,,,,,,36509
1407238613,760267,760267,0.005319,761115,0.002039,0.006847,0.011538,39309
1407238614,,,,,,,,43137
1407238615,843688,843688,0.005301,844329,0.001984,0.006759,0.010979,38431
1407238616,,,,,,,,29624
1407238617,906601,906601,0.005340,906601,0.002054,0.006898,0.011538,23939
1407238618,,,,,,,,42168
1407238619,979699,979699,0.005331,980440,0.002031,0.006898,0.011142,38374
1407238620,,,,,,,,38539
1407238621,1058641,1058641,0.005370,1059578,0.002091,0.006946,0.011544,42453
1407238622,,,,,,,,22947
1407238623,1114546,1114546,0.005362,1115391,0.002050,0.006898,0.011142,30712
1407238624,,,,,,,,36577
1407238625,1188608,1188608,0.005388,1190710,0.002091,0.006873,0.011643,36744
1407238626,,,,,,,,33162
1407238627,1257852,1257852,0.005385,1258565,0.002082,0.006787,0.011643,32086
1407238628,,,,,,,,42376
1407238629,1335766,1335766,0.005376,1336509,0.001923,0.006839,0.012317,17814
1407238630,,,,,,,,43437
1407238631,1391209,1391209,0.005375,1391209,0.001945,0.006839,0.013016,35059
1407238632,,,,,,,,40179
1407238633,1466404,1466404,0.005387,1466404,0.001940,0.006936,0.012317,31172
1407238634,,,,,,,,38457
1407238635,1536227,1536227,0.005395,1537769,0.001927,0.006873,0.012317,35617
1407238636,,,,,,,,29712
1407238637,1599623,1599628,0.005382,1601499,0.001929,0.006873,0.012390,15954
1407238638,,,,,,,,22282
1407238639,1642897,1642902,0.005397,1644024,0.001934,0.006909,0.012390,40088
1407238640,,,,,,,,30016
1407238641,1715724,1715724,0.005419,1716359,0.001988,0.006946,0.013557,38656
1407238642,,,,,,,,32803
1407238643,1781838,1781838,0.005409,1782081,0.001972,0.006929,0.013557,29574
1407238644,,,,,,,,26686
1407238645,1844523,1844523,0.005394,1844523,0.001982,0.006938,0.013520,23991
1407238646,,,,,,,,25923
1407238647,1885812,1885812,0.005402,1885812,0.001986,0.006946,0.013520,27524
1407238648,,,,,,,,39863
1407238649,1949318,1949318,0.005413,1949318,0.001989,0.006946,0.013520,25420
1407238651,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238653,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238655,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238657,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238659,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238661,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238663,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238665,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238667,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238669,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238671,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238673,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238675,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
1407238677,2000000,2000000,0.005422,2000000,0.002000,0.006929,0.013520,
