timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407238589,,,,,,,,16
1407238590,,,,,,,,10332
1407238591,28028,28028,0.013398,30506,0.020867,0.034503,0.112324,33330
1407238592,,,,,,,,28896
1407238593,83153,83153,0.008298,83885,0.013638,0.018092,0.066285,35936
1407238594,,,,,,,,31638
1407238595,151372,151372,0.006999,151725,0.010154,0.014887,0.041758,40269
1407238596,,,,,,,,27158
1407238597,219724,219724,0.006268,220546,0.007817,0.013313,0.025774,32856
1407238598,,,,,,,,32783
1407238599,285575,285575,0.006063,286798,0.006336,0.013313,0.024498,30242
1407238600,,,,,,,,44837
1407238601,358861,358861,0.005969,360794,0.005729,0.013550,0.022366,35998
1407238602,,,,,,,,37789
1407238603,428650,428650,0.005948,428650,0.005683,0.013161,0.020398,33220
1407238604,,,,,,,,37359
1407238605,503464,503464,0.005858,503542,0.005676,0.013447,0.021517,38665
1407238606,,,,,,,,24166
1407238607,568383,568383,0.005856,569636,0.005641,0.012766,0.020599,33309
1407238608,,,,,,,,34100
1407238609,633750,633750,0.005870,634216,0.005642,0.012934,0.020398,34716
1407238610,,,,,,,,36469
1407238611,700432,700432,0.005711,701521,0.003973,0.012590,0.019963,19407
1407238612,,,,,,,,36509
1407238613,760267,760267,0.005627,761127,0.003732,0.012561,0.019009,39309
1407238614,,,,,,,,43137
1407238615,843688,843688,0.005621,844329,0.003744,0.012557,0.019490,38431
1407238616,,,,,,,,29336
1407238617,906601,906601,0.005682,906601,0.003870,0.013013,0.019490,24227
1407238618,,,,,,,,42107
1407238619,979699,979699,0.005686,980455,0.003860,0.012725,0.019490,38435
1407238620,,,,,,,,38538
1407238621,1058641,1058641,0.005632,1059592,0.003847,0.012665,0.019305,42454
1407238622,,,,,,,,22944
1407238623,1114546,1114546,0.005571,1115413,0.003788,0.012496,0.018720,30715
1407238624,,,,,,,,36577
1407238625,1188564,1188564,0.005570,1190580,0.003184,0.012745,0.017596,36744
1407238626,,,,,,,,33162
1407238627,1257852,1257852,0.005541,1258565,0.003167,0.012745,0.017366,32086
1407238628,,,,,,,,42375
1407238629,1335766,1335766,0.005522,1336523,0.003147,0.012612,0.017366,17814
1407238630,,,,,,,,43438
1407238631,1391209,1391209,0.005526,1391209,0.003155,0.012680,0.017366,35059
1407238632,,,,,,,,40179
1407238633,1466404,1466404,0.005591,1466404,0.003217,0.012864,0.017400,31172
1407238634,,,,,,,,38457
1407238635,1536227,1536227,0.005553,1537809,0.003150,0.012725,0.017303,35617
1407238636,,,,,,,,29711
1407238637,1599390,1599389,0.005531,1601499,0.003141,0.012588,0.017303,15955
1407238638,,,,,,,,22282
1407238639,1642703,1642703,0.005557,1644024,0.003157,0.012812,0.017303,40088
1407238640,,,,,,,,30016
1407238641,1715724,1715724,0.005500,1716371,0.002990,0.012588,0.016910,38655
1407238642,,,,,,,,32804
1407238643,1781838,1781838,0.005540,1782081,0.003024,0.012812,0.017073,29573
1407238644,,,,,,,,26687
1407238645,1844523,1844523,0.005533,1844523,0.003037,0.012979,0.017047,23991
1407238646,,,,,,,,25922
1407238647,1885812,1885812,0.005473,1885812,0.002954,0.012725,0.016842,27525
1407238648,,,,,,,,39862
1407238649,1949318,1949318,0.005497,1949318,0.003007,0.012812,0.017047,25421
1407238651,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238653,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238655,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238657,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238659,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238661,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238663,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238665,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238667,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238669,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238671,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238673,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238675,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
1407238677,2000000,2000000,0.005534,2000000,0.003077,0.013142,0.017205,
