t,value
1407236253,386924544
1407236255,610795520
1407236258,687341568
1407236259,689438720
1407236261,667418624
1407236263,751304704
1407236265,740818944
1407236267,741343232
1407236269,882900992
1407236271,886571008
1407236273,869793792
1407236275,877658112
1407236277,843055104
1407236280,993001472
1407236281,1005060096
1407236283,1002438656
1407236285,1005584384
1407236287,1011351552
1407236291,1193803776
1407236292,1193803776
1407236293,1200619520
1407236295,1177026560
1407236297,1170210816
1407236299,1178599424
1407236301,1179648000
1407236303,1193279488
1407236305,1199046656
1407236307,1202716672
1407236313,1402994688
1407236313,1402994688
1407236313,1402994688
1407236315,1401421824
1407236317,1395654656
1407236319,1368915968
1407236321,1388838912
1407236323,1387790336
1407236325,1387790336
1407236327,1387790336
1407236329,1387790336
1407236331,1387790336
