t,value
1407236253,95979072
1407236255,95979072
1407236258,95979072
1407236259,95979072
1407236261,95979072
1407236263,95979072
1407236265,95979072
1407236267,95979072
1407236269,95979072
1407236271,95979072
1407236273,95979072
1407236275,95979072
1407236277,95979072
1407236280,95979072
1407236281,95979072
1407236283,95979072
1407236285,95979072
1407236287,95979072
1407236291,95979072
1407236292,95979072
1407236293,95979072
1407236295,95979072
1407236297,95979072
1407236299,95979072
1407236301,95979072
1407236303,95979072
1407236305,95979072
1407236307,95979072
1407236313,95979072
1407236313,95979072
1407236313,95979072
1407236315,95979072
1407236317,95979072
1407236319,95979072
1407236321,95979072
1407236323,95979072
1407236325,95979072
1407236327,95979072
1407236329,95979072
1407236331,95979072
