t,value
1407236253,1366294528
1407236255,1366294528
1407236258,1366294528
1407236259,1366294528
1407236261,1366294528
1407236263,1366294528
1407236265,1366294528
1407236267,1366294528
1407236269,1366294528
1407236271,1366294528
1407236273,1366294528
1407236275,1366294528
1407236277,1366294528
1407236280,1366294528
1407236281,1366294528
1407236283,1366294528
1407236285,1366294528
1407236287,1366294528
1407236291,1366294528
1407236292,1366294528
1407236293,1366294528
1407236295,1366294528
1407236297,1366294528
1407236299,1366294528
1407236301,1366294528
1407236303,1366294528
1407236305,1366294528
1407236307,1366294528
1407236313,1402994688
1407236313,1402994688
1407236313,1402994688
1407236315,1401421824
1407236317,1395654656
1407236319,1368915968
1407236321,1388838912
1407236323,1387790336
1407236325,1387790336
1407236327,1387790336
1407236329,1387790336
1407236331,1387790336
