t,value
1407236253,155615768
1407236255,211055096
1407236258,127653392
1407236259,442058536
1407236261,490038368
1407236263,231637744
1407236265,483521352
1407236267,329716792
1407236269,326660600
1407236271,475682352
1407236273,661389184
1407236275,600532688
1407236277,626802144
1407236280,471784096
1407236281,721664824
1407236283,535151440
1407236285,777255496
1407236287,579527960
1407236291,594608632
1407236292,619982720
1407236293,924327288
1407236295,646832288
1407236297,920042480
1407236299,857024776
1407236301,832528176
1407236303,744029384
1407236305,760274080
1407236307,961341560
1407236313,796611384
1407236313,823037384
1407236313,1131449888
1407236315,1124961688
1407236317,932139392
1407236319,911531272
1407236321,1097722816
1407236323,939827192
1407236325,960399280
1407236327,981253008
1407236329,1001782144
1407236331,1022551576
