t,value
1407236253,224395264
1407236255,224395264
1407236258,224395264
1407236259,224395264
1407236261,224395264
1407236263,224395264
1407236265,224395264
1407236267,224395264
1407236269,224395264
1407236271,224395264
1407236273,224395264
1407236275,224395264
1407236277,224395264
1407236280,224395264
1407236281,224395264
1407236283,224395264
1407236285,224395264
1407236287,224395264
1407236291,224395264
1407236292,224395264
1407236293,224395264
1407236295,224395264
1407236297,224395264
1407236299,224395264
1407236301,224395264
1407236303,224395264
1407236305,224395264
1407236307,224395264
1407236313,224395264
1407236313,224395264
1407236313,224395264
1407236315,224395264
1407236317,224395264
1407236319,224395264
1407236321,224395264
1407236323,224395264
1407236325,224395264
1407236327,224395264
1407236329,224395264
1407236331,224395264
