t,value
1407236253,120555072
1407236255,120555072
1407236258,120555072
1407236259,120555072
1407236261,120555072
1407236263,120555072
1407236265,120555072
1407236267,120555072
1407236269,120555072
1407236271,120555072
1407236273,120555072
1407236275,120555072
1407236277,120555072
1407236280,120555072
1407236281,120555072
1407236283,120555072
1407236285,120555072
1407236287,120555072
1407236291,120555072
1407236292,120555072
1407236293,120555072
1407236295,120555072
1407236297,120555072
1407236299,120555072
1407236301,120555072
1407236303,120555072
1407236305,120555072
1407236307,120555072
1407236313,120555072
1407236313,120555072
1407236313,120555072
1407236315,120555072
1407236317,120555072
1407236319,120555072
1407236321,120555072
1407236323,120555072
1407236325,120555072
1407236327,120555072
1407236329,120555072
1407236331,120555072
