t,value
1407236253,1590689792
1407236255,1590689792
1407236258,1590689792
1407236259,1590689792
1407236261,1590689792
1407236263,1590689792
1407236265,1590689792
1407236267,1590689792
1407236269,1590689792
1407236271,1590689792
1407236273,1590689792
1407236275,1590689792
1407236277,1590689792
1407236280,1590689792
1407236281,1590689792
1407236283,1590689792
1407236285,1590689792
1407236287,1590689792
1407236291,1590689792
1407236292,1590689792
1407236293,1590689792
1407236295,1590689792
1407236297,1590689792
1407236299,1590689792
1407236301,1590689792
1407236303,1590689792
1407236305,1590689792
1407236307,1590689792
1407236313,1627389952
1407236313,1627389952
1407236313,1627389952
1407236315,1625817088
1407236317,1620049920
1407236319,1593311232
1407236321,1613234176
1407236323,1612185600
1407236325,1612185600
1407236327,1612185600
1407236329,1612185600
1407236331,1612185600
