t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407236253,109279,0.033513,0.001764,0.000324,0.002990,0.000741,0.000937,0.007577,0.008816,0.017299,0.033310,56757.997280,0.000000,0.000000,0.000000,calls/second,milliseconds
1407236255,268058,0.033513,0.001131,0.000326,0.001824,0.000725,0.000856,0.003695,0.007447,0.008007,0.033084,68645.404004,0.000000,0.000000,0.000000,calls/second,milliseconds
1407236258,465986,0.033513,0.001012,0.000326,0.001598,0.000726,0.000844,0.001978,0.005969,0.007734,0.033057,73975.121459,74334.200000,74334.200000,74334.200000,calls/second,milliseconds
1407236259,615600,0.033513,0.000986,0.000326,0.001568,0.000724,0.000848,0.001267,0.005571,0.007734,0.033057,77978.678665,74334.200000,74334.200000,74334.200000,calls/second,milliseconds
1407236261,815087,0.033513,0.000959,0.000326,0.001509,0.000735,0.000848,0.001169,0.005446,0.007612,0.033057,82384.125882,74334.200000,74334.200000,74334.200000,calls/second,milliseconds
1407236263,934405,0.033513,0.000941,0.000326,0.001392,0.000743,0.000862,0.001202,0.004186,0.007539,0.032944,78230.634821,75635.189312,74603.142586,74424.346029,calls/second,milliseconds
1407236265,1125796,0.033513,0.000927,0.000396,0.001346,0.000754,0.000871,0.001172,0.002826,0.007239,0.032924,81031.283100,75635.189312,74603.142586,74424.346029,calls/second,milliseconds
1407236267,1305504,0.033513,0.000927,0.000396,0.001334,0.000757,0.000881,0.001158,0.002830,0.006858,0.032944,82143.874200,75949.671475,74685.211073,74452.844870,calls/second,milliseconds
1407236269,1402462,0.033513,0.000924,0.000440,0.001310,0.000762,0.000887,0.001164,0.002718,0.006196,0.032944,78345.397667,75949.671475,74685.211073,74452.844870,calls/second,milliseconds
1407236271,1581933,0.033513,0.000917,0.000384,0.001291,0.000765,0.000886,0.001138,0.002452,0.005605,0.032944,79521.693160,75949.671475,74685.211073,74452.844870,calls/second,milliseconds
1407236273,1758779,0.033513,0.000915,0.000440,0.001260,0.000777,0.000899,0.001156,0.002134,0.005452,0.032944,80333.732622,75812.653869,74677.786267,74451.643517,calls/second,milliseconds
1407236275,1937376,0.033513,0.000910,0.000440,0.001250,0.000779,0.000895,0.001154,0.001567,0.005335,0.032944,81087.783899,75812.653869,74677.786267,74451.643517,calls/second,milliseconds
1407236277,2095829,0.033513,0.000912,0.000440,0.001250,0.000782,0.000897,0.001159,0.001489,0.005335,0.032944,80942.323530,76802.819531,74901.232604,74527.792665,calls/second,milliseconds
1407236280,2144846,0.033513,0.000904,0.000440,0.001240,0.000781,0.000897,0.001151,0.001419,0.004934,0.032944,76253.893572,76802.819531,74901.232604,74527.792665,calls/second,milliseconds
1407236281,2259837,0.033513,0.000906,0.000428,0.001239,0.000784,0.000898,0.001144,0.001421,0.004934,0.032944,75597.949566,76802.819531,74901.232604,74527.792665,calls/second,milliseconds
1407236283,2432791,0.033513,0.000905,0.000428,0.001239,0.000782,0.000893,0.001138,0.001419,0.004934,0.032944,76280.150694,74399.433029,74435.831179,74373.865122,calls/second,milliseconds
1407236285,2608639,0.033513,0.000910,0.000428,0.001265,0.000784,0.000894,0.001138,0.001419,0.004934,0.032944,76735.523562,74399.433029,74435.831179,74373.865122,calls/second,milliseconds
1407236287,2782551,0.013889,0.000888,0.000428,0.000801,0.000787,0.000893,0.001144,0.001419,0.004934,0.013813,77480.168489,75269.539050,74615.099275,74434.296739,calls/second,milliseconds
1407236291,2881639,0.013889,0.000889,0.000428,0.000801,0.000787,0.000889,0.001144,0.001564,0.004934,0.013813,72064.857656,75269.539050,74615.099275,74434.296739,calls/second,milliseconds
1407236292,2882617,0.013889,0.000889,0.000428,0.000801,0.000787,0.000889,0.001144,0.001564,0.004934,0.013813,72070.352370,75269.539050,74615.099275,74434.296739,calls/second,milliseconds
1407236293,3044042,0.013889,0.000879,0.000428,0.000731,0.000788,0.000889,0.001131,0.001419,0.004370,0.013772,72662.574411,72258.944285,74003.561260,74230.318887,calls/second,milliseconds
1407236295,3222881,0.013889,0.000874,0.000440,0.000697,0.000794,0.000888,0.001133,0.001361,0.003641,0.013772,73341.643179,72258.944285,74003.561260,74230.318887,calls/second,milliseconds
1407236297,3367447,0.013889,0.000876,0.000440,0.000696,0.000797,0.000892,0.001133,0.001341,0.003641,0.013772,73358.570692,73351.094063,74200.496222,74295.072633,calls/second,milliseconds
1407236299,3534462,0.013889,0.000891,0.000440,0.000757,0.000798,0.000893,0.001149,0.001463,0.004934,0.013772,73801.000758,73351.094063,74200.496222,74295.072633,calls/second,milliseconds
1407236301,3683448,0.013889,0.000889,0.000440,0.000731,0.000800,0.000898,0.001149,0.001448,0.004370,0.013772,73829.729712,73351.094063,74200.496222,74295.072633,calls/second,milliseconds
1407236303,3832809,0.013889,0.000895,0.000440,0.000737,0.000801,0.000907,0.001161,0.001506,0.004370,0.013772,73861.591861,73418.057340,74200.299595,74294.482759,calls/second,milliseconds
1407236305,4000861,0.009868,0.000885,0.000440,0.000616,0.000804,0.000911,0.001158,0.001506,0.003915,0.009841,74140.126101,73418.057340,74200.299595,74294.482759,calls/second,milliseconds
1407236307,4155997,0.009868,0.000893,0.000466,0.000641,0.000804,0.000909,0.001156,0.001566,0.004465,0.009841,74357.732955,74004.415036,74308.583066,74330.256170,calls/second,milliseconds
1407236313,4280606,0.009868,0.000895,0.000466,0.000641,0.000810,0.000914,0.001153,0.001566,0.004465,0.009841,69483.861356,71169.108821,73717.436587,74131.991547,calls/second,milliseconds
1407236313,4281400,0.009868,0.000895,0.000466,0.000641,0.000810,0.000914,0.001153,0.001566,0.004465,0.009841,69487.985838,71169.108821,73717.436587,74131.991547,calls/second,milliseconds
1407236313,4307580,0.009868,0.000898,0.000466,0.000649,0.000809,0.000914,0.001149,0.001649,0.004481,0.009841,69598.609834,71169.108821,73717.436587,74131.991547,calls/second,milliseconds
1407236315,4483540,0.009868,0.000903,0.000466,0.000659,0.000810,0.000912,0.001158,0.001765,0.004569,0.009841,70173.786716,71169.108821,73717.436587,74131.991547,calls/second,milliseconds
1407236317,4606116,0.009868,0.000911,0.000466,0.000678,0.000811,0.000914,0.001166,0.002181,0.004609,0.009841,69904.146299,69693.887588,73370.356346,74013.358103,calls/second,milliseconds
1407236319,4770625,0.009868,0.000913,0.000466,0.000672,0.000815,0.000917,0.001176,0.002181,0.004569,0.009841,70265.300092,69693.887588,73370.356346,74013.358103,calls/second,milliseconds
1407236321,4949735,0.009868,0.000918,0.000466,0.000682,0.000817,0.000918,0.001179,0.002672,0.004609,0.009841,70819.219793,69693.887588,73370.356346,74013.358103,calls/second,milliseconds
1407236323,5000000,0.009868,0.000909,0.000466,0.000635,0.000817,0.000918,0.001170,0.001850,0.004569,0.009841,69542.951229,70804.095870,73539.093690,74066.354321,calls/second,milliseconds
1407236325,5000000,0.009868,0.000909,0.000466,0.000635,0.000817,0.000918,0.001170,0.001850,0.004569,0.009841,67666.777960,70804.095870,73539.093690,74066.354321,calls/second,milliseconds
1407236327,5000000,0.009868,0.000909,0.000466,0.000635,0.000817,0.000918,0.001170,0.001850,0.004569,0.009841,65880.697754,65759.978164,72451.160092,73698.772137,calls/second,milliseconds
1407236329,5000000,0.009868,0.000909,0.000466,0.000635,0.000817,0.000918,0.001170,0.001850,0.004569,0.009841,64189.184318,65759.978164,72451.160092,73698.772137,calls/second,milliseconds
1407236331,5000000,0.009868,0.000909,0.000466,0.000635,0.000817,0.000918,0.001170,0.001850,0.004569,0.009841,62583.173722,65759.978164,72451.160092,73698.772137,calls/second,milliseconds
