t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,values
1407236253,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1407236255,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1407236258,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1407236259,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1407236261,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1407236263,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|
1407236265,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|
1407236267,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|
1407236269,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|
1407236271,2,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|
1407236273,4,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|
1407236275,7,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|
1407236277,10,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|
1407236280,10,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|
1407236281,13,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236283,21,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236285,25,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236287,31,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236291,35,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236292,35,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236293,48,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236295,60,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236297,72,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236299,92,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236301,115,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
1407236303,128,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|168|
