t,count
1407236253,0
1407236255,0
1407236258,0
1407236259,0
1407236261,0
1407236263,1
1407236265,1
1407236267,1
1407236269,1
1407236271,2
1407236273,4
1407236275,7
1407236277,10
1407236280,10
1407236281,13
1407236283,21
1407236285,25
1407236287,31
1407236291,35
1407236292,35
1407236293,48
1407236295,60
1407236297,72
1407236299,92
1407236301,115
1407236303,128
1407236305,148
1407236307,179
1407236313,200
1407236313,200
1407236313,207
1407236315,243
1407236317,274
1407236319,325
1407236321,403
1407236323,420
1407236325,420
1407236327,420
1407236329,420
1407236331,420
